44f963a1bbc18d76602f3ffb9d3e9f653ae8c4f7e4c4ad5aeef8df9aab553249,db2e79880936f1edb50875f4870525608e5448372344ba04affdb539e2897245,ec2d2e3c3decb219188e2f7409bfb32917d456f615fa01b3d30b101ea3b10f3b,09753cdfe905e13896967433558e8dfb06414b887446e15506368fee687f084f,8ad99a83d6e7a3f9c7e97fbe3e2fb70ba7a029a67b76e896bafea73b49e281b9,9699a858da5700cc8a6d0db5d8e690790153941b9faae8487f77cba1aea5a062,6c7e1b4c9cd228851eacf58bd35bf9c1f4c06efe66c381c94c47f071270fc5b1
"1","2","300","0","10101","0","0"
"1","2","360","0","10101","0","1"
"1","2","420","0","10101","0","2"
"1","2","480","0","10101","0","3"
"1","2","540","0","10101","0","4"
"1","2","600","0","10101","0","5"
"2","2","900","0","10101","0","0"
"2","2","960","0","10101","0","1"
"2","2","1020","0","10101","0","2"
"2","2","1080","0","10101","0","3"
"2","2","1140","0","10101","0","4"
"2","2","1200","0","10101","0","5"
"3","2","1500","0","10101","0","0"
"3","2","1560","0","10101","0","1"
"3","2","1620","0","10101","0","2"
"3","2","1680","0","10101","0","3"
"3","2","1740","0","10101","0","4"
"3","2","1800","0","10101","0","5"
"4","2","2100","0","10101","0","0"
"4","2","2160","0","10101","0","1"
"4","2","2220","0","10101","0","2"
"4","2","2280","0","10101","0","3"
"4","2","2340","0","10101","0","4"
"4","2","2400","0","10101","0","5"
"5","2","2700","0","10101","0","0"
"5","2","2760","0","10101","0","1"
"5","2","2820","0","10101","0","2"
"5","2","2880","0","10101","0","3"
"5","2","2940","0","10101","0","4"
"5","2","3000","0","10101","0","5"
"6","2","3150","0","10101","0","0"
"6","2","3180","0","10101","0","1"
"6","2","3210","0","10101","0","2"
"6","2","3240","0","10101","0","3"
"6","2","3270","0","10101","0","4"
"6","2","3300","0","10101","0","5"
"7","2","3450","0","10101","0","0"
"7","2","3480","0","10101","0","1"
"7","2","3510","0","10101","0","2"
"7","2","3540","0","10101","0","3"
"7","2","3570","0","10101","0","4"
"7","2","3600","0","10101","0","5"
