ff0f0426f3840bd6954c833d8f5743ac2bfb96c08815bd91b0faffaf84df3375,b0b768947b499bc442e1a6f5ad18fdf1e72c737a7591f27dd0a265570c846bc8,d9e36f559650f33854fe13ca29e82fd5e860ee024c9d1f29804f99294df7b487,7bcde29715c38ed1e10ebda8df2b4664e5c89d56139f2689f8646fbecc3c328a
"1st Anniversary スペシャルログインボーナス","10000","2019/02/15 5:00:00","2019/03/01 4:59:59"
"GW スペシャルログインボーナス","10001","2019/04/27 5:00:00","2019/05/07 4:59:59"
"1.5Year Anniversary スペシャルログインボーナス","10002","2019/08/15 5:00:00","2019/09/01 4:59:59"
"2nd Anniversary スペシャルログインボーナス","10003","2020/02/15 5:00:00","2020/03/01 4:59:59"
"2.5 Year Anniversary スペシャルログインボーナス","10004","2020/08/15 5:00:00","2020/09/01 4:59:59"
"3rd Anniversary スペシャルログインボーナス","10005","2021/02/15 5:00:00","2021/03/01 4:59:59"
"3.5 Year Anniversary スペシャルログインボーナス","10006","2021/08/15 5:00:00","2021/09/01 4:59:59"
"4th Anniversary スペシャルログインボーナス","10007","2022/02/15 5:00:00","2022/03/01 4:59:59"
"4.5 Year Anniversary スペシャルログインボーナス","10008","2022/08/15 5:00:00","2022/09/01 4:59:59"
"5th Anniversary スペシャルログインボーナス","10009","2023/02/15 5:00:00","2023/03/01 4:59:59"
"5.5 Year Anniversary スペシャルログインボーナス","10010","2023/08/15 5:00:00","2023/09/01 4:59:59"
"6th Anniversary スペシャルログインボーナス","10011","2024/02/15 5:00:00","2024/03/01 4:59:59"
"6.5 Year Anniversary スペシャルログインボーナス","10012","2024/08/15 5:00:00","2024/09/01 4:59:59"
"7th Year Anniversary スペシャルログインボーナス","10013","2025/02/15 5:00:00","2025/03/01 4:59:59"
