4aed103bd1629dbf329c29145279ed4be74b9fc8cf7d41098bfb9ae781900779,12cd61dd1c1d4bd5f0b38f3c4909ba5f54cd49eaf26e897aeadc4e330e1195d7,8df99ad2373586b547db04b330519a0c9b1cae493562d3e127add23f5790ef90,ddacf813e010efa5c04fc9377fab31db483bf55128f7a763e130a92e21610ae8,8c8c80338e781f69bef7c1e04c4dbe6d35d38a21dd8e19b524bf69fe40eb5221,421bcd03a1fbd4ad0f9452f9143d3a5fa9aace7371d0b642439ae6628f7d3c78,972abc504891c044190d32133a9f49c72b861fbd2cfbb3692bb672b2932668f1,ba0d08a805a258564c40253c415ee6ffd85671bbdad831e52f920338e4633231,fa5a647b2a55a4f713424c26512c7c5314ba20cd702e2413b566af762e66144b,a1249472ec8e6f4ba8c6942de6a41857f7ff4d0b3cfc03f5f56fa68476ba8b32,0d328b8f75964401ba962e8f80e1265d030ccd9358329b86e6b9087d7ecd6796
"0","1.7","1001","1","100","1","-200","psy_miyako_idle","119931","1","-220"
"1","1.7","1002","1","100","5","1000","psy_idle_normal","1","1","-220"
"0","1.7","1003","1","105","5","-50","psy_fairy_idle","2","1","-220"
"","1","1004","1","0","31","0","","11","1","1"
"","0.2","1005","1","1","3","","","psy_item00_run","1",""
"","","1006","1","-220","2","2.5","","285","1","0"
"","","1007","2.5","","93","","","","1",""
"","0.2","1008","1","1","3","","","psy_item00_idle","1",""
"","","1009","0.5","","93","","","","1",""
"","0.2","1010","119931","1","3","","","psy_miyako_talk1","1",""
"","","1011","vo_minigame_1008","0","21","0","","vo_minigame_1008_drama_0101","1",""
"0","0","1012","119931","6","11","1","0.5","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","1","0"
"","","1013","6","","93","","","1","1",""
"0.2","0.2","1014","119931","0","3","psy_miyako_doya_loop","","psy_miyako_doya_in","1","1"
"","","1015","1012","","91","","","","1",""
"","","1016","0","","22","","","0","1",""
"","0.2","1017","2","1","3","","","psy_fairy_talk","1",""
"","","1018","vo_minigame_1008","0","21","0","","vo_minigame_1008_drama_9901","1",""
"0","0","1019","2","6","11","1","0.5","キュイキュイ！","1","0"
"","","1020","0","","91","","","","1",""
"","0.2","1021","2","1","3","","","psy_fairy_idle","1",""
"","0.2","1022","119931","1","3","","","psy_miyako_talk2","1",""
"","","1023","vo_minigame_1008","0","21","0","","vo_minigame_1008_drama_0102","1",""
"0","0","1024","119931","5","11","1","0.5","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","1","0"
"","","1025","2","","93","","","1","1",""
"","0.2","1026","119931","1","3","","","psy_miyako_talk_joy2","1",""
"","","1027","1024","","91","","","","1",""
"","","1028","0","","22","","","0","1",""
"","0.2","1029","119931","1","3","","","psy_miyako_idle","1",""
"","","1030","2","","4","","","1","1",""
"0","0.2","1031","2","0","3","psy_fairy_run","","psy_fairy_run_in","1","1"
"","","1032","1.3","","93","","","","1",""
"","","1033","2","-220","2","1","","1000","1","0"
"","","1034","2","","93","","","","1",""
"0.2","0.2","1035","119931","0","3","psy_miyako_doya_loop","","psy_miyako_doya_in","1","1"
"","","1036","vo_minigame_1008","0","21","0","","vo_minigame_1008_drama_0103","1",""
"0","0","1037","119931","6","11","1","0.5","オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","1","0"
"","","1038","0","","91","","","","1",""
"","","1039","0","","22","","","0","1",""
"0","0","1040","1","1","12","0","0","11","1","0"
"0.2","0.2","1041","1","0","3","psy_item00_idle_guts","","psy_item00_talk_guts","1","1"
"","","1042","2","","93","","","","1",""
"","0.2","1043","119931","1","3","","","psy_miyako_talk_joy2","1",""
"","","1044","vo_minigame_1008","0","21","0","","vo_minigame_1008_drama_0104","1",""
"0","0","1045","119931","5","11","1","0.5","みんなみんな\nおいしいプリンにしてやるの～♪","1","0"
"","","1046","4","","93","","","1","1",""
"0.2","0.2","1047","119931","0","3","psy_miyako_fight_loop","","psy_miyako_fight_in","1","1"
"0.2","0.2","1048","1","0","3","psy_item00_handsup_loop","","psy_item00_handsup","1","1"
"","","1049","1.5","","93","","","","1",""
"","","1050","1045","","91","","","","1",""
"","","1051","0","","22","","","0","1",""
"0","1.7","2001","1","100","1","-300","psy_miyako_start","119931","2","-200"
"1","1.7","2002","1","100","1","300","psy_walk","106011","2","-220"
"","1","2003","1","0","31","0","","11","2","1"
"0","1.7","2004","1","101","5","-300","psy_smoke_start","1","2","-200"
"","","2005","106011","-220","2","2","","185","2","0"
"","","2006","2","","93","","","","2",""
"0","0.2","2007","106011","0","3","psy_kyaru_talk_arm_crossed_loop","","psy_kyaru_talk_arm_crossed","2","1"
"","","2008","vo_minigame_1008","0","21","0","","vo_minigame_1008_drama_0305","2",""
"0","0","2009","106011","8","11","1","0.5","ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","2","0"
"","","2010","0","","91","","","","2",""
"","","2011","vo_minigame_1008","0","21","0","","vo_minigame_1008_drama_0306","2",""
"","0.2","2012","106011","1","3","","","psy_talk_sad","2",""
"0","0","2013","106011","8","11","1","0.5","って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","2","0"
"","","2014","4","","93","","","1","2",""
"","0.2","2015","106011","1","3","","","psy_talk_sad","2",""
"","","2016","2013","","91","","","","2",""
"","0.2","2017","106011","1","3","","","psy_idle_sad","2",""
