7c55d010c916a36d7d55d5af7ddb2c3a161877fac4dc206a626159a64957f3ed,0bb0a99618ed4d0207787c5b1b15b04c558016f6706d16894b611a9b80a48a13,e859ca50fb8d1d0432d033b911d7be52e7d0c8bad6d55c30807b52f2bc21c018,e195fc3c551813baf6b9425bf478df8716bb79ddf4eb1440c4aefdd7ac3e5cb3,84ef7b3269b51bffaaab878cbf46f45b520eab8aab2227a8e03f7085904a9c4b,edd14567e4cf92af2fc4fca1a0b2c87ad0d862fdb8b1cbf3047796b6a33d71bc
"100","100","100","100","100","1000000"
"100","100","100","150","100","2000000"
"150","100","100","100","100","2000001"
"100","100","150","100","100","2000002"
"100","100","100","100","150","2000003"
"100","150","100","100","100","2000004"
"100","100","100","300","100","2000005"
"300","100","100","100","100","2000006"
"100","100","300","100","100","2000007"
"100","100","100","100","300","2000008"
"100","300","100","100","100","2000009"
"100","100","100","250","100","2000010"
"250","100","100","100","100","2000011"
"100","100","250","100","100","2000012"
"100","100","100","100","250","2000013"
"100","250","100","100","100","2000014"
"150","100","100","150","100","3000000"
"100","100","150","150","100","3000001"
"100","100","100","150","150","3000002"
"100","150","100","150","100","3000003"
"150","100","150","100","100","3000004"
"150","100","100","100","150","3000005"
"150","150","100","100","100","3000006"
"100","100","150","100","150","3000007"
"100","150","150","100","100","3000008"
"100","150","100","100","150","3000009"
"250","100","100","250","100","3000010"
"100","100","250","250","100","3000011"
"100","100","100","250","250","3000012"
"100","250","100","250","100","3000013"
"250","100","250","100","100","3000014"
"250","100","100","100","250","3000015"
"250","250","100","100","100","3000016"
"100","100","250","100","250","3000017"
"100","250","250","100","100","3000018"
"100","250","100","100","250","3000019"
"150","100","150","150","100","4000000"
"150","100","100","150","150","4000001"
"150","150","100","150","100","4000002"
"100","100","150","150","150","4000003"
"100","150","150","150","100","4000004"
"100","150","100","150","150","4000005"
"150","100","150","100","150","4000006"
"150","150","150","100","100","4000007"
"150","150","100","100","150","4000008"
"100","150","150","100","150","4000009"
"250","100","250","250","100","4000010"
"250","100","100","250","250","4000011"
"250","250","100","250","100","4000012"
"100","100","250","250","250","4000013"
"100","250","250","250","100","4000014"
"100","250","100","250","250","4000015"
"250","100","250","100","250","4000016"
"250","250","250","100","100","4000017"
"250","250","100","100","250","4000018"
"100","250","250","100","250","4000019"
"150","100","150","150","150","5000000"
"150","150","150","150","100","5000001"
"150","150","100","150","150","5000002"
"100","150","150","150","150","5000003"
"150","150","150","100","150","5000004"
"250","100","250","250","250","5000010"
"250","250","250","250","100","5000011"
"250","250","100","250","250","5000012"
"100","250","250","250","250","5000013"
"250","250","250","100","250","5000014"
