f26e290c06ab45ab57d0124f08a9b760930f6b5fbf11b39351ed4f1accc39da1,24512f664b8d6b17b5f277aed7f5a438f4a78232bcc91fdbbc2d959dfba5c0a7,1e1d2ed24a38d2d152e7779962100dc7f8e033977c8a8ba648695a33dc46ce8a,849bf9587e4250cc4988d230d52580c2d90b221c07eb4c4ba57f20df66789d6b,7df6a5a4c7a56caa3335c124564dfd757243a1399bb3169b60d7d15723671635,d3b93fc2e45fa295035fade58e01d0f54b16180f1946a3b4fce7e8a774626157,3308a401d8e76034fe7ec32cf33ef18634639dcd1f46ea294e4535a05c1194cb,e69494b9d0243ec575dbd6e547bbebd9c9cd7b966c0de2f28fc57ba8ba084fa6,8c7b18de2175d2dc5dbada228b20a4a39334b4ef88031f4daee6c9159f2b21e1,a65892e0662f3f0d488e6438fe88f9dc5854fa42c3cff1785fff66b97b1610f6,668bde6a41429471980621101cacddd0b22a6bf3c096bb0fcc5ca3501c64591d
"","","1082","イ","","","","","","",""
"","","1107","オ","","","","","","",""
"","","1176","","","","","","ツ","",""
"ホ","","1189","ー","","","","","","ル",""
"","","1192","ゥー","","","","","","",""
"","","1245","イ","","","","","","",""
"","","1250","","","ゃさ","","","","ちそ",""
"イ","トメア","2013","ト","イトメ","ア","ナイト","ナイア","ナ","メ","ナメア"
"ソ","ンドル","2014","ラ","ラドソ","ル","ランド","ランル","ン","","ドソル"
"","るのと","2015","と","そのと","う","そるの","そるう","る","","そのう"
"な","のとう","2016","と","なのと","の","るなう","るなと","る","う","るのう"
"","くうて","2017","う","ひうて","","ひくう","ひくて","く","い","ひてい"
"","","2019","ゃ","しん","ん","ふゃ","ふゃ","ふ","し","ふん"
"わ","ぎしゅ","2020","し","むぎし","ぎ","むしわ","ぎゅわ","ゅ","む","むゅわ"
"","S","2031","","","","","E","","",""
"","","2032","","","","AE","","","",""
"","","2033","","","","","A","","","R"
"","","2034","","","","","E","","","I"
"","","2036","","","","","UA","","","R"
"","","2037","","E","","Y","E","","","L"
"","","2038","","V","","I","E","","","L"
"","","2040","","","","","L","","","I"
"","","2041","","","","","","","","A"
"","Y","2042","","","","","","","",""
"","K","2043","","","","","","","","A"
"","","2045","","","","","","","","A"
"","Q","2046","","","","","","","","R"
"","","2047","","","","","A","","","R"
"","KQ","2048","","","","","","","","A"
"","","2049","","","","","B","","",""
"","","2050","","","","T","U","","","A"
"","","2052","","","","P","EI","","","C"
"","","2053","","","","T","I","","","A"
"","","2054","","","","S","","","",""
"","","2055","","","","","","","","R"
"","","2056","","","","","V","","",""
"","","2058","","","","","","","","WU"
"","R","2059","","","","","","","",""
"","R","2060","","","","","","","",""
"","","2062","","","","","","","","S"
"","","2063","","S","","S","A","","","E"
"","","2064","","","","A","","","","A"
"","","2065","","","","S","A","","",""
"","C","2066","","","","","","","",""
"","","2067","","","","","B","","",""
"","L","2068","","","","","I","","",""
"","C","2069","","","","","","","","E"
"","","2070","","D","","","E","","",""
"","","2071","","N","","I","A","","",""
"","","2074","","","","A","","","","C"
"","","2077","","","","A","","","","A"
"","","2092","","","し","","","ち","",""
"","フ","2130","","ム","","ト","ン","","","ァ"
"視","","2200","聴言","","聞聴","","","か","わ",""
"","","2201","","","ビブ","","","ー","",""
"","","2202","","","ル","","","","",""
"麦","","2216","飯","","","","","","鯉",""
"し","","2261","ゅ","","","","","","う",""
"","","2264","","","","","","ぅ","",""
"","","2266","ー","","","","","","",""
"ひ","","2295","ふ","","き","","","ん","く",""
"","","2313","","","だ","","","","",""
"","ル","3020","","","","","","","","ナ"
"フ","","3066","ェ","","","","","","",""
"く","","3068","","","","","","","",""
"","","3073","","","","","","","が",""
"","","3084","","","生","","","","",""
"","","3158","","","ア","","","","",""
"","","3165","","","","","","","ひ",""
"","","3187","","","か","","","","",""
"","","3191","","","シス","","","オ","デ",""
"","","3193","","","さ","","","ま","",""
"","ブ","3195","","","","","","","",""
"","","3222","","","","","","","ス",""
"","","3238","","","ず","","","","",""
"","","3271","","","帰","","","","",""
"","","3277","ク","","","","","","",""
"","","3318","","","","","","","ア",""
"","","4029","","","し","","","ち","",""
"","","4049","","","","","","X","",""
"","","4052","","","た","","","","",""
"","","4077","","","さ","","","","",""
"","","4154","","","","","","帯","",""
"","","4157","","","","","そ","","",""
"","","4167","","","","","い","","",""
"","二","4171","","","","","","","",""
"","","4194","","","","倍","","","","小"
"","","4195","","","","約","","","","大"
"高","","4196","","","","","","","底",""
"","半","4197","","","","","","","",""
"","","4203","","","く","","","","",""
"","","4220","","","","","","","ウ",""
"","","4222","ィ","","","","","","",""
"セ","","4247","","","","","","","",""
"","","5010","","","","","","","ー",""
"","","5011","","","","","","","ワ",""
"","","5030","","テカ","","ラモ","","","",""
"","","5031","","レカ","","オモ","","","",""
"","","5051","","","","","","","ー",""
"","","5066","お","","ら","","","","か",""
"","","5100","","","","","","","ぶ",""
"","み","5109","","つ","","じ","","","","つ"
"","カ","5140","","ー","","タ","ン","","","ウ"
"","","5147","","","","","","ロ","",""
"","","5160","","","","","","","と",""
"","卯辰戌","5193","牛","卯戌子","","戌酉子","戌卯辰","","虎","戌酉卯"
"","","6060","","","","","","ト","",""
"","","6065","","","","","","","ほ",""
"","","6157","","","ィ","","","","",""
"","","6188","","ト","","","","","",""
"イ","","6203","ン","","","","","","ド",""
"","","6216","","","ジ","","","ラ","ク",""
"","チ","6227","","","","","ウ","","","ョ"
