aa2c935fd6f3f1fa0b55458fe7ea8d2c3ea15fad2e90bbdb91d7658f12054e5d,e7f8b0644e23f5c0f0a8e2b60ec82ef2d87efcfeaacbf6eff807bb6e68bf33e2,223722fe0fbb62b989eca51be8df863daf4227636721b90eb5f04ac9fbf7d400,5051d57b9149d97ca7619f7a1a2f753c9f4a9d9886b7af314a3484a97c370285,b04d6d3d8bc544ed18b986889670d09539ad9f7b815d00954a98229d8ad8c6ce,b4f0b0ec71f991c4c16a46c3c14ee99ca82c3b4b6ab45694a68e772daa0083c2,e6af00a9b983761c0a5a04786c21ed460a3eb779b7f902bd64d099e79838c5b7,6e495da1a8bea105241589cbd29e0ed28a4c554a05c8ae6cb1e232e1df81e01a,8a5e8d6eb1441b16d3a64d239df39a286bd398239b1b070dcf932c762389baf1,4f1c5ba305cd590e77efc1650fdc72d415bc43bc8d59287a16f8b839d237999b,a9cd09b42b8db7892124939726864037abda5baa4c43f0a460bc0cd18d76ff8b
"1","281001001","8","91002","10","2","25021","8","2","25011","31"
"2","281001002","8","91002","10","2","25021","8","2","25011","31"
"3","281001003","8","91002","10","2","25021","8","2","25011","32"
"4","281001004","8","91002","10","2","25021","8","2","25011","32"
"5","281001005","8","91002","10","2","25021","8","2","25011","33"
"6","281001006","8","91002","10","2","25021","9","2","25011","33"
"7","281001007","8","91002","10","2","25021","9","2","25011","34"
"8","281001008","8","91002","10","2","25021","9","2","25011","35"
"9","281001009","8","91002","10","2","25021","9","2","25011","35"
"10","281001010","8","91002","30","2","25021","10","2","25011","37"
"11","281001011","8","91002","10","2","25021","10","2","25011","41"
"12","281001012","8","91002","10","2","25021","11","2","25011","43"
"13","281001013","8","91002","10","2","25021","11","2","25011","46"
"14","281001014","8","91002","10","2","25021","12","2","25011","48"
"15","281001015","8","91002","10","2","25021","12","2","25011","50"
"16","281001016","8","91002","10","2","25021","13","2","25011","53"
"17","281001017","8","91002","10","2","25021","14","2","25011","55"
"18","281001018","8","91002","10","2","25021","14","2","25011","58"
"19","281001019","8","91002","10","2","25021","15","2","25011","60"
"20","281001020","8","91002","30","2","25021","15","2","25011","62"
"21","281001021","8","91002","10","2","25021","16","2","25011","68"
"22","281001022","8","91002","10","2","25021","16","2","25011","70"
"23","281001023","8","91002","10","2","25021","16","2","25011","72"
"24","281001024","8","91002","10","2","25021","17","2","25011","75"
"25","281001025","8","91002","10","2","25021","18","2","25011","77"
"26","281001026","8","91002","10","2","25021","18","2","25011","79"
"27","281001027","8","91002","10","2","25021","19","2","25011","82"
"28","281001028","8","91002","10","2","25021","19","2","25011","84"
"29","281001029","8","91002","10","2","25021","19","2","25011","86"
"30","281001030","8","91002","30","2","25021","20","2","25011","89"
