be02009963f33741d5d36a5f525a75f2be642f291f8d176c0afca1eda3c92945,54121ce52625f7d6ff26d329afd02185d56fc42c0fdb1f38c745b8f94f0b78d6,08e372e7d42c9edef6bb51c2ae1fe007b792c527c4de1f8c6b1e03032e25bc0d,abe436a2995571c1e56a3928bd1553d59af57158a4124301e6c8299e6bdd76b0,b319dc8bccd28b75ac3f0e5653fe4782898078f4aea1b95298e45104e1439d70
"1001","0","1","1","0"
"1002","0","2","1","0"
"1003","0","3","1","0"
"1004","0","4","1","0"
"2001","0","1","2","0"
"2002","0","2","2","0"
"2003","0","3","2","0"
"2004","0","4","2","0"
"2101","0","1","2","1"
"2102","0","2","2","1"
"2103","0","3","2","1"
"2104","0","4","2","1"
"2111","10001","11","2","2"
"2112","10001","12","2","2"
"2113","10001","13","2","2"
"3001","0","1","3","0"
"3002","0","2","3","0"
"3003","0","3","3","0"
"3004","0","4","3","0"
"4001","0","1","4","0"
"4002","0","2","4","0"
"4003","0","3","4","0"
"4004","0","4","4","0"
"4005","0","100","4","0"
"5010","0","10101","5","1"
"5020","1","10201","5","2"
"5021","2","10202","5","2"
"5030","0","10301","5","3"
"5031","1","10301","5","3"
"5040","0","10302","5","4"
"5050","0","10303","5","5"
"5060","0","10304","5","6"
"6001","0","90001","6","1"
"6002","0","90001","6","2"
"6003","1","90001","6","2"
"6006","0","90001","6","3"
"6007","1","91101","6","3"
"6008","2","91201","6","3"
"6009","3","91301","6","3"
"6010","0","90001","6","4"
"6011","1","91101","6","4"
"6012","2","91201","6","4"
"6013","3","91301","6","4"
"6014","0","90001","6","5"
"6015","1","91101","6","5"
"6016","2","91201","6","5"
"6017","3","91301","6","5"
"6018","0","90001","6","6"
"6019","1","91101","6","6"
"6020","2","91201","6","6"
"6021","3","91301","6","6"
"7000","0","90002","7","0"
"7001","1","90002","7","0"
"7002","2","90003","7","0"
"7003","1","90002","7","2"
"7004","2","90003","7","2"
"7005","1","91102","7","3"
"7006","2","91103","7","3"
"7007","1","91102","7","4"
"7008","2","91103","7","4"
"7009","1","91102","7","5"
"7010","2","91103","7","5"
"7011","1","91102","7","6"
"7012","2","91103","7","6"
"9001","0","20101","9","0"
"10001","0","20201","10","0"
"10002","0","20202","10","1"
"10180","0","10501","101","8"
"100001","0","1","100","1"
"100002","0","1","100","2"
"100003","0","2","100","3"
"100004","0","2","100","4"
"100005","0","2","100","5"
"100006","0","2","100","6"
"980001","0","10301","101","98001"
"980002","2","10402","101","98001"
"980011","1","10401","101","98011"
"980012","2","10402","101","98012"
