89de8246297776b7144ece9b79fedff6ba248dc160fb2bf99cd35215b9bbd414,5e3fadcf04ccf33b29d16f477533476296c5c9e3c4d2a5d45a4ae291a8c287e0,8ed4bc523363a724800703d499335a4ec9f22911f7dce0e2b43663a303e17016
"1","1","101"
"2","1","103"
"3","1","105"
"4","2","101"
"5","2","102"
"6","2","103"
"7","2","105"
"8","3","101"
"9","3","102"
"10","3","103"
"11","4","101"
"12","4","103"
"13","4","104"
"14","4","105"
"15","5","103"
"16","5","104"
"17","5","105"
"18","6","102"
"19","6","104"
"20","6","106"
"21","7","101"
"22","7","102"
"23","7","106"
"24","8","102"
"25","8","103"
"26","8","106"
"27","9","103"
"28","9","104"
"29","9","105"
"30","10","101"
"31","10","103"
"32","10","105"
"33","11","107"
"34","11","108"
