109b44c635a82b69463808c402c4b07060ce747dc29098ffef65eedadf63d021,49f7d532e50955804545e171f9bb7c398cc75661dd272c2376985724499e9705,edf723160eab50fac5c083232af2be0c9c2c5a75522d38307004a4af0afd2443,2cf452971c2c377d96d35513f30f4677bbf807e15a85fe024680b39518f52898,b071873fdbc7c640ffad6f1a7b5864538be00298f77a57f70d6e87a62a5dc5c3,9b32f2f215c0edd6fd9596b978783d3d5823e6d7d182285a736d488d8006f3bc,797c6d60563faafcc7f8fa9859456860c9d895262fe12bfd754f482d6ad2c8d1,c2b0e5f9aad1b433f58ed660ee5281a3474a355fe4a69430929ca078b88d8907,7823a2a5fc711cd222344cd117aebdf8be2b21a1d36d463ee58648d959c204ad,e10b4eb58240812ccab8fa9b714245a317170f42e20f1f95fd434b6ad2d5f65c,7b302394c387815d1a9e8d733e1000de211dce7e22e84ddec506d012c97fc124
"-216","1.4","5","idle_normal","1","-103","100","1","1001","1","1"
"-140","0","31","","13","1","-57","","1002","13","1"
"-140","0","31","","14","1","-57","","1003","14","1"
"","","91","","0","","","","1004","0","1"
"top_luis_arm_crossed_idle","0.2","3","","1","1","0","0","1005","top_luis_arm_crossed_in","1"
"","","93","","4","","","","1006","0","1"
"top_luis_approach_idle","0.2","3","","1","1","0","0","1007","top_luis_approach_in","1"
"","","93","","3.5","","","","1008","0","1"
"","0.2","3","","1","","1","","1009","top_luis_thinking","1"
"","","93","","3.5","","","","1010","0","1"
"","0.2","3","","1","","1","","1011","top_luis_walk_think","1"
"2","","2","","1","0","-103","","1012","-495","1"
"","","93","","2","","","","1013","0","1"
"","","4","","1","","","","1014","0","1"
"2","","2","","1","0","-103","","1015","-216","1"
"","","93","","2","","","","1016","0","1"
"","0","3","","1","","1","","1017","top_luis_notice","1"
"","","93","","1","","","","1018","0","1"
"","0.2","3","","1","","1","","1019","top_luis_walk_jog","1"
"0.5","","2","","1","0","-130","","1020","-100","1"
"","","93","","0.5","","","","1021","0","1"
"","","4","","1","","","","1022","1","1"
"top_luis_sit_idle","0.2","3","","1","1","0","0","1023","top_luis_sit_in","1"
"","","93","","0.1","","","","1024","0","1"
"0.4","","2","","1","0","-140","","1025","-57","1"
"","","93","","1","","","","1026","0","1"
"","0.2","3","","1","","0","","1027","top_luis_experiment_failer_in","1"
"","","93","","2.3","","","","1028","0","1"
"","0.1","3","","1","","0","","1029","top_luis_experiment_failer_mix","1"
"","","93","","2.7","","","","1030","0","1"
"","","32","","13","","","","1031","1","1"
"","0.1","3","","1","","0","","1032","top_luis_experiment_failer_burst","1"
"","","93","","2.7","","","","1033","0","1"
"","0.1","3","","1","","0","","1034","top_luis_experiment_failer_out","1"
"","","93","","1.1","","","","1035","0","1"
"idle_normal","0.2","3","","1","1","0","0","1036","top_luis_sit_out","1"
"0.3","","2","","1","0","-130","","1037","-100","1"
"","","93","","1","","","","1038","0","1"
"","0.2","3","","1","","0","","1039","walk_normal","1"
"1","","2","","1","0","-103","","1040","-216","1"
"","","93","","1","","","","1041","0","1"
"","0.1","3","","1","","0","","1042","idle_normal","1"
"","","93","","0.8","","","","1043","0","1"
"","","32","","13","","","","1044","0","1"
"top_luis_arm_crossed_idle","0.2","3","","1","1","0","0","1045","top_luis_arm_crossed_in","1"
"","","93","","4","","","","1046","0","1"
"top_luis_approach_idle","0.2","3","","1","1","0","0","1047","top_luis_approach_in","1"
"","","93","","3.5","","","","1048","0","1"
"","0.2","3","","1","","1","","1049","top_luis_thinking","1"
"","","93","","3.5","","","","1050","0","1"
"","0.2","3","","1","","1","","1051","top_luis_walk_think","1"
"2","","2","","1","0","-103","","1052","-495","1"
"","","93","","2","","","","1053","0","1"
"","","4","","1","","","","1054","0","1"
"2","","2","","1","0","-103","","1055","-216","1"
"","","93","","2","","","","1056","0","1"
"","0","3","","1","","1","","1057","top_luis_notice","1"
"","","93","","1","","","","1058","0","1"
"","0.2","3","","1","","1","","1059","top_luis_walk_jog","1"
"0.5","","2","","1","0","-130","","1060","-100","1"
"","","93","","0.5","","","","1061","0","1"
"","","4","","1","","","","1062","1","1"
"top_luis_sit_idle","0.2","3","","1","1","0","0","1063","top_luis_sit_in","1"
"","","93","","0.1","","","","1064","0","1"
"0.4","","2","","1","0","-140","","1065","-57","1"
"","","93","","1","","","","1066","0","1"
"","0.2","3","","1","","0","","1067","top_luis_experiment_success_in","1"
"","","93","","2.3","","","","1068","0","1"
"","0.1","3","","1","","0","","1069","top_luis_experiment_success_mix","1"
"","","93","","2.7","","","","1070","0","1"
"","","32","","14","","","","1071","1","1"
"","0.1","3","","1","","0","","1072","top_luis_experiment_success_burst","1"
"","","93","","2.7","","","","1073","0","1"
"","0.1","3","","1","","0","","1074","top_luis_experiment_success_out","1"
"","","93","","1.1","","","","1075","0","1"
"idle_normal","0.2","3","","1","1","0","0","1076","top_luis_sit_out","1"
"0.3","","2","","1","0","-130","","1077","-100","1"
"","","93","","1","","","","1078","0","1"
"","0.2","3","","1","","0","","1079","walk_normal","1"
"1","","2","","1","0","-103","","1080","-216","1"
"","","93","","1","","","","1081","0","1"
"","0.1","3","","1","","0","","1082","idle_normal","1"
"","","93","","0.8","","","","1083","0","1"
"","","32","","14","","","","1084","0","1"
"0","","101","","1005","","0","","1085","","1"
"400","1.43","5","top_iroha_read","2","-130","100","1","2001","2","2"
"980","1.4","5","butterfly","11","130","101","1","2002","11","2"
"-130","0","31","","11","1","400","","2003","11","2"
"","","91","","0","","","","2004","0","2"
"","0.2","3","","2","","1","","2005","top_iroha_read","2"
"","","93","","9","","","","2006","0","2"
"","","4","","11","","","","2007","1","2"
"7","","2","","11","0","130","","2008","-980","2"
"","","93","","2.5","","","","2009","0","2"
"","0.2","3","","2","","0","","2010","top_iroha_read_notice","2"
"","","93","","0.6","","","","2011","0","2"
"top_iroha_run","0","3","","2","1","0","0","2012","top_iroha_notice_to_run","2"
"","","93","","0.4","","","","2013","0","2"
"","","32","","11","","","","2014","1","2"
"","","37","","11","","","","2015","smokeR","2"
"4.2","","33","","11","0","-130","","2016","-980","2"
"4.2","","2","","2","0","-130","","2017","-980","2"
"","","93","","4.2","","","","2018","0","2"
"","","32","","11","","","","2019","0","2"
"","","93","","1","","","","2020","0","2"
"","","4","","11","","","","2021","0","2"
"7","","2","","11","0","130","","2022","980","2"
"","","93","","1.5","","","","2023","0","2"
"","","32","","11","","","","2024","1","2"
"","","37","","11","","","","2025","smokeL","2"
"5.964","","33","","11","0","-130","","2026","980","2"
"","0","3","","2","","1","","2027","top_iroha_run_joy","2"
"","","4","","2","","","","2028","0","2"
"5.964","","2","","2","0","-130","","2029","980","2"
"","","93","","5.964","","","","2030","0","2"
"","","32","","11","","","","2031","0","2"
"","","93","","2","","","","2032","0","2"
"","0","3","","2","","1","","2033","top_iroha_walk","2"
"","","4","","2","","","","2034","1","2"
"3","","2","","2","0","-130","","2035","400","2"
"3","","33","","11","0","-130","","2036","400","2"
"","","93","","3","","","","2037","0","2"
"idle_normal","0.2","3","","2","1","0","0","2038","top_iroha_walk_out","2"
"","","93","","0.4","","","","2039","0","2"
"","0.2","3","","2","","0","0.2","2040","top_iroha_sit_in","2"
"","","93","","4","","","","2041","0","2"
"","","101","","2005","","","","2042","","2"
"350","1.38","5","top_sono_readPaper","3","-130","100","1","3001","3","3"
"-18","1","31","","10","1","475","","3002","10","3"
"","","91","","0","","","","3003","0","3"
"","0.2","3","","3","","1","","3004","top_sono_readPaper","3"
"","","93","","13.6","","","","3005","0","3"
"top_sono_stretch","0.2","3","","3","1","0","0","3006","top_sono_sit_out","3"
"","","93","","3.5","","","","3007","0","3"
"","0.2","3","","3","","1","","3008","top_sono_drink","3"
"","","93","","10.5","","","","3009","","3"
"","0.2","3","","3","","0","","3010","top_sono_sit_in","3"
"","","93","","2.6","","","","3011","0","3"
"","","101","","3004","","","","3012","","3"
"400","1.43","5","top_iroha_read","2","-130","101","1","4001","2","4"
"-216","1.4","5","top_luis_thinking","1","-103","100","1","4002","1","4"
"980","1.4","5","butterfly","11","130","102","1","4003","11","4"
"-130","0","31","","11","1","400","","4004","11","4"
"","","91","","0","","","","4005","0","4"
"","0.2","3","","1","","1","","4006","top_luis_thinking","4"
"","0.2","3","","2","","1","","4007","top_iroha_read","4"
"","","93","","9","","","","4008","0","4"
"","","4","","11","","","","4009","1","4"
"7","","2","","11","0","130","","4010","-980","4"
"","","93","","2.5","","","","4011","0","4"
"","0.2","3","","2","","0","","4012","top_iroha_read_notice","4"
"","","93","","0.6","","","","4013","0","4"
"top_iroha_run","0","3","","2","1","0","0","4014","top_iroha_notice_to_run","4"
"","","93","","0.4","","","","4015","0","4"
"","","32","","11","","","","4016","1","4"
"","","37","","11","","","","4017","smokeR","4"
"4.2","","33","","11","0","-130","","4018","-980","4"
"4.2","","2","","2","0","-130","","4019","-980","4"
"","","93","","1.9","","","","4020","0","4"
"top_luis_surprise_idle","0.2","3","","1","1","0","0","4021","top_luis_surprise_in","4"
"","","93","","2.3","","","","4022","0","4"
"","","32","","11","","","","4023","0","4"
"","","93","","1","","","","4024","0","4"
"","","4","","11","","","","4025","0","4"
"7","","2","","11","0","130","","4026","980","4"
"","","93","","1.5","","","","4027","0","4"
"","","32","","11","","","","4028","1","4"
"","","37","","11","","","","4029","smokeL","4"
"5.964","","33","","11","0","-130","","4030","980","4"
"","0","3","","2","","1","","4031","top_iroha_run_joy","4"
"","","4","","2","","","","4032","0","4"
"5.964","","2","","2","0","-130","","4033","980","4"
"","","93","","2.2","","","","4034","0","4"
"","0","3","","1","","1","","4035","top_luis_surprise_look","4"
