cbed94ab9ac1ea323b72a2a9c960f956fa4551a1dcec29a60b05ea60b7bd28fa,35297443de7be9ad8b4dc93f22706e51ff83474b93e22de9988afe6a05947a40,d4c72fbb0d868157bfcc1d33bba5278dd044fdc46529f3c3c4a80f5428c1f696,a447f5bf17e74ce7736e0f84ce891059677e2a279fda0531184935a9944c4d54,1b38d325c5493986794fa7075f5bd8c61e7cc2a0bd86382867db192ea6d0008b,1f695e8e521e90239e2143966ee845d2d48c5e736377e086736ce61f5153749a,0db12590a1d30d5b02c25f1f5b0933bba6c7dee15236910e0ce8fbf8059a4881,a3c281187d3e5e810d38c1e2848c606b833834dfa90a651e40dc828fa73a62fc,16e0f9339780a63d29228e131a9e22df733832e0dbd455c360ee6bfab9eb3569,8bdaa2a52559831cf7f65db8495b1704f6b3afc20e599b33772403e62a020712,27cd30b38659beb407f25384d6ecc62f68c547a799e22f9c57c5d927946e5e43,521d722b3f0a4bfaf6dfd3a195f4eaafc6a1f431a986a477831f28cdfc2419c2,c94202a103899a50b6597c5d92b0ecd1dc28726ec906cb84271b3a8ea7632fe2,abc6d0ccf8d4b2732b0509d3276f649afc84897b6cfa681abf62ed5da1184da7
"ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","3.414","カリン","10038","1","2020/03/31 12:00:00","1","2020/04/18 14:59:59","190801","0","-416.5","53","2","10038001"
"ミッションをクリアして、\n報酬をゲットしましょう！","3.099","カリン","10038","2","2020/03/31 12:00:00","1","2020/04/18 14:59:59","190801","0","-416.5","53","2","10038002"
"受け取ることができる\n報酬があるようです\n確認してみてください","2.801","カリン","10038","3","2020/03/31 12:00:00","1","2020/04/18 14:59:59","190801","0","-416.5","54","2","10038003"
"報酬がもらえますよ！\nチェックしてみてください","0","カリン","10038","4","2020/03/31 12:00:00","2","2020/04/18 14:59:59","190801","0","-416.5","54","2","10038004"
"イベントお疲れ様です！\n皆さんのご活躍ぶりには\nいつも感謝しています","0","カリン","10038","5","2020/03/31 12:00:00","1","2020/04/18 14:59:59","190801","0","-416.5","57","1","10038005"
"ギルド管理協会です！\n討伐証をお持ちでしたら、\n報酬交換できますよ","5.506","カリン","10038","1","2020/03/31 12:00:00","1","2020/04/18 14:59:59","190801","0","-363","55","2","10038006"
"お疲れ様です！\nここでは、討伐証と報酬を\n交換することができます！","1.216","カリン","10038","2","2020/03/31 12:00:00","2","2020/04/18 14:59:59","190801","0","-363","55","1","10038007"
"お疲れ様でした\n討伐証の交換、\nお忘れないように！","1.539","カリン","10038","3","2020/03/31 12:00:00","2","2020/04/18 14:59:59","190801","0","-363","56","1","10038008"
"終わっちゃいましたねー\n討伐証は努力の証！\n報酬と交換しましょう！","1.875","カリン","10038","4","2020/03/31 12:00:00","2","2020/04/18 14:59:59","190801","0","-363","56","1","10038009"
"","9.376","チエル","10038","101","2020/03/31 12:00:00","1","2020/04/18 14:59:59","110901","8","-285","51","7","10038101"
"","11.12","クロエ","10038","201","2020/03/31 12:00:00","1","2020/04/18 14:59:59","110801","8","-285","51","7","10038102"
"","15.936","ユニ","10038","301","2020/03/31 12:00:00","1","2020/04/18 14:59:59","111001","8","-285","51","4","10038103"
"","8.78","チエル","10038","102","2020/03/31 12:00:00","1","2020/04/18 14:59:59","110901","8","-285","51","3","10038104"
"","9.573","クロエ","10038","202","2020/03/31 12:00:00","1","2020/04/18 14:59:59","110801","8","-285","51","6","10038105"
"","0","ユニ","10038","302","2020/03/31 12:00:00","1","2020/04/18 14:59:59","111001","8","-285","51","1","10038106"
"","12.005","チエル","10038","103","2020/03/31 12:00:00","1","2020/04/18 14:59:59","110901","8","-285","51","2","10038107"
"","5.22","クロエ","10038","203","2020/03/31 12:00:00","2","2020/04/18 14:59:59","110801","8","-285","51","1","10038108"
"","6.41","ユニ","10038","303","2020/03/31 12:00:00","1","2020/04/18 14:59:59","111001","8","-285","51","4","10038109"
"","10.08","チエル","10038","104","2020/03/31 12:00:00","4","2020/04/18 14:59:59","110901","8","-285","52","1","10038110"
