9ab8d4b6adac90ba3fe883841b927079bd43c65dbaafb97f65b68c5c8fc3753c,61bf93de165650ab8c28ce1fff9b0dc9791cb7cea693e9be2370e965c318c8ae,e62aa9095de9d49be32bec6876df2b0ec087390426bd1a75091af105ff0c03d8,8ba77341de2ce4410e81a272c3272b3c198f8551d4239a0e1873df828f2e7a50,ca44099ddb01799cde62a7080cdaa7acd3ec4e3c00fae9887b9c1bb031235938,e2f0d80b42ec0b5574f9d50568e8ed13861cd9c78205fe6babebe38f0558006b,fc00ec017c980fae37db04322c4300add176ac5e4c1808e2cd3a23a130cf2112,0b664c80a68d9f5d33bb94873e439e45acef059a63a7c80dc933de4b2dc43583,0a480874085736dfea1079498b39aaa41ad58246acb4b5ff96111fb0a2a17c3b,9f2f2d647f8f5d02d29ba7bca7734648d32cf2dc28b43681a1fe75f1dc6684a2,7edd8d9d4756d5ab256a34c9ce71a8263b4e17a33df3cf7f7ff6787ee085134e
"-194","1","1","100","1","40","1001","1","sjr_talk_idle","1.65","122611"
"","1","","1","3","","1002","122611","","0.2","sjr_talk_wish_look"
"","1","","0","21","0","1003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_001"
"0","1","0","10","11","1","1004","122611","1","0","騎士クン…見ててね\nわたし、頑張って\n走るから…！"
"","1","","","91","","1005","0","","",""
"","1","","1","3","","1006","122611","","0.2","sjr_talk_idle"
"-194","2","1","100","1","40","2001","1","sjr_talk_idle","1.65","122611"
"","2","","1","3","","2002","122611","","0.2","sjr_talk_mouth_hidden_shy"
"","2","","0","21","0","2003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_002"
"0","2","0","7","11","1","2004","122611","1","0","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…"
"","2","","","91","","2005","0","","",""
"","2","","1","3","","2006","122611","","0.2","sjr_talk_idle"
"-194","3","1","100","1","40","3001","1","sjr_talk_idle","1.65","122611"
"1","3","0","0","3","sjr_talk_stepback_worry","3002","122611","","0.2","sjr_talk_stepback_surprise_worry"
"","3","","0","21","0","3003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_003"
"0","3","0","8","11","1","3004","122611","1","0","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…"
"","3","","","91","","3005","0","","",""
"","3","","1","3","","3006","122611","","0.2","sjr_talk_idle"
"-194","4","1","100","1","40","4001","1","sjr_talk_idle","1.65","122611"
"","4","","1","3","","4002","122611","","0.2","sjr_talk_thinking_surprise"
"","4","","0","21","0","4003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_004"
"0","4","0","6","11","1","4004","122611","1","0","変わったコースが\nいっぱいあるね\nどれに出ようかな…"
"","4","","","91","","4005","0","","",""
"","4","","1","3","","4006","122611","","0.2","sjr_talk_idle"
"-194","5","1","100","1","40","5001","1","sjr_talk_idle","1.65","122611"
"1","5","0","0","3","sjr_talk_guts2_anger_loop","5002","122611","","0.2","sjr_talk_guts2_anger"
"","5","","0","21","0","5003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_005"
"0","5","0","7","11","1","5004","122611","1","0","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！"
"","5","","","91","","5005","0","","",""
"","5","","1","3","","5006","122611","","0.2","sjr_talk_idle"
"-194","6","1","100","1","40","6001","1","sjr_talk_idle","1.65","122511"
"1","6","0","0","3","sjr_talk_arm_crossed_look_loop","6002","122511","","0.2","sjr_talk_arm_crossed_joy_look"
"","6","","0","21","0","6003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_006"
"0","6","0","6","11","1","6004","122511","1","0","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ"
"","6","","","91","","6005","0","","",""
"","6","","1","3","","6006","122511","","0.2","sjr_talk_idle"
"-194","7","1","100","1","40","7001","1","sjr_talk_idle","1.65","122511"
"","7","","1","3","","7002","122511","","0.2","sjr_talk_mouth_hidden2_shy"
"","7","","0","21","0","7003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_007"
"0","7","0","6","11","1","7004","122511","1","0","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…"
"","7","","","91","","7005","0","","",""
"","7","","1","3","","7006","122511","","0.2","sjr_talk_idle"
"-194","8","1","100","1","40","8001","1","sjr_talk_idle","1.65","122511"
"","8","","1","3","","8002","122511","","0.2","sjr_talk_mouth_hidden"
"","8","","0","21","0","8003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_008"
"0","8","0","6","11","1","8004","122511","1","0","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！"
"","8","","","91","","8005","0","","",""
"","8","","1","3","","8006","122511","","0.2","sjr_talk_idle"
"-194","9","1","100","1","40","9001","1","sjr_talk_idle","1.65","122511"
"","9","","1","3","","9002","122511","","0.2","sjr_talk_stepback_surprise"
"","9","","0","21","0","9003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_009"
"0","9","0","6","11","1","9004","122511","1","0","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな"
"","9","","","91","","9005","0","","",""
"","9","","1","3","","9006","122511","","0.2","sjr_talk_idle"
"-194","10","1","100","1","40","10001","1","sjr_talk_idle","1.65","122511"
"","10","","1","3","","10002","122511","","0.2","sjr_talk_thinking_blink"
"","10","","0","21","0","10003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_010"
"0","10","0","5","11","1","10004","122511","1","0","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か"
"","10","","","91","","10005","0","","",""
"","10","","1","3","","10006","122511","","0.2","sjr_talk_idle"
"-194","11","1","100","1","40","11001","1","sjr_talk_idle","1.65","122411"
"1","11","0","0","3","sjr_talk_eieio_loop","11002","122411","","0.2","sjr_talk_eieio"
"","11","","0","21","0","11003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_011"
"0","11","0","6","11","1","11004","122411","1","0","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！"
"","11","","","91","","11005","0","","",""
"","11","","1","3","","11006","122411","","0.2","sjr_talk_idle"
"-194","12","1","100","1","40","12001","1","sjr_talk_idle","1.65","122411"
"","12","","1","3","","12002","122411","","0.2","sjr_talk_arm_opened_wink"
"","12","","0","21","0","12003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_012"
"0","12","0","6","11","1","12004","122411","1","0","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！"
"","12","","","91","","12005","0","","",""
"","12","","1","3","","12006","122411","","0.2","sjr_talk_idle"
"-194","13","1","100","1","40","13001","1","sjr_talk_idle","1.65","122411"
"1","13","0","0","3","sjr_talk_doya_loop","13002","122411","","0.2","sjr_talk_doya"
"","13","","0","21","0","13003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_013"
"0","13","0","8","11","1","13004","122411","1","0","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪"
"","13","","","91","","13005","0","","",""
"","13","","1","3","","13006","122411","","0.2","sjr_talk_idle"
"-194","14","1","100","1","40","14001","1","sjr_talk_idle","1.65","122411"
"1","14","0","0","3","sjr_talk_swing_joy","14002","122411","","0.2","sjr_talk_watch_arm_opened"
"","14","","0","21","0","14003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_014"
"0","14","0","7","11","1","14004","122411","1","0","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！"
"","14","","","91","","14005","0","","",""
"","14","","1","3","","14006","122411","","0.2","sjr_talk_idle"
"-194","15","1","100","1","40","15001","1","sjr_talk_idle","1.65","122411"
"","15","","1","3","","15002","122411","","0.2","sjr_talk_wish_doya"
"","15","","0","21","0","15003","vo_minigame_1010","","","vo_minigame_1010_top_talk_1_015"
"0","15","0","7","11","1","15004","122411","1","0","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！"
"","15","","","91","","15005","0","","",""
"","15","","1","3","","15006","122411","","0.2","sjr_talk_idle"
"-194","16","1","100","1","72","16001","1","sjr_talk_idle","1.65","122611"
"-194","16","0","100","1","-72","16002","1","sjr_talk_idle","1.65","122511"
"","16","","1","3","","16003","122611","","0.2","sjr_talk_wish_doya"
"","16","","0","21","0","16004","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_001"
"0","16","0","5","11","1","16005","122611","1","0","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから"
"","16","","","91","","16006","0","","",""
"","16","","1","3","","16007","122611","","0.2","sjr_talk_idle"
"1","16","0","0","3","sjr_talk_arm_crossed_joy_loop","16008","122511","","0.2","sjr_talk_arm_crossed_normal_joy"
"","16","","0","21","0","16009","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_002"
"0","16","0","6","11","1","16010","122511","0.5","0","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう"
"","16","","","91","","16011","0","","",""
"","16","","1","3","","16012","122511","","0.2","sjr_talk_idle"
"-194","17","1","100","1","72","17001","1","sjr_talk_idle","1.65","122611"
"-194","17","0","100","1","-72","17002","1","sjr_talk_idle","1.65","122511"
"","17","","1","3","","17003","122511","","0.2","sjr_talk_worry_shy"
"","17","","0","21","0","17004","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_003"
"0","17","0","6","11","1","17005","122511","0.5","0","ねぇユイ\n水着で走るのって\nちょっと…"
"","17","","","91","","17006","0","","",""
"","17","","1","3","","17007","122511","","0.2","sjr_talk_idle"
"","17","","1","3","","17008","122611","","0.2","sjr_talk_wish_shy"
"","17","","0","21","0","17009","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_004"
"0","17","0","5","11","1","17010","122611","0.5","0","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！"
"","17","","","91","","17011","0","","",""
"","17","","1","3","","17012","122611","","0.2","sjr_talk_idle"
"1","17","0","0","3","sjr_talk_thinking_light","17013","122511","","0.2","sjr_talk_thinking_blink_light"
"","17","","0","21","0","17014","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_005"
"0","17","0","6","11","1","17015","122511","0.5","0","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！"
"","17","","","91","","17016","0","","",""
"","17","","1","3","","17017","122511","","0.2","sjr_talk_idle"
"-194","18","1","100","1","72","18001","1","sjr_talk_idle","1.65","122611"
"-194","18","0","100","1","-72","18002","1","sjr_talk_idle","1.65","122511"
"","18","","1","3","","18003","122611","","0.2","sjr_talk_wish_surprise"
"","18","","0","21","0","18004","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_006"
"0","18","0","7","11","1","18005","122611","0.5","0","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…"
"","18","","","91","","18006","0","","",""
"","18","","1","3","","18007","122611","","0.2","sjr_talk_idle"
"1","18","0","0","3","sjr_talk_arm_crossed_normal2_loop","18008","122511","","0.2","sjr_talk_arm_crossed_normal2"
"","18","","0","21","0","18009","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_007"
"0","18","0","7","11","1","18010","122511","0.5","0","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ"
"","18","","","91","","18011","0","","",""
"","18","","1","3","","18012","122511","","0.2","sjr_talk_idle"
"-194","19","1","100","1","72","19001","1","sjr_talk_idle","1.65","122611"
"-194","19","0","100","1","-72","19002","1","sjr_talk_idle","1.65","122411"
"1","19","0","0","3","sjr_talk_idle_joy","19003","122611","","0.2","sjr_talk_wave_hand"
"","19","","0","21","0","19004","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_008"
"0","19","0","11","11","1","19005","122611","0.5","0","ヒヨリちゃん\n楽しんでる？"
"","19","","","91","","19006","0","","",""
"","19","","1","3","","19007","122611","","0.2","sjr_talk_idle"
"1","19","0","0","3","sjr_talk_swing_joy2","19008","122411","","0.2","sjr_talk_fun"
"","19","","0","21","0","19009","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_009"
"0","19","0","8","11","1","19010","122411","0.5","0","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！"
"","19","","","91","","19011","0","","",""
"","19","","1","3","","19012","122411","","0.2","sjr_talk_idle"
"","19","","1","3","","19013","122611","","0.2","sjr_talk_laugh"
"","19","","0","21","0","19014","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_010"
"0","19","0","8","11","1","19015","122611","0.5","0","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！"
"","19","","","91","","19016","0","","",""
"","19","","1","3","","19017","122611","","0.2","sjr_talk_idle"
"-194","20","1","100","1","72","20001","1","sjr_talk_idle","1.65","122611"
"-194","20","0","100","1","-72","20002","1","sjr_talk_idle","1.65","122411"
"1","20","0","0","3","sjr_talk_guts2_loop","20003","122411","","0.2","sjr_talk_guts2"
"","20","","0","21","0","20004","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_011"
"0","20","0","9","11","1","20005","122411","0.5","0","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー"
"","20","","","91","","20006","0","","",""
"","20","","1","3","","20007","122411","","0.2","sjr_talk_idle"
"1","20","0","0","3","sjr_talk_mouth_hidden_guru","20008","122611","","0.2","sjr_talk_mouth_hidden_dere_guru"
"","20","","0","21","0","20009","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_012"
"0","20","0","5","11","1","20010","122611","0.5","0","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…"
"","20","","","91","","20011","0","","",""
"1","20","0","0","3","sjr_talk_shock_loop","20012","122411","","0.2","sjr_talk_shock"
"","20","","0","21","0","20013","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_013"
"0","20","0","17","11","1","20014","122411","0.5","0","わーっ！？\nユイちゃん！？\n目がグルグルだー！？"
"","20","","","91","","20015","0","","",""
"","20","","1","3","","20016","122611","","0.2","sjr_talk_idle"
"","20","","1","3","","20017","122411","","0.2","sjr_talk_idle"
"-194","21","1","100","1","72","21001","1","sjr_talk_idle","1.65","122611"
"-194","21","0","100","1","-72","21002","1","sjr_talk_idle","1.65","122411"
"","21","","1","3","","21003","122611","","0.2","sjr_talk_worry_sad"
"","21","","0","21","0","21004","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_014"
"0","21","0","9","11","1","21005","122611","0.5","0","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？"
"","21","","","91","","21006","0","","",""
"","21","","1","3","","21007","122611","","0.2","sjr_talk_idle"
"0","21","0","0","3","sjr_talk_guts2_joy_loop","21008","122411","","0.2","sjr_talk_laugh_guts"
"","21","","0","21","0","21009","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_015"
"0","21","0","6","11","1","21010","122411","0.5","0","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪"
"","21","","","91","","21011","0","","",""
"","21","","1","3","","21012","122411","","0.2","sjr_talk_idle"
"-194","22","1","100","1","72","22001","1","sjr_talk_idle","1.65","122511"
"-194","22","0","100","1","-72","22002","1","sjr_talk_idle","1.65","122411"
"1","22","0","0","3","sjr_talk_arm_crossed_normal_loop","22003","122511","","0.2","sjr_talk_arm_crossed_normal"
"","22","","0","21","0","22004","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_016"
"0","22","0","7","11","1","22005","122511","0.5","0","相手がヒヨリとはいえ\n負けるつもりは\nないからね"
"","22","","","91","","22006","0","","",""
"","22","","1","3","","22007","122511","","0.2","sjr_talk_idle"
"1","22","0","0","3","sjr_talk_guts_loop","22008","122411","","0.2","sjr_talk_guts"
"","22","","0","21","0","22009","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_017"
