1367093219bba6003a6d4792a56bb4f552503728ad537830a7a7259087642383,554e53efbb7fa296dba7e405b30eb3354462a2d9131160dcdf7966e78f3d15ba,b46584f92f7273cbf380a1564b1f0b79c1fe75505d1948d3034fa6ca4961c22d,d5905d3e05918bc69c949c7f2ab7f7f0519d4b290f977218925ff603de8fcee8,d7027921d37eda63c281f012494b3a1b1a586f76ae5cb2411cde780462016f83,300fbda9f4c6e2dc61aee5bd0e06a04a4c36abc191c16abfaf80a5064c8f7eab,f16250f96f2c46c143335aebd83cdaa0f909de1ae5e05b57bdad617ed1d3194d,ee66b0b063ea97d012c7dc3327b12cb1ba6208304ba3145e6b0ff8aef8bf9647,f0e7f1aa128dcc4e26f911a51133e5c93feedff918f2074c02a40e4576f4d60a,578bc2fc0fe03a41210afa64afc46fda05c90cbca23c032d950329181d6231ce,f74013c05fb130a66ba385f105067e7b57bd24a551309db5b16f65fa7994a300,587dac969fd76fd0a0bf92e3f7d5c44e3f4b4a56e38e6a5dd739bf0281288640,c80847939a2d022b787ff6df7027904da69e6b3d1d4205eafc724894646e1db2
"それでいいのよ！","0","11120101","vo_minigame_1012_correct_107","1","0","1","0","0","8","0","8","1201"
"うん、OK！","0","11120102","vo_minigame_1012_correct_108","1","0","1","0","0","8","0","8","1201"
"いい調子ね！","0","11120103","vo_minigame_1012_correct_109","1","0","1","0","0","1","0","1","1201"
"じっくりでいいわ！","13333","11120201","vo_minigame_1012_correct_115","1","-1","1","0","0","1","0","1","1202"
"正解すりゃいいのよ！","13333","11120202","vo_minigame_1012_correct_117","1","-1","1","0","0","9","0","9","1202"
"すごいわね！","0","11120301","vo_minigame_1012_correct_118","1","0","1","0","0","1","0","1","1203"
"これ分かるの！？","0","11120302","vo_minigame_1012_correct_119","1","0","1","0.01","0","5","8","5","1203"
"これは大丈夫ね！","0","11120401","vo_minigame_1012_correct_125","1","0","1","0","0","1","0","1","1204"
"復習バッチリね！","0","11120501","vo_minigame_1012_correct_123","1","0","1","0.01","0","7","4","7","1205"
"連続で正解よ！","3","11120601","vo_minigame_1012_correct_128","1","-1","1","0","0","8","0","8","1206"
"巻き返すわよ！","3","11120701","vo_minigame_1012_correct_131","1","-1","1","0","0","2","0","2","1207"
"切り替えて！","0","11130101","vo_minigame_1012_incorrect_107","1","0","1","0","0","2","0","2","1301"
"こんなこともあるわ！","0","11130102","vo_minigame_1012_incorrect_108","1","0","1","0","0","9","0","9","1301"
"それじゃダメよ！","0","11130103","vo_minigame_1012_incorrect_109","1","0","1","0","0","4","0","4","1301"
"タイムアップよ！","20000","11130201","vo_minigame_1012_incorrect_116","1","-1","1","0","0","4","0","4","1302"
"いや答えなさいよ！","20000","11130202","vo_minigame_1012_incorrect_117","1","-1","1","0","0","5","0","5","1302"
"難しいわね…","0","11130301","vo_minigame_1012_incorrect_118","1","0","1","0.01","0","3","6","3","1303"
"難易度高すぎね…","0","11130302","vo_minigame_1012_incorrect_119","1","0","1","0","0","4","0","4","1303"
"忘れちゃダメよ？","0","11130401","vo_minigame_1012_incorrect_123","1","0","1","0","0","2","0","2","1304"
"全部が間違いじゃないわ！","0","11130501","vo_minigame_1012_incorrect_126","1","0","1","0","0","1","0","1","1305"
"フフ、全問正解よ！\nちゃんと勉強してるみたいで\n感心だわ♪","10","11300101","vo_minigame_1012_result_1000","1","10","1","3.18","1","8","4","7","3001"
"すごいじゃない…全問正解よ！\nま、当然といや当然よね～\nだってあたしが\n教えてやってんだから♪","10","11300102","vo_minigame_1012_result_1001","1","10","1","3.33","1","7","10","8","3001"
"全問正解！　パチパチパチ～♪\nこの難易度はもう完璧じゃない？\n次はもっと難しい問題に挑戦よ！\nあんたならできるって！","10","11300103","vo_minigame_1012_result_1002","1","10","1","5.41","1","1","10","8","3001"
"へえ…難しい問題を選んだのに\n全問正解できてるじゃない！！\nちょっとあんたすごすぎだわ…！\nパーフェクトよパーフェクト！","10","11300104","vo_minigame_1012_result_1003","1","10","1","8.11","2","8","10","5","3001"
"まる…まる…全部まる！\n難しい問題なのに全問正解よ…！\n驚いた…あんたいつの間に、\nこんなに勉強してたのよ！","10","11300105","vo_minigame_1012_result_1004","1","10","1","1.31","2","5","0","10","3001"
"ここまで完璧に正解されちゃうと\nちょっと悔しいわね…！\nけど素直に褒めてやるわ！\nえらい、えらい、えら～い！","10","11300106","vo_minigame_1012_result_1005","1","10","1","4.93","2","8","0","9","3001"
"すごい…あんたパーフェクトよ！\nこのままいけば次の試験、\n学年一位も夢じゃないかもね！\n楽しみだわ～♪","10","11300107","vo_minigame_1012_result_1006","1","10","1","2.99","3","8","4","5","3001"
"満点よ！　フフ、もうあんたに\n教えることはなにもないわ…！\n逆にあたしがあんたに教わりたい\nくらいよ！　…ね、先生♪","10","11300108","vo_minigame_1012_result_1007","1","10","1","8.37","3","7","4","8","3001"
"全・問・正・解！\n超難問揃いなのにすごいわね…！\nもしかしてだけど、\nあんたって天才！？","10","11300109","vo_minigame_1012_result_1008","1","10","1","5.32","3","5","8","7","3001"
"お、かなりいい点数ね～！\nあたしも教えがいがあるわ♪\nさ、まだまだ勉強するわよ！","7","11300110","vo_minigame_1012_result_1009","1","9","1","4.77","1","1","4","7","3001"
"うん、いい感じで点取れてるわ！\nこの調子で次は、\n満点を見せてほしいわね！","7","11300111","vo_minigame_1012_result_1010","1","9","1","2.97","1","7","4","8","3001"
"あ～惜しい！\nもうちょっとで満点じゃない！\n次はパーフェクトいけるわ！\n頑張りましょ！","7","11300112","vo_minigame_1012_result_1011","1","9","1","3.47","1","1","0","5","3001"
"すごい、かなりできてるわよ！\n難しい問題なのにやるじゃない！\nあとは目指せ、満点ね！","7","11300113","vo_minigame_1012_result_1012","1","9","1","5.32","2","7","4","8","3001"
