12989a3e7262f1330227831c8713c14074682c105371d31ddd667175004fc37e,beb8f88ea5ea7f43a63a68a43f4a3b1064e5a93dd8c52384c3a1b89d0d3644d2,f2b6260bdddacd1ff574df4e9d0f0e09b180491fd9f2d4f82b39cf0f753de7f3,c528ad0fecaa083f97da23af68eb3a9f9dafd30bf862f80a9c1fe17403848ca7,cf4884b287bd54e6f28ae2c11b917fa63200c5282a8401622131a096c84bb4b4
"12","1","94002","5000000","100101"
"2","2","90008","2000","100102"
"2","3","25001","20","100103"
"2","4","90008","2500","100104"
"2","5","25001","30","100105"
"8","6","91002","300","100106"
"2","7","41000","1","100107"
"12","8","94002","5000000","100108"
"12","9","94002","1000000","100109"
"12","10","94002","1000000","100110"
"12","11","94002","1000000","100111"
"2","12","20004","400","100112"
"2","13","20004","300","100113"
"2","14","20004","200","100114"
"12","15","94002","1000000","100115"
"12","16","94002","1000000","100116"
"12","17","94002","1000000","100117"
"2","18","20004","400","100118"
"2","19","20004","300","100119"
"2","20","20004","200","100120"
"12","21","94002","1000000","100121"
"12","22","94002","1000000","100122"
"12","23","94002","1000000","100123"
"2","24","20004","400","100124"
"2","25","20004","300","100125"
"2","26","20004","200","100126"
"12","27","94002","5000000","100201"
"2","28","90008","2000","100202"
"2","29","25001","20","100203"
"2","30","90008","2500","100204"
"2","31","25001","30","100205"
"8","32","91002","300","100206"
"2","33","41000","1","100207"
"12","34","94002","5000000","100208"
"12","35","94002","1000000","100209"
"12","36","94002","1000000","100210"
"12","37","94002","1000000","100211"
"2","38","20004","400","100212"
"2","39","20004","300","100213"
"2","40","20004","200","100214"
"12","41","94002","1000000","100215"
"12","42","94002","1000000","100216"
"12","43","94002","1000000","100217"
"2","44","20004","400","100218"
"2","45","20004","300","100219"
"2","46","20004","200","100220"
"12","47","94002","1000000","100221"
"12","48","94002","1000000","100222"
"12","49","94002","1000000","100223"
"2","50","20004","400","100224"
"2","51","20004","300","100225"
"2","52","20004","200","100226"
"12","53","94002","5000000","100301"
"2","54","90008","2000","100302"
"2","55","25001","20","100303"
"2","56","90008","2500","100304"
"2","57","25001","30","100305"
"8","58","91002","300","100306"
"2","59","41000","1","100307"
"12","60","94002","5000000","100308"
"12","61","94002","1000000","100309"
"12","62","94002","1000000","100310"
"12","63","94002","1000000","100311"
"2","64","20004","400","100312"
"2","65","20004","300","100313"
"2","66","20004","200","100314"
"12","67","94002","1000000","100315"
"12","68","94002","1000000","100316"
"12","69","94002","1000000","100317"
"2","70","20004","400","100318"
"2","71","20004","300","100319"
"2","72","20004","200","100320"
"12","73","94002","1000000","100321"
"12","74","94002","1000000","100322"
"12","75","94002","1000000","100323"
"2","76","20004","400","100324"
"2","77","20004","300","100325"
"2","78","20004","200","100326"
"12","79","94002","5000000","100401"
"2","80","90008","2000","100402"
"2","81","25001","20","100403"
"2","82","90008","2500","100404"
"2","83","25001","30","100405"
"8","84","91002","300","100406"
"2","85","41000","1","100407"
"12","86","94002","5000000","100408"
"12","87","94002","1000000","100409"
"12","88","94002","1000000","100410"
"12","89","94002","1000000","100411"
"2","90","20004","400","100412"
"2","91","20004","300","100413"
"2","92","20004","200","100414"
"12","93","94002","1000000","100415"
"12","94","94002","1000000","100416"
"12","95","94002","1000000","100417"
"2","96","20004","400","100418"
"2","97","20004","300","100419"
"2","98","20004","200","100420"
"12","99","94002","1000000","100421"
"12","100","94002","1000000","100422"
"12","101","94002","1000000","100423"
"2","102","20004","400","100424"
"2","103","20004","300","100425"
"2","104","20004","200","100426"
"12","105","94002","5000000","100501"
"2","106","90008","2000","100502"
"2","107","25001","20","100503"
"2","108","90008","2500","100504"
"2","109","25001","30","100505"
"8","110","91002","300","100506"
"2","111","41000","1","100507"
"12","112","94002","5000000","100508"
"12","113","94002","1000000","100509"
"12","114","94002","1000000","100510"
"12","115","94002","1000000","100511"
"2","116","20004","400","100512"
"2","117","20004","300","100513"
"2","118","20004","200","100514"
"12","119","94002","1000000","100515"
"12","120","94002","1000000","100516"
"12","121","94002","1000000","100517"
"2","122","20004","400","100518"
"2","123","20004","300","100519"
"2","124","20004","200","100520"
"12","125","94002","1000000","100521"
"12","126","94002","1000000","100522"
"12","127","94002","1000000","100523"
"2","128","20004","400","100524"
"2","129","20004","300","100525"
"2","130","20004","200","100526"
"12","131","94002","5000000","100601"
"2","132","90008","2000","100602"
