4142006983581ded313a05e6b60a151e8cb298a43089dccebe014b69098adf4b,8ed19918ac7b777f44fd080b7104185591c143c28a2dd61cf9a8e65b180098df,036fe7a3ef38aad4cde4a4408614279d3a56d738dd6000b2e15d6c940a7a60b1,fc6a0444c815be9c415b2045354ffc18f7fb21dbb1f5bd013c94703684046046
"21002","1000","1001","100101"
"21004","2000","1001","100102"
"21012","3500","1001","100103"
"20001","4500","1001","100104"
"21010","5000","1001","100105"
"20009","6300","1001","100106"
"21014","7000","1001","100107"
"20001","8500","1001","100108"
"20003","9550","1001","100109"
"20001","1700","1002","100201"
"20003","2650","1002","100202"
"21002","3150","1002","100203"
"20001","4600","1002","100204"
"21004","5200","1002","100205"
"21014","6150","1002","100206"
"21012","7700","1002","100207"
"20009","8500","1002","100208"
"21010","9200","1002","100209"
"21010","1150","1003","100301"
"21004","2200","1003","100302"
"20009","3500","1003","100303"
"20001","4650","1003","100304"
"20001","5650","1003","100305"
"21012","6600","1003","100306"
"21002","7150","1003","100307"
"21014","8150","1003","100308"
"20003","9650","1003","100309"
"21006","1000","1004","100401"
"21016","2000","1004","100402"
"21017","3000","1004","100403"
"21003","4000","1004","100404"
"21010","5000","1004","100405"
"21003","6000","1004","100406"
"21007","7000","1004","100407"
"21014","8000","1004","100408"
"21015","9000","1004","100409"
"21010","850","1005","100501"
"21016","1900","1005","100502"
"21015","2850","1005","100503"
"21007","3900","1005","100504"
"21003","4800","1005","100505"
"21014","5850","1005","100506"
"21017","6800","1005","100507"
"21006","7900","1005","100508"
"21003","8850","1005","100509"
"21016","900","1006","100601"
"21006","1800","1006","100602"
"21003","2800","1006","100603"
"21003","3850","1006","100604"
"21007","4850","1006","100605"
"21010","5900","1006","100606"
"21017","6850","1006","100607"
"21014","7800","1006","100608"
"21015","8900","1006","100609"
"20015","1150","1007","100701"
"20003","2550","1007","100702"
"20001","3500","1007","100703"
"20003","4550","1007","100704"
"20003","5550","1007","100705"
"20003","6550","1007","100706"
"21008","7000","1007","100707"
"21004","8000","1007","100708"
"21003","9000","1007","100709"
"21003","1100","1008","100801"
"20003","2650","1008","100802"
"20003","3750","1008","100803"
"20003","4750","1008","100804"
"20001","5700","1008","100805"
"21008","6200","1008","100806"
"20003","7650","1008","100807"
"21004","8100","1008","100808"
"20015","9300","1008","100809"
"20015","1300","1009","100901"
"21004","2200","1009","100902"
"20001","3600","1009","100903"
"20003","4700","1009","100904"
"20003","5700","1009","100905"
"21003","6150","1009","100906"
"21008","7150","1009","100907"
"20003","8700","1009","100908"
"20003","9750","1009","100909"
"21016","1000","1010","101001"
"21004","2000","1010","101002"
"21016","3000","1010","101003"
"21001","4000","1010","101004"
"20001","5500","1010","101005"
"21003","6000","1010","101006"
"21012","7500","1010","101007"
"20009","8300","1010","101008"
"21012","9500","1010","101009"
"20009","10300","1010","101010"
"21004","900","1011","101101"
"21001","1800","1011","101102"
"21016","2800","1011","101103"
"21012","4350","1011","101104"
"20009","5100","1011","101105"
"21012","6400","1011","101106"
"21016","6850","1011","101107"
"20009","8100","1011","101108"
"20001","9350","1011","101109"
"21003","9850","1011","101110"
"21016","800","1012","101201"
"20001","2400","1012","101202"
"20009","3200","1012","101203"
"21012","4300","1012","101204"
"20009","5150","1012","101205"
"21004","5850","1012","101206"
"21012","7300","1012","101207"
"21016","7850","1012","101208"
"21001","8900","1012","101209"
"21003","9800","1012","101210"
"21003","1000","1013","101301"
"21003","2000","1013","101302"
"21003","3000","1013","101303"
"20009","4300","1013","101304"
"20009","5300","1013","101305"
"20009","6300","1013","101306"
"21015","7000","1013","101307"
"21017","8000","1013","101308"
"21015","9000","1013","101309"
"21017","10000","1013","101310"
"21003","1100","1014","101401"
"20009","2400","1014","101402"
"21015","3200","1014","101403"
"21003","4150","1014","101404"
"21017","5200","1014","101405"
"21017","6200","1014","101406"
"20009","7400","1014","101407"
"20009","8450","1014","101408"
"21015","9150","1014","101409"
"21003","10150","1014","101410"
"20009","1500","1015","101501"
"21017","2200","1015","101502"
"21003","3150","1015","101503"
"21015","4200","1015","101504"
"21003","5100","1015","101505"
"20009","6450","1015","101506"
"21015","7150","1015","101507"
"21017","8200","1015","101508"
"21003","9200","1015","101509"
"20009","10400","1015","101510"
"20001","1500","1016","101601"
"20001","2500","1016","101602"
"20001","3500","1016","101603"
"21012","4500","1016","101604"
"20015","5150","1016","101605"
"21012","6500","1016","101606"
"21003","7000","1016","101607"
"21004","8000","1016","101608"
"21003","9000","1016","101609"
"21002","10000","1016","101610"
"21012","1350","1017","101701"
"21012","2350","1017","101702"
"20001","3350","1017","101703"
"20001","4400","1017","101704"
"20001","5300","1017","101705"
"21003","5850","1017","101706"
"21004","6900","1017","101707"
"20015","7950","1017","101708"
"21002","8900","1017","101709"
"21003","9850","1017","101710"
"20001","1400","1018","101801"
"21003","1900","1018","101802"
"21004","2800","1018","101803"
"20001","4300","1018","101804"
"21003","4900","1018","101805"
"21012","6400","1018","101806"
"21002","6800","1018","101807"
"20015","8000","1018","101808"
"20001","9300","1018","101809"
"21012","10300","1018","101810"
"21010","1000","1019","101901"
"21002","2000","1019","101902"
"21010","3000","1019","101903"
"21004","4000","1019","101904"
"21015","5000","1019","101905"
"21017","6000","1019","101906"
"21008","7000","1019","101907"
"21007","8000","1019","101908"
"21014","9000","1019","101909"
"21015","10000","1019","101910"
"21010","1200","1020","102001"
"21007","2150","1020","102002"
"21002","3100","1020","102003"
"21017","4200","1020","102004"
"21010","5100","1020","102005"
"21004","6150","1020","102006"
"21008","7100","1020","102007"
"21015","8100","1020","102008"
"21015","9100","1020","102009"
"21014","10150","1020","102010"
"21004","1150","1021","102101"
"21017","2100","1021","102102"
"21008","3200","1021","102103"
"21010","4150","1021","102104"
"21010","5200","1021","102105"
"21014","6200","1021","102106"
"21015","7200","1021","102107"
"21015","8150","1021","102108"
"21007","9150","1021","102109"
"21002","10200","1021","102110"
"21015","1000","1022","102201"
"20001","2500","1022","102202"
"20003","3550","1022","102203"
"21004","4000","1022","102204"
"20001","5500","1022","102205"
"20001","6500","1022","102206"
"21006","7000","1022","102207"
"20003","8550","1022","102208"
"20003","9550","1022","102209"
"21014","10000","1022","102210"
"21007","11000","1022","102211"
"21004","12000","1022","102212"
"21004","900","1023","102301"
"21015","1900","1023","102302"
"21014","2800","1023","102303"
"21007","3800","1023","102304"
"21004","4800","1023","102305"
"20003","6400","1023","102306"
"20003","7400","1023","102307"
"20001","8400","1023","102308"
"21006","8800","1023","102309"
"20001","10300","1023","102310"
"20003","11400","1023","102311"
"20001","12350","1023","102312"
"20003","1400","1024","102401"
"20003","2350","1024","102402"
"21004","2900","1024","102403"
"20001","4350","1024","102404"
"20003","5450","1024","102405"
"21006","5800","1024","102406"
"20001","7300","1024","102407"
"21004","7850","1024","102408"
"21007","8850","1024","102409"
"21014","9900","1024","102410"
"20001","11300","1024","102411"
"21015","11800","1024","102412"
"21003","1000","1025","102501"
"21015","2000","1025","102502"
"21017","3000","1025","102503"
"21008","4000","1025","102504"
"21008","5000","1025","102505"
"21008","6000","1025","102506"
"21012","7500","1025","102507"
"21012","8500","1025","102508"
"21007","9000","1025","102509"
"21002","10000","1025","102510"
"21010","11000","1025","102511"
"21002","12000","1025","102512"
"21012","1700","1026","102601"
"21007","2100","1026","102602"
"21012","3700","1026","102603"
"21008","4100","1026","102604"
"21017","5150","1026","102605"
"21003","6200","1026","102606"
"21008","7200","1026","102607"
"21015","8150","1026","102608"
"21008","9150","1026","102609"
"21002","10200","1026","102610"
"21002","11100","1026","102611"
"21010","12150","1026","102612"
"21007","1100","1027","102701"
"21003","2150","1027","102702"
"21008","3100","1027","102703"
"21002","4150","1027","102704"
"21012","5600","1027","102705"
"21008","6100","1027","102706"
"21012","7650","1027","102707"
"21017","8100","1027","102708"
"21002","9200","1027","102709"
"21010","10100","1027","102710"
"21008","11150","1027","102711"
"21015","12200","1027","102712"
"21017","1000","1028","102801"
"20015","2150","1028","102802"
"21017","3000","1028","102803"
"21007","4000","1028","102804"
"20003","5550","1028","102805"
"21007","6000","1028","102806"
"21016","7000","1028","102807"
"20009","8300","1028","102808"
"21016","9000","1028","102809"
"21006","10000","1028","102810"
"21008","11000","1028","102811"
"21006","12000","1028","102812"
"20003","1350","1029","102901"
"20009","2150","1029","102902"
"21007","2850","1029","102903"
"21007","3800","1029","102904"
"20015","4950","1029","102905"
"21008","5850","1029","102906"
"21006","6850","1029","102907"
"21006","7850","1029","102908"
"21017","8900","1029","102909"
"21016","9800","1029","102910"
"21016","10900","1029","102911"
"21017","11850","1029","102912"
"21008","850","1030","103001"
"21017","1900","1030","103002"
"21016","2800","1030","103003"
"21007","3850","1030","103004"
"21006","4900","1030","103005"
"20003","6450","1030","103006"
"20009","7100","1030","103007"
"21006","7800","1030","103008"
"20015","9000","1030","103009"
"21016","9900","1030","103010"
"21017","10800","1030","103011"
"21007","11800","1030","103012"
"11012","1400","2001","200101"
"11012","2300","2001","200102"
"10004","3175","2001","200103"
"11010","3600","2001","200104"
"11019","4500","2001","200105"
"11012","5900","2001","200106"
"11002","6300","2001","200107"
"11006","7200","2001","200108"
"11007","8100","2001","200109"
"11012","9500","2001","200110"
"11012","1500","2002","200201"
"11010","1950","2002","200202"
"10004","3325","2002","200203"
"11006","3750","2002","200204"
"11012","5200","2002","200205"
"11012","6050","2002","200206"
"11002","6400","2002","200207"
"11012","7850","2002","200208"
"11019","8300","2002","200209"
"11007","9150","2002","200210"
"11012","1600","2003","200301"
"11012","2400","2003","200302"
"11002","2900","2003","200303"
"11012","4200","2003","200304"
"11007","4650","2003","200305"
"10004","5975","2003","200306"
"11010","6450","2003","200307"
"11006","7300","2003","200308"
"11019","8250","2003","200309"
"11012","9700","2003","200310"
"11015","900","2004","200401"
"11017","1800","2004","200402"
"11017","2700","2004","200403"
"10010","3675","2004","200404"
"10015","4650","2004","200405"
"10015","5550","2004","200406"
"11015","6300","2004","200407"
"11012","7700","2004","200408"
"10015","8250","2004","200409"
"10015","9150","2004","200410"
"11015","750","2005","200501"
"11017","1650","2005","200502"
"11015","2500","2005","200503"
"10010","3525","2005","200504"
"10015","4500","2005","200505"
"11012","5700","2005","200506"
"10015","6350","2005","200507"
"10015","7150","2005","200508"
"11017","7900","2005","200509"
"10015","9000","2005","200510"
"10015","850","2006","200601"
"10015","1850","2006","200602"
"10010","2675","2006","200603"
"11017","3500","2006","200604"
"10015","4450","2006","200605"
"11012","5800","2006","200606"
"11015","6150","2006","200607"
"11017","7100","2006","200608"
"11015","8000","2006","200609"
"10015","8950","2006","200610"
"10005","725","2007","200701"
"10001","2300","2007","200702"
"10001","3200","2007","200703"
"10002","3800","2007","200704"
"10003","5050","2007","200705"
"10004","5875","2007","200706"
"10006","6300","2007","200707"
"10003","7750","2007","200708"
"10006","8100","2007","200709"
"10003","9550","2007","200710"
"10003","1600","2008","200801"
"10006","1900","2008","200802"
"10005","2625","2008","200803"
"10003","4300","2008","200804"
"10003","5200","2008","200805"
"10004","6025","2008","200806"
"10006","6500","2008","200807"
"10002","7550","2008","200808"
"10001","8750","2008","200809"
