29f06193e941caf831c3e594edd2ccab495938451005b4382d2abfd53d99790f,0ae9173bf276fdbcf270814e74c1cf2919f452d3f9706436b2bab97763ab8ccf,8aad55d2c7fdda6bac3f24759b734e16fd24054d76154a1447c0300958d80f83,130c9b50c1812aacd0fa3ed3fa46f38b51a6791a6c3076298d9fe443575841d0,570bfbc69033a946eecd534b2a0f8bb34d412ad2c3fcfa844db1b846358df845,12fbf248a4e4df5c7db9ed9627648182a89fae015907dd008f9528669aa37ba8
"60000001","4","10011001","6","101011","1"
"60000002","4","10011001","6","101071","1"
"60000003","4","10011001","6","101101","1"
"60000004","4","10011001","7","101131","1"
"60000005","4","10011001","6","101161","1"
"60000006","4","10011001","6","101191","1"
"60000007","4","10011001","7","101251","1"
"60000008","4","10011001","7","101281","1"
"60000009","4","10011001","7","101371","1"
"60000010","4","10011001","7","101401","1"
"60000011","4","10011001","7","101431","1"
"60000012","4","10011001","7","101521","1"
"60000013","4","10011001","7","101551","1"
"60000014","4","10011001","7","101581","1"
"60000015","4","10011001","7","101611","1"
"60000016","4","10011002","2","102011","1"
"60000017","4","10011002","2","102013","1"
"60000018","4","10011002","2","102014","1"
"60000019","4","10011002","2","102041","1"
"60000020","4","10011002","2","102071","1"
"60000021","4","10011002","2","102101","1"
"60000022","4","10011002","2","102131","1"
"60000023","4","10011002","2","102162","1"
"60000024","4","10011002","2","102163","1"
"60000025","4","10011002","2","102191","1"
"60000026","4","10011002","2","102192","1"
"60000027","4","10011002","2","102221","1"
"60000028","4","10011002","2","102222","1"
"60000029","4","10011002","2","102251","1"
"60000030","4","10011002","3","102252","1"
"60000031","4","10011002","3","102281","1"
"60000032","4","10011002","3","102461","1"
"60000033","4","10011002","3","102551","1"
"60000034","4","10011002","3","102552","1"
"60000035","4","10011002","3","102581","1"
"60000036","4","10011002","3","102582","1"
"60000037","4","10011002","3","102611","1"
"60000038","4","10011002","3","102612","1"
"60000039","4","10011002","3","122282","1"
"60000040","4","10011002","3","122311","1"
"60000041","4","10011002","3","122312","1"
"60000042","4","10011002","3","122341","1"
"60000043","4","10011002","3","122342","1"
"60000044","4","10011002","3","122371","1"
"60000045","4","10011002","3","122372","1"
"60000046","4","10011002","3","122401","1"
"60000047","4","10011002","3","122431","1"
"60000048","4","10011002","3","122432","1"
"60000049","4","10011002","3","122491","1"
"60000050","4","10011002","3","122493","1"
"60000051","4","10011002","3","122521","1"
"60000052","4","10011002","3","122613","1"
