a8869bec889b5ca2e478913bcff70eafd458b33e6453fa8886ed4381dfce5e59,d81ec813cfe10cdc377517962dc5461310952da01693c8000f24a30ffec4d11d,b2ffbe836bd3f83a6891f9f424786bf3a58f5e5089ac80a49e07ab133ecdf06f,c2aea8f7abbef2380c43002a7bcf96169ff92f89fe617d9ad5153a70320f465b,717b5fccfc87c54e8c2c6755ab40f7e2484495b8a73493360673e368eaa08792,d67f4e9366ebd515f1691461bdd3059456e9b3edf1d050bdc2718a46a91c97da,56a5f688f16516acb859ab5e20506475e891dbd079a62520bd207a42dccb3d51,c61e735e6de97412b6e376bdf81a508abb7a7a2b9fcbdce79ab8db688f80443a,733454fdeba4a2ec07c9a13540504b8e3d238611450ba866e43385cad6af3bc0,fe5a74418027d23f325c7ddb88007e672332c61ffd5e9da169d90e82ae82b8e9,3f0ce621912058dacadebf428b9ef1f6c28dffab2bc7225424986fc2c322af44,ad49e09715393ab8337f12ad248ce7995bec290410e3ebf8a52028e2d0dd1bb6
"0","3","0","12","1","0","4","0","0","1","0","1120001"
"vo_nyx_0101","0","0","12","0","0","2","vo_nyx","0","2","0","1120002"
"0","0","1","12","0","280","1","0","2.698","3","0","1120003"
"0","1","0","12","3.334","0","4","0","0","4","0","1120004"
"vo_nyx_0102","0","0","12","0","0","2","vo_nyx","0","5","0","1120005"
"0","0","1","12","0","382","1","0","1.055","6","280","1120006"
"0","1","0","12","1.055","0","4","0","0","7","0","1120007"
"0","0","2","12","0","88","1","0","0.732","8","0","1120008"
"0","1","0","12","1.05","0","4","0","0","9","0","1120009"
"0","0","2","12","0","365","1","0","2.42","10","88","1120010"
"0","1","0","12","3.5","0","4","0","0","11","0","1120011"
"0","3","0","12","2","0","4","0","0","12","0","1120012"
"vo_nyx_0103","0","0","12","0","0","2","vo_nyx","0","13","0","1120013"
"0","0","3","12","0","82","1","0","0.815","14","0","1120014"
"0","1","0","12","1.157","0","4","0","0","15","0","1120015"
"0","0","3","12","0","372","1","0","2.763","16","82","1120016"
"0","1","0","12","2.763","0","4","0","0","17","0","1120017"
"0","0","4","12","0","250","1","0","2.388","18","0","1120018"
"0","1","0","12","3.338","0","4","0","0","19","0","1120019"
"vo_nyx_0104","0","0","12","0","0","2","vo_nyx","0","20","0","1120020"
"0","0","5","12","0","71","1","0","0.778","21","0","1120021"
"0","1","0","12","1.214","0","4","0","0","22","0","1120022"
"0","0","5","12","0","375","1","0","3.167","23","71","1120023"
"0","1","0","12","3.61","0","4","0","0","24","0","1120024"
"0","0","6","12","0","256","1","0","2.618","25","0","1120025"
"0","1","0","12","3.198","0","4","0","0","26","0","1120026"
"vo_nyx_0105","0","0","12","0","0","2","vo_nyx","0","27","0","1120027"
"0","0","6","12","0","392","1","0","1.4","28","256","1120028"
"0","1","0","12","1.448","0","4","0","0","29","0","1120029"
"0","0","7","12","0","296","1","0","2.927","30","0","1120030"
"0","1","0","12","3.811","0","4","0","0","31","0","1120031"
"0","3","0","12","3","0","4","0","0","32","0","1120032"
"vo_nyx_0106","0","0","12","0","0","2","vo_nyx","0","33","0","1120033"
"0","0","7","12","0","360","1","0","0.506","34","296","1120034"
"0","1","0","12","1.175","0","4","0","0","35","0","1120035"
"0","3","0","12","3","0","4","0","0","36","0","1120036"
"vo_nyx_0107","0","0","12","0","0","2","vo_nyx","0","37","0","1120037"
"0","0","8","12","0","159","1","0","1.439","38","0","1120038"
"0","1","0","12","1.439","0","4","0","0","39","0","1120039"
"0","0","8","12","0","315","1","0","1.462","40","159","1120040"
"0","1","0","12","2.178","0","4","0","0","41","0","1120041"
"vo_nyx_0108","0","0","12","0","0","2","vo_nyx","0","42","0","1120042"
"0","0","9","12","0","400","1","0","3.765","43","0","1120043"
"0","1","0","12","4.495","0","4","0","0","44","0","1120044"
"vo_nyx_0109","0","0","12","0","0","2","vo_nyx","0","45","0","1120045"
"0","0","10","12","0","132","1","0","1.137","46","0","1120046"
"0","1","0","12","1.484","0","4","0","0","47","0","1120047"
"0","0","10","12","0","395","1","0","2.686","48","132","1120048"
"0","1","0","12","2.686","0","4","0","0","49","0","1120049"
"0","0","11","12","0","85","1","0","0.736","50","0","1120050"
"0","1","0","12","1.06","0","4","0","0","51","0","1120051"
"vo_nyx_0110","0","0","12","0","0","2","vo_nyx","0","52","0","1120052"
"0","0","11","12","0","133","1","0","0.353","53","85","1120053"
"0","1","0","12","1.137","0","4","0","0","54","0","1120054"
"vo_nyx_0111","0","0","12","0","0","2","vo_nyx","0","55","0","1120055"
"0","0","12","12","0","333","1","0","2.51","56","0","1120056"
"0","1","0","12","3.164","0","4","0","0","57","0","1120057"
"vo_nyx_0112","0","0","12","0","0","2","vo_nyx","0","58","0","1120058"
"0","0","13","12","0","145","1","0","1.532","59","0","1120059"
"0","1","0","12","1.62","0","4","0","0","60","0","1120060"
"0","0","13","12","0","336","1","0","1.367","61","145","1120061"
"0","1","0","12","2.245","0","4","0","0","62","0","1120062"
"vo_nyx_0113","0","0","12","0","0","2","vo_nyx","0","63","0","1120063"
"0","0","14","12","0","85","1","0","1.116","64","0","1120064"
"0","1","0","12","1.735","0","4","0","0","65","0","1120065"
"0","0","14","12","0","185","1","0","1.048","66","85","1120066"
"0","1","0","12","2.848","0","4","0","0","67","0","1120067"
"0","3","0","13","1","0","4","0","0","1","0","1130001"
"vo_nyx_0201","0","0","13","0","0","2","vo_nyx","0","2","0","1130002"
"0","0","1","13","0","40","1","0","0.382","3","0","1130003"
"0","1","0","13","0.672","0","4","0","0","4","0","1130004"
"0","0","1","13","0","82","1","0","0.65","5","40","1130005"
"0","1","0","13","1.115","0","4","0","0","6","0","1130006"
"0","0","1","13","0","286","1","0","2.158","7","82","1130007"
"0","1","0","13","2.541","0","4","0","0","8","0","1130008"
"0","0","1","13","0","365","1","0","0.914","9","286","1130009"
"0","1","0","13","0.914","0","4","0","0","10","0","1130010"
"0","0","2","13","0","220","1","0","1.72","11","0","1130011"
"0","1","0","13","1.5","0","4","0","0","12","0","1130012"
"0","3","0","13","2","0","4","0","0","13","0","1130013"
"0","1","0","13","1.726","0","4","0","0","14","0","1130014"
"vo_nyx_0202","0","0","13","0","0","2","vo_nyx","0","15","0","1130015"
"0","0","3","13","0","335","1","0","2.838","16","0","1130016"
"0","1","0","13","3.334","0","4","0","0","17","0","1130017"
"0","0","4","13","0","300","1","0","2.491","18","0","1130018"
"0","1","0","13","3.427","0","4","0","0","19","0","1130019"
"0","3","0","13","3","0","4","0","0","20","0","1130020"
"vo_nyx_0203","0","0","13","0","0","2","vo_nyx","0","21","0","1130021"
"0","0","5","13","0","47","1","0","0.475","22","0","1130022"
"0","1","0","13","0.872","0","4","0","0","23","0","1130023"
"0","0","5","13","0","119","1","0","1.001","24","47","1130024"
"0","1","0","13","1.492","0","4","0","0","25","0","1130025"
"0","0","5","13","0","310","1","0","1.73","26","119","1130026"
"0","1","0","13","2.045","0","4","0","0","27","0","1130027"
"0","0","5","13","0","395","1","0","0.87","28","310","1130028"
"0","1","0","13","1.949","0","4","0","0","29","0","1130029"
"vo_nyx_0204","0","0","13","0","0","2","vo_nyx","0","30","0","1130030"
"0","0","6","13","0","174","1","0","1.885","31","0","1130031"
"0","1","0","13","2.37","0","4","0","0","32","0","1130032"
"0","0","6","13","0","293","1","0","0.939","33","174","1130033"
"0","1","0","13","1.12","0","4","0","0","34","0","1130034"
"0","0","6","13","0","388","1","0","0.5","35","293","1130035"
"0","1","0","13","1.435","0","4","0","0","36","0","1130036"
"vo_nyx_0205","0","0","13","0","0","2","vo_nyx","0","37","0","1130037"
"0","0","7","13","0","34","1","0","0.58","38","0","1130038"
