0ae645c834a9cccbb3db4c251a76a4559be02c5b18e6129a8b0e36281fa0db40,0410a359836ff245e0ce8275d8e7e545f7f4a9179269d502234f2028563be332,c8cb11116714d7e832e42a8e2382fb63fa9726af81e3f3b6ba0b480be35ec29d,520e50bb14e48166841675e3dc900755bb6464f7652d6676e069b15690c38631,55d2075448c96e765a371ba37a257e4155323d751b5368c0026172e8751c1420
"add_shadow","シャドウ1体追加","74001102","ジータのシャドウが追加される。","1"
"add_shadow","シャドウ3体追加","74001103","ジータ、サレン（サマー）、アメスのシャドウが追加される。","2"
"star6_shadow","シャドウ★6化","74001104","ノゾミのシャドウが★6になる。","3"
"add_shadow","シャドウ3体追加","74001104","ジータ、サレン（サマー）、アメスのシャドウが追加される。","4"
"star6_shadow","シャドウ★6化","74001105","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","5"
"add_shadow","シャドウ3体追加","74001105","ジータ、サレン（サマー）、アメスのシャドウが追加される。","6"
"add_shadow","シャドウ1体追加","74001202","ユカリのシャドウが追加される。","7"
"add_shadow","シャドウ3体追加","74001203","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","8"
"star6_shadow","シャドウ★6化","74001204","ユカリとユイのシャドウが★6になる。","9"
"add_shadow","シャドウ3体追加","74001204","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","10"
"star6_shadow","シャドウ★6化","74001205","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","11"
"add_shadow","シャドウ3体追加","74001205","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","12"
"boss_magic_cut","ボス魔法ダメージカット","74001301","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","13"
"boss_magic_cut","ボス魔法ダメージカット","74001302","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","14"
"add_shadow","シャドウ1体追加","74001302","シズル（サマー）のシャドウが追加される。","15"
"energy_recover","開始時TP回復","74001303","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","16"
