63e9e8f3290649bc5623a9c5da15b4f082a9ddc1247c7209b97c87c964fc0ed5,ed83fed28042777f2adbc9e1a2f732289518fe6791ea4ba72246e2a08b82b25a,f462a734d2eb44cb8b4975be265e0e2c1ad10b26071c012fee602ce019474e00,531474298c0541dd7eee2b4ebaa05b73beecd66ae1a302cfe93524446babee66,090c58ccc450160ef0e034eb28c86061f4d5072b0cf43f99ae8b9b7c48589d83,55d774764e56bf240270606c83291fa3076fabb6f6921c16fdcfc90c319c38f9,6b59af9464e15ac8f798e98769fc4ee4b2b8707a8a20c644f162c2a0f720f340
"1","1","2","3","105","105","105"
"2","1","2","3","105","120","120"
"3","1","2","3","100","120","100"
"4","1","2","3","105","120","120"
"5","1","2","3","105","120","105"
"6","1","2","3","100","105","100"
"7","1","2","3","120","105","100"
"8","1","2","3","100","105","100"
"9","1","2","3","105","120","120"
"10","1","2","3","120","105","100"
"11","1","2","3","100","100","105"
"12","1","2","3","105","120","120"
"13","1","2","3","105","105","105"
"14","1","2","3","105","105","120"
"15","1","2","3","120","120","120"
"16","1","2","3","100","100","100"
"17","1","2","3","120","120","105"
"18","1","2","3","120","105","120"
"19","1","2","3","105","100","105"
"20","1","2","3","100","105","105"
"21","1","2","3","100","100","105"
"22","1","2","3","120","120","120"
"23","1","2","3","105","100","100"
"24","1","2","3","120","120","120"
"25","1","2","3","105","120","105"
"26","1","2","3","100","100","100"
"27","1","2","3","100","100","100"
"28","1","2","3","100","100","100"
"29","1","2","3","120","120","120"
"30","1","2","3","105","105","120"
