7175560a1434ccd4fc4584d5887c846c3fc3e1e7419c0ab251005f2adef4a50b,74fecdc23f441fcf9d976de5263acfde8284d2083844da7289b28b78bc8d2e70,e7e58ed9aa9762e36a9976da0324e80e910f618d8b944a6e8372eb1fe7bd0090,f2d1f44fab02e661b4245c9a6a1066a6a11164faa358bf57d2c62b76667ac0e8,96edb12b09656cd7e5f7e07ddb6efb8150fe065a30657657d1a31f9f7d74cc1d,b2d181d940dd39173c8b39c581bd1be34d0c82d6fa82426b2833468be93d0831
"6","10011001","101011","1","4","60000001"
"6","10011001","101071","1","4","60000002"
"6","10011001","101101","1","4","60000003"
"7","10011001","101131","1","4","60000004"
"6","10011001","101161","1","4","60000005"
"6","10011001","101191","1","4","60000006"
"7","10011001","101251","1","4","60000007"
"7","10011001","101281","1","4","60000008"
"7","10011001","101371","1","4","60000009"
"7","10011001","101401","1","4","60000010"
"7","10011001","101431","1","4","60000011"
"7","10011001","101521","1","4","60000012"
"7","10011001","101551","1","4","60000013"
"7","10011001","101581","1","4","60000014"
"7","10011001","101611","1","4","60000015"
"2","10011002","102011","1","4","60000016"
"2","10011002","102013","1","4","60000017"
"2","10011002","102014","1","4","60000018"
"2","10011002","102041","1","4","60000019"
"2","10011002","102071","1","4","60000020"
"2","10011002","102101","1","4","60000021"
"2","10011002","102131","1","4","60000022"
"2","10011002","102162","1","4","60000023"
"2","10011002","102163","1","4","60000024"
"2","10011002","102191","1","4","60000025"
"2","10011002","102192","1","4","60000026"
"2","10011002","102221","1","4","60000027"
"2","10011002","102222","1","4","60000028"
"2","10011002","102251","1","4","60000029"
"3","10011002","102252","1","4","60000030"
"3","10011002","102281","1","4","60000031"
"3","10011002","102461","1","4","60000032"
"3","10011002","102551","1","4","60000033"
"3","10011002","102552","1","4","60000034"
"3","10011002","102581","1","4","60000035"
"3","10011002","102582","1","4","60000036"
"3","10011002","102611","1","4","60000037"
"3","10011002","102612","1","4","60000038"
"3","10011002","122282","1","4","60000039"
"3","10011002","122311","1","4","60000040"
"3","10011002","122312","1","4","60000041"
"3","10011002","122341","1","4","60000042"
"3","10011002","122342","1","4","60000043"
"3","10011002","122371","1","4","60000044"
"3","10011002","122372","1","4","60000045"
"3","10011002","122401","1","4","60000046"
"3","10011002","122431","1","4","60000047"
"3","10011002","122432","1","4","60000048"
"3","10011002","122491","1","4","60000049"
"3","10011002","122493","1","4","60000050"
"3","10011002","122521","1","4","60000051"
"3","10011002","122613","1","4","60000052"
"3","10011002","122614","1","4","60000053"
"2","10011003","113011","1","4","60000054"
"2","10011003","113012","1","4","60000055"
"2","10011003","113013","1","4","60000056"
"2","10011003","113071","1","4","60000057"
"2","10011003","113101","1","4","60000058"
"2","10011003","113131","1","4","60000059"
"2","10011003","113162","1","4","60000060"
"2","10011003","113191","1","4","60000061"
"2","10011003","113221","1","4","60000062"
"2","10011003","113222","1","4","60000063"
"2","10011003","113252","1","4","60000064"
"3","10011003","113283","1","4","60000065"
"3","10011003","113342","1","4","60000066"
"3","10011003","113372","1","4","60000067"
"3","10011003","113401","1","4","60000068"
"3","10011003","113431","1","4","60000069"
"3","10011003","113521","1","4","60000070"
"3","10011003","113522","1","4","60000071"
"3","10011003","113551","1","4","60000072"
"3","10011003","113552","1","4","60000073"
"3","10011003","113553","1","4","60000074"
"3","10011003","113581","1","4","60000075"
"3","10011003","113611","1","4","60000076"
"3","10011003","113614","1","4","60000077"
"2","10011003","123041","1","4","60000078"
"2","10011003","123042","1","4","60000079"
"2","10011003","123072","1","4","60000080"
"2","10011003","123132","1","4","60000081"
"2","10011003","123161","1","4","60000082"
"2","10011003","123192","1","4","60000083"
"2","10011003","123193","1","4","60000084"
"2","10011003","123251","1","4","60000085"
"3","10011003","123281","1","4","60000086"
