7f24648377b84f6382ebe91549c091cabeec124bc56edef54279beac91889df2,8f4b7a7e51a092f250f5e6d0b1d134f6d71ac81bc1c3eea19237bdd01e077350,b26cccc38e1f67984926560f9ba9a7ed3e8f878581a707ed5ca9f43a502d464e,693721259b4454ccc76fd17429d00005fe52f2daf9cdbf2b0e5d6ed986e2260d,62b306593b1a3265f7b5bdd54b2be3bd3083bc2152ac93693baf11157cbb967b,d4edabf026275a43ec2cce60b06fbb7a142d4afbe614b13b5ed58980894fa107,4dde232217375a9125974a6f9186b258692f08fe4ab406fe80376940db215ff0
"10201","2025/01/31 12:00:00","5201401","0","1","10201101","10201101"
"10201","2025/02/06 12:00:00","5201402","0","1","10201102","10201151"
"10201","2025/01/31 12:00:00","5201411","5201010","2","10201201","13"
"10202","2025/02/28 12:00:00","5202401","0","1","10202101","10202101"
"10202","2025/02/28 12:00:00","5202411","0","2","10202201","7"
"10203","2025/03/31 12:00:00","5203401","0","1","10203101","10203101"
"10203","2025/03/31 12:00:00","5203411","5203007","2","10203201","7"
"10204","2025/04/30 12:00:00","5204401","0","1","10204101","10204101"
"10204","2025/04/30 12:00:00","5204411","5204006","2","10204201","7"
"10205","2025/05/31 12:00:00","5205401","0","1","10205101","10205101"
"10205","2025/05/31 12:00:00","5205411","0","2","10205201","23"
"10206","2025/06/30 12:00:00","5206401","0","1","10206101","10206101"
"10206","2025/06/30 12:00:00","5206411","5206007","2","10206201","23"
"10207","2025/07/31 12:00:00","5207401","0","1","10207101","10207101"
"10207","2025/07/31 12:00:00","5207411","5207007","2","10207201","23"
"10208","2025/08/31 12:00:00","5208401","0","1","10208101","10208101"
"10208","2025/08/31 12:00:00","5208411","5208007","2","10208201","23"
"10209","2025/09/30 12:00:00","5209401","0","1","10209101","10209101"
"10209","2025/09/30 12:00:00","5209411","5209007","2","10209201","23"
"10210","2025/10/31 12:00:00","5210401","0","1","10210101","10210101"
"10210","2025/10/31 12:00:00","5210411","5210000","2","10210201","23"
"10211","2025/11/30 12:00:00","5211401","0","1","10211101","10211101"
"10211","2025/11/30 12:00:00","5211411","5211006","2","10211201","23"
"10212","2025/12/31 12:00:00","5212401","0","1","10212101","10212101"
"10212","2025/12/31 12:00:00","5212411","5212007","2","10212201","23"
"10213","2026/01/31 12:00:00","5213401","0","1","10213101","10213101"
"10213","2026/02/12 12:00:00","5213402","0","1","10213102","10213151"
"10213","2026/01/31 12:00:00","5213411","5213013","2","10213201","23"
"10213","2026/02/12 12:00:00","5213602","0","3","10213302","0"
"10214","2026/02/28 12:00:00","5214401","0","1","10214101","10214101"
"10214","2026/02/28 12:00:00","5214411","5214006","2","10214201","23"
"10215","2026/03/31 12:00:00","5215401","0","1","10215101","10215101"
"10215","2026/03/31 12:00:00","5215411","5215006","2","10215201","23"
"10216","2026/04/30 12:00:00","5216401","0","1","10216101","10216101"
"10216","2026/04/30 12:00:00","5216411","5216007","2","10216201","23"
"10217","2026/05/31 12:00:00","5217401","0","1","10217101","10217101"
"10217","2026/05/31 12:00:00","5217411","5217007","2","10217201","23"
"10218","2026/06/30 12:00:00","5218401","0","1","10218101","10218101"
"10218","2026/06/30 12:00:00","5218411","5218006","2","10218201","23"
"10219","2026/07/31 12:00:00","5219401","0","1","10219101","10219101"
"10219","2026/07/31 12:00:00","5219411","5219007","2","10219201","23"
