b858f8e53b35b2e66a784c2fb456fb47cfaf6341ed7bf66b544868e617eaa164,0370b0a254f79e7d6c7a47e614ecf9009d676e2476cb028c634a51a6fc51fb5f,307345a8fd847e5ed09cf27d90eda9af9a48c3f95e80ab070f014f7facd21b1f,bd619a48df8eb5f065583ecadc3ca5a1b58bc948ea6d225e4c9e12bafeee640f
"毒/猛毒ダメージアップ","1","poison_damage_up","バトル中、「毒」「猛毒」のダメージが大幅にアップする。"
"火傷ダメージアップ","2","burn_damage_up","バトル中、「火傷」のダメージが大幅にアップする。"
"呪い/呪詛ダメージアップ","3","curse_damage_up","バトル中、「呪い」「呪詛」のダメージが大幅にアップする。"
"麻痺効果時間増加","4","paralysis_time_extension","バトル中、「麻痺」の効果時間が増加する。"
"凍結効果時間増加","5","frozen_time_extension","バトル中、「凍結」の効果時間が増加する。"
"束縛効果時間増加","6","bind_time_extension","バトル中、「束縛」の効果時間が増加する。"
"スタン効果時間増加","7","stun_time_extension","バトル中、「スタン」の効果時間が増加する。"
"毒/猛毒効果時間増加","8","poison_time_extension","バトル中、「毒」「猛毒」の効果時間が増加する。"
"火傷効果時間増加","9","burn_time_extension","バトル中、「火傷」の効果時間が増加する。"
"呪い/呪詛効果時間増加","10","curse_time_extension","バトル中、「呪い」「呪詛」の効果時間が増加する。"
"誘惑効果時間増加","11","temptation_time_extension","バトル中、「誘惑」の効果時間が増加する。"
"混乱効果時間増加","12","confusion_time_extension","バトル中、「混乱」の効果時間が増加する。"
"物理攻撃力アップ","13","attack_up","バトル中、物理攻撃力が大幅にアップする。"
"魔法攻撃力アップ","14","magic_str_up","バトル中、魔法攻撃力が大幅にアップする。"
"物理防御力アップ","15","defense_up","バトル中、物理防御力が大幅にアップする。"
"魔法防御力アップ","16","magic_def_up","バトル中、魔法防御力が大幅にアップする。"
"物理クリティカルアップ","17","physical_critical_up","バトル中、物理クリティカルが大幅にアップする。"
"魔法クリティカルアップ","18","magic_critical_up","バトル中、魔法クリティカルが大幅にアップする。"
"ＴＰ上昇アップ","19","energy_recovery_rate_up","バトル中、ＴＰ上昇が大幅にアップする。"
"バトル開始時ＴＰ特大回復","20","energy_recovery","バトル開始時、ＴＰが特大回復する。"
