7e8118c44889a6b0039487d327d91c6636189713fff944d96c836e39c3b0a627,ca08c4b0b24263252a7ab594d52f4e1cefce219c7d25e28bf91746fb815018a6,ca74eefb8381b23df64d4ebe4521e12e27e06f8efc3e32d1a37043194db82718,3a5a18cb8264924e085c3b6f550fc44d5e97cbd5d9c67861ac7e0656cf7a1375,53dc921a71aab7a1f4c40995b3bad64bee239df6c1e05c1e68332d54a80c2875,bd2ab119170d3c30b8e64337b117426ecd5f27f608f23814e5978c3b4b1b296b
"15","1001","1","99001001","11001001","1"
"8","0","10","99001001","91002","2"
"15","1001","1","99001002","11001002","3"
"8","0","10","99001002","91002","4"
"15","1002","1","99001003","11001003","5"
"8","0","20","99001003","91002","6"
"15","1003","1","99001004","11001004","7"
"8","0","30","99001004","91002","8"
"15","1001","1","99001005","11001005","9"
"8","0","10","99001005","91002","10"
"15","1001","1","99001006","11001006","11"
"8","0","10","99001006","91002","12"
"15","1002","1","99001007","11001007","13"
"8","0","20","99001007","91002","14"
"15","1003","1","99001008","11001008","15"
"8","0","30","99001008","91002","16"
"15","1001","1","99001009","11001009","17"
"8","0","10","99001009","91002","18"
"15","1001","1","99001010","11001010","19"
"8","0","10","99001010","91002","20"
"15","1002","1","99001011","11001011","21"
"8","0","20","99001011","91002","22"
"15","1003","1","99001012","11001012","23"
"8","0","30","99001012","91002","24"
"15","1001","1","99001017","11001017","33"
"8","0","30","99001017","91002","34"
"15","1001","1","99001018","11001018","35"
"8","0","30","99001018","91002","36"
"15","1002","1","99001019","11001019","37"
"8","0","30","99001019","91002","38"
"15","1003","1","99001020","11001020","39"
"8","0","30","99001020","91002","40"
"15","1001","0","99001021","11001021","41"
"15","1002","0","99001022","11001022","42"
"15","1001","1","99001023","11001023","43"
"8","0","30","99001023","91002","44"
"15","1001","1","99001024","11001024","45"
"8","0","30","99001024","91002","46"
"15","1002","1","99001025","11001025","47"
"8","0","30","99001025","91002","48"
"15","1003","1","99001026","11001026","49"
"8","0","30","99001026","91002","50"
"15","1001","1","99001027","11001027","51"
"8","0","30","99001027","91002","52"
"15","1001","1","99001028","11001028","53"
"8","0","30","99001028","91002","54"
"15","1002","1","99001029","11001029","55"
"8","0","30","99001029","91002","56"
"15","1003","1","99001030","11001030","57"
"8","0","30","99001030","91002","58"
"15","1001","1","99001031","11001031","59"
"8","0","30","99001031","91002","60"
"15","1001","1","99001032","11001032","61"
"8","0","30","99001032","91002","62"
"15","1002","1","99001033","11001033","63"
"8","0","30","99001033","91002","64"
"15","1003","1","99001034","11001034","65"
"8","0","30","99001034","91002","66"
"15","1001","0","99001039","11001039","75"
"15","1002","0","99001040","11001040","76"
"15","1003","0","99001041","11001041","77"
"15","1001","1","99001042","11001042","78"
"8","0","30","99001042","91002","79"
"15","1001","1","99001043","11001043","80"
"8","0","30","99001043","91002","81"
"15","1002","1","99001044","11001044","82"
"8","0","30","99001044","91002","83"
"15","1003","1","99001045","11001045","84"
"8","0","30","99001045","91002","85"
"15","1001","1","99001046","11001046","86"
"15","1001","1","99001046","11001050","87"
"8","0","30","99001046","91002","88"
"15","1001","1","99001047","11001047","89"
"8","0","30","99001047","91002","90"
"15","1002","1","99001048","11001048","91"
"8","0","30","99001048","91002","92"
"15","1003","1","99001049","11001049","93"
"8","0","30","99001049","91002","94"
"15","1001","1","99001051","11001051","95"
"8","0","30","99001051","91002","96"
"15","1001","1","99001052","11001052","97"
"8","0","30","99001052","91002","98"
"15","1002","1","99001053","11001053","99"
"8","0","30","99001053","91002","100"
"15","1003","1","99001054","11001054","101"
"8","0","30","99001054","91002","102"
"15","1001","1","99001055","11001055","103"
"8","0","30","99001055","91002","104"
"15","1001","1","99001056","11001056","105"
"8","0","30","99001056","91002","106"
"15","1002","1","99001057","11001057","107"
"8","0","30","99001057","91002","108"
"15","1003","1","99001058","11001058","109"
"8","0","30","99001058","91002","110"
"15","1001","1","99001059","11001059","111"
"8","0","30","99001059","91002","112"
"15","1001","1","99001060","11001060","113"
"8","0","30","99001060","91002","114"
"15","1002","1","99001061","11001061","115"
"8","0","30","99001061","91002","116"
"15","1003","1","99001062","11001062","117"
"8","0","30","99001062","91002","118"
"15","1001","1","99001063","11001063","119"
"8","0","30","99001063","91002","120"
"15","1001","1","99001064","11001064","121"
"8","0","30","99001064","91002","122"
