3e69748ad1a0fb31a06531ce82e28a06f48e4ee1f9812a182f09b6ea915fffb7,a72360bc6d8c15d2523fb1f7782d4d42f4ae6ca8125c53de7cd2819170155958,c2e61f9d126f96a51e1cead1761920d53164959d79137cf61731cb5045adf502,7aec0968dd6bb94067804beaa237b81e9872bba5e856886fbc8f8d9e861f2adb,df1c177f17d30e597c99466b4aeebffc75e5c682365ff6c3b04168512f994b63,3d1b3415ab29758e378e93d94ee280b94fd4fcf86fa29bd26f67f852e315d196,4b80ae4b9b4b9fa96a0ca19f3e35b56bf7554dc07b132d65ed31b03bf15d57f1,29e720175c976cae8e669ae257896d8e508ffff78d846c919b79e1ae6ec6f900,c609c2e6ce4c296d2e802a5da4cf3b0c691533caceb2bd2e365542c28af56b23,d5dc27d8cfa82b8eac9fe97957cb41e252cd54192c8e330a2ec30ed3ee3fa1a4,6e8a1f0c6a564036cb80d8ed30ba700a3ca61791987534d0a6a00339a2671538,8b3028b58627c57d142a49358402cc2857de4fd95887757146ffcb6b2adcb042,d9f801ffdeb4e81a4fe06e0f871a2b1420628e8c1e1c46ac2ba1a8c8ca05fb06
"1","2018/03/26 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M33","bgm_M33","380000","0","1","380000","10001"
"2","2018/04/26 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M99","bgm_M99","380000","0","1","380000","10002"
"3","2018/05/25 16:00:00","0","0","2030/03/26 14:59:00","0","bgm_M107","bgm_M107","380000","0","1","380000","10003"
"4","2018/06/26 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M113","bgm_M113","380000","0","1","380000","10004"
"5","2018/07/26 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M121","bgm_M121","380000","0","1","380000","10005"
"6","2018/08/27 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M128","bgm_M128","380000","0","1","380000","10006"
"7","2018/09/26 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M135","bgm_M135","380000","0","1","380000","10007"
"8","2018/10/26 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M162","bgm_M162","380000","0","1","380000","10008"
"9","2018/11/26 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M171","bgm_M171","380000","0","1","380000","10009"
"10","2018/12/26 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M182","bgm_M182","380000","0","1","380000","10010"
"11","2019/01/25 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M189","bgm_M189","380000","0","1","380000","10011"
"12","2019/02/22 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M206","bgm_M206","380000","0","1","380000","10012"
"13","2019/03/25 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M215","bgm_M215","380000","0","1","380000","10013"
"14","2019/04/11 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M33","bgm_M33","380000","0","1","380000","10014"
"15","2019/04/24 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M223","bgm_M223","380000","0","1","380000","10015"
"16","2019/05/09 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M99","bgm_M99","380000","0","1","380000","10016"
"17","2019/05/24 15:00:00","0","0","2030/03/26 14:59:00","0","","","380000","0","1","380000","10017"
"18","2019/06/10 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M107","bgm_M107","380000","0","1","380000","10018"
"19","2019/06/25 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M237","bgm_M237","380000","0","1","380000","10019"
"20","2019/07/08 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M113","bgm_M113","380000","0","1","380000","10020"
"21","2019/07/25 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M245","bgm_M245","380000","0","1","380000","10021"
"22","2019/08/08 15:00:00","0","0","2030/03/26 14:59:00","0","bgm_M121","bgm_M121","380000","0","1","380000","10022"
