6db7645e4ecacb002c057b92a44bb84d486b43d27a848219b0cf11e2dd64d539,103871b610f232347ddff1a7986358781ce5e0efd931532fa070d5e7a7bdd664,7c8c7043d66496567c698ad49f242eedcaba2980d0c012fe83b8e029cb121e2c,da2daabcd47066c73e1cceb62034a23f8d235b4375b78b93e8aca0104ffacb13,535c7ac3734b3b212246ab02ff2bd1ca0a7f205ee3fbb591b19a20a6a13b5439,fda5f476baea109c3253cbc53794f45bd228ad866d0b67f108eba9ddb7b13ca4,fa2fad12cab10d9e1b7df8b83dfa9d80080b14ce6e4fd4f900403fb38b5dd1e4,edc2e13e3d98d6d026f9c95f70b3e910b3d938dcdd3219944a26604283b5d20f,44e069b5366c16b7e4267621a3bc0a60d9a3e8eccd3cc170da0be6859f5897da,ef418e639a0df965a0ef5690bc5b5100749ed992801da5e4cc77d58e2becb74a,130288fb67bf2156192d7cbe138323893f64af2b65c0bae44641b415e2a0f0f3,ef360b0efe60f0834c07f95962fa72d8d6423a1cbc2138927b76cd3eef6b97ea
"15","0","vo_10011600_1501","0","0","2","0","1150001","0","vo_10011600","0","1"
"15","0","0","240","0","1","0","1150002","1","0","0.997402597402597","2"
"15","1","0","0","0","4","2.4974025974026","1150003","1","0","0","3"
"15","0","vo_10011600_1502","0","0","2","0","1150004","0","vo_10011600","0","4"
"15","0","0","180","0","1","0","1150005","2","0","0.748051948051948","5"
"15","1","0","0","0","4","0.848051948051948","1150006","2","0","0","6"
"15","0","vo_10011600_1503","0","0","2","0","1150007","0","vo_10011600","0","7"
"15","0","0","460","180","1","0","1150008","2","0","1.16363636363636","8"
"15","1","0","0","0","4","1.96363636363636","1150009","2","0","0","9"
"15","0","vo_10011600_1504","0","0","2","0","1150010","0","vo_10011600","0","10"
"15","0","0","500","0","1","0","1150011","3","0","2.07792207792208","11"
"15","1","0","0","0","4","3.47792207792208","1150012","3","0","0","12"
"15","0","vo_10011600_1505","0","0","2","0","1150013","0","vo_10011600","0","13"
"15","0","0","300","0","1","0","1150014","4","0","1.24675324675325","14"
"15","1","0","0","0","4","2.24675324675325","1150015","4","0","0","15"
"15","0","vo_10011600_1506","0","0","2","0","1150016","0","vo_10011600","0","16"
"15","0","0","770","300","1","0","1150017","4","0","1.95324675324675","17"
"15","1","0","0","0","4","1.95324675324675","1150018","4","0","0","18"
"15","0","vo_10011600_1507","0","0","2","0","1150019","0","vo_10011600","0","19"
"15","0","0","500","0","1","0","1150020","5","0","2.07792207792208","20"
"15","1","0","0","0","4","2.97792207792208","1150021","5","0","0","21"
"15","0","vo_10011600_1508","0","0","2","0","1150022","0","vo_10011600","0","22"
"15","0","0","770","500","1","0","1150023","5","0","1.12207792207792","23"
"15","1","0","0","0","4","2.02207792207792","1150024","5","0","0","24"
"15","0","vo_10011600_1509","0","0","2","0","1150025","0","vo_10011600","0","25"
"15","0","0","320","0","1","0","1150026","6","0","1.32987012987013","26"
"15","1","0","0","0","4","2.57987012987013","1150027","6","0","0","27"
"15","0","vo_10011600_1510","0","0","2","0","1150028","0","vo_10011600","0","28"
"15","0","0","770","320","1","0","1150029","6","0","1.87012987012987","29"
"15","1","0","0","0","4","2.87012987012987","1150030","6","0","0","30"
"15","0","vo_10011600_1511","0","0","2","0","1150031","0","vo_10011600","0","31"
"15","0","0","375","0","1","0","1150032","7","0","1.55844155844156","32"
"15","1","0","0","0","4","1.75844155844156","1150033","7","0","0","33"
"15","0","vo_10011600_1512","0","0","2","0","1150034","0","vo_10011600","0","34"
"15","0","0","680","375","1","0","1150035","7","0","1.26753246753247","35"
"15","1","0","0","0","4","2.51753246753247","1150036","7","0","0","36"
"15","0","vo_10011600_1513","0","0","2","0","1150037","0","vo_10011600","0","37"
"15","0","0","480","0","1","0","1150038","8","0","1.99480519480519","38"
"15","1","0","0","0","4","2.49480519480519","1150039","8","0","0","39"
"15","0","vo_10011600_1514","0","0","2","0","1150040","0","vo_10011600","0","40"
"15","0","0","730","480","1","0","1150041","8","0","1.03896103896104","41"
"15","1","0","0","0","4","2.53896103896104","1150042","8","0","0","42"
"15","0","0","400","0","1","0","1150043","9","0","0.01","43"
"15","1","0","0","0","4","0","1150044","9","0","0","44"
"15","0","vo_10011600_1515","0","0","2","0","1150045","0","vo_10011600","0","45"
"15","0","0","720","400","1","0","1150046","9","0","1.32987012987013","46"
"16","0","vo_10011600_1601","0","0","2","0","1160001","0","vo_10011600","0","1"
"16","0","0","150","0","1","0","1160002","1","0","0.623376623376623","2"
"16","1","0","0","0","4","2.12337662337662","1160003","1","0","0","3"
"16","0","vo_10011600_1602","0","0","2","0","1160004","0","vo_10011600","0","4"
"16","0","0","700","0","1","0","1160005","2","0","3.63636363636364","5"
"16","1","0","0","0","4","5.13636363636364","1160006","2","0","0","6"
"16","0","vo_10011600_1603","0","0","2","0","1160007","0","vo_10011600","0","7"
