0f015f5408394eeb99546d89009161f1a615bcbb40f14411c4bdf2f4e447b22d,77eed5258ab1c6b8506fc410e0353810a19ff0fa15dde13c30f6f00d891bb7c4,43e30092ff64779ea3a94c640828dbe34b658cff366071b83536f9df7c162adb,417c778ede85beadc0e8f9b266f2a687bd6286812c265634ce4e4223232d63d4,b9fc0c91a65390525f8b977f2b9596f51acd93dae0a9a12f9a0fc0bc98a8510b,2d9ab191eed6b5f0d3b40a6e9931ba9b71f11af68fd14eb042f575ebbf8a6e87,11197f2f6baa31e98c47f8b3ac7fe6d1ec998f71ad7326704ed3a71c0898aa6d,d9c7fdaf751324afff913e86ea38d26b0af3b69e50361de46b7f3a3ec02229c5,3ea3dae20014f9a39f3b23cb75b1342b9f39ad920c024004e3827b21e0e06440,f2473a527002f9a08101a6fcb33b76485acb1d2736c1757e470342aafdae2192,151029dfdaecc690ad7e8e2456ae6b704d90297e555615fd23822d70f99771fe
"100","1","1001","psy_miyako_idle","-220","0","-200","1","1.7","1","119931"
"100","1","1002","psy_idle_normal","-220","1","1000","1","1.7","5","1"
"105","1","1003","psy_fairy_idle","-220","0","-50","1","1.7","5","2"
"0","1","1004","","1","","0","1","1","31","11"
"1","1","1005","","","","","1","0.2","3","psy_item00_run"
"-220","1","1006","","0","","2.5","1","","2","285"
"","2.5","1007","","","","","1","","93",""
"1","1","1008","","","","","1","0.2","3","psy_item00_idle"
"","0.5","1009","","","","","1","","93",""
"1","119931","1010","","","","","1","0.2","3","psy_miyako_talk1"
"0","vo_minigame_1008","1011","","","","0","1","","21","vo_minigame_1008_drama_0101"
"6","119931","1012","0.5","0","0","1","1","0","11","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！"
"","6","1013","","","","","1","","93","1"
"0","119931","1014","","1","0.2","psy_miyako_doya_loop","1","0.2","3","psy_miyako_doya_in"
"","1012","1015","","","","","1","","91",""
"","0","1016","","","","","1","","22","0"
"1","2","1017","","","","","1","0.2","3","psy_fairy_talk"
"0","vo_minigame_1008","1018","","","","0","1","","21","vo_minigame_1008_drama_9901"
"6","2","1019","0.5","0","0","1","1","0","11","キュイキュイ！"
"","0","1020","","","","","1","","91",""
"1","2","1021","","","","","1","0.2","3","psy_fairy_idle"
"1","119931","1022","","","","","1","0.2","3","psy_miyako_talk2"
"0","vo_minigame_1008","1023","","","","0","1","","21","vo_minigame_1008_drama_0102"
