27f482673c9851d448afa86db003b39df70282f37cd183c0fcd8bdc33233746b,4c1d9494e8a063826e50daf148507041447127fc639e82525f06d87ad39ba91b,3ccb49e55586b7c2fbf9eb1204fca4a9bfa07529e3a3e0625034a2fb0e18bebb,961e32c410f776367f7ec49da900cacf966168298154da4fcb08db1df8951559,e61a86f4b32dbcee30937300ccebd3fe03c4f5bb3e89853a49a0defb1196b1d1,4d1ce4fe2a16e3a33b3719573d4011ac29b42426ae30e9be6ddf41efb4df591d,8e0f342589067ef9ce3777468343bd67bd088cca3863675002f438de2dfb03e5,7d1bb5045b02e04d7b5a125deb5998d6d4573871e3bc91f4cfeb127ce7c85055,6de6f322b625e59687654abf74715023a9b94c7ec5fa87fe3b98c4b87c702947,b71e7f8ec05e31d2d2fdb4d015326f8d4c34b3b15e0cafbec7d431e1a27e68d4
"10001","0","0","2019/02/15 14:59:59","0","0","0","2018/01/01 15:00:00","0","0"
"10002","1001","0","2019/02/28 11:59:59","1","1001","1001","2019/02/15 15:00:00","1","0"
"10003","1001","0","2020/02/15 14:59:59","1","0","0","2019/02/28 12:00:00","1","0"
"10004","1001","1002","2020/02/29 11:59:59","1","1002","1002","2020/02/15 15:00:00","1","0"
"10005","1002","1002","2020/02/29 11:59:59","2","1002","1002","2020/02/15 15:00:00","2","2015009"
"10006","1001","0","2020/08/15 14:59:59","1","0","0","2020/02/29 12:00:00","1","0"
"10007","1002","0","2020/08/15 14:59:59","2","0","0","2020/02/29 12:00:00","2","2015009"
"10008","1001","1003","2020/08/31 11:59:59","1","0","0","2020/08/15 15:00:00","1","0"
"10009","1002","1003","2020/08/31 11:59:59","2","0","0","2020/08/15 15:00:00","2","2015009"
"10010","1001","0","2021/02/15 14:59:59","1","0","0","2020/08/31 12:00:00","1","0"
"10011","1002","0","2021/02/15 14:59:59","2","0","0","2020/08/31 12:00:00","2","2015009"
"10012","1001","1004","2021/02/28 11:59:59","1","1003","1003","2021/02/15 15:00:00","1","0"
