7272fa287d183acaa77740b11f57fb3f025d9518ab85cabab2429705c8eb6b09,2da91e6edc62a7ae4cf99434488463c72236bc4fd81586c1f9a00c9d21052d21,ce25a48265c89eb792efd3f309316365e18dc75b8ee93feca46fbf47b0a75aca,a222d914cd66b3e56dd04b3a4f68f7785f003e2d8cf2acacdaf0bbdd6c5baee3,a5ef9625b43aab64f2541ca333545fa35c125a56014ca5bc287ca507576959c4,f3fe3d378b75b86f52b15b3dd7fdf85d957cea49598c17e5249f71065e5943ae,787ab75da064f8f8aa4e0ad785eb7287150cc9ab318d9bc2b9c319f4f32834de,33376882eaba996f7c0252a72ca996757904a7d7f3e8f41190535413e8a825f4,8f94268a3b9398147751823d70468415ae0f3f9d4befcdaf63d336b25c90510e,9af54baa19e2c720ca845f9974f8a3b9e3066b38147e366f8403751346b4b2ed,b55facca12479ca14c3cf21e2ab0c306803cf3f2c5a0f866ac5b052407cb291c
"","","","","イ","1082","","","","",""
"","","","","オ","1107","","","","",""
"","","","","","1176","ツ","","","",""
"","","","","ー","1189","","ホ","","","ル"
"","","","","ゥー","1192","","","","",""
"","","","","イ","1245","","","","",""
"","","ゃさ","","","1250","","","","","ちそ"
"トメア","ナイア","ア","ナメア","ト","2013","ナ","イ","ナイト","イトメ","メ"
"ンドル","ランル","ル","ドソル","ラ","2014","ン","ソ","ランド","ラドソ",""
"るのと","そるう","う","そのう","と","2015","る","","そるの","そのと",""
"のとう","るなと","の","るのう","と","2016","る","な","るなう","なのと","う"
"くうて","ひくて","","ひてい","う","2017","く","","ひくう","ひうて","い"
"","ふゃ","ん","ふん","ゃ","2019","ふ","","ふゃ","しん","し"
"ぎしゅ","ぎゅわ","ぎ","むゅわ","し","2020","ゅ","わ","むしわ","むぎし","む"
"S","E","","","","2031","","","","",""
"","","","","","2032","","","AE","",""
"","A","","R","","2033","","","","",""
"","E","","I","","2034","","","","",""
"","UA","","R","","2036","","","","",""
"","E","","L","","2037","","","Y","E",""
"","E","","L","","2038","","","I","V",""
"","L","","I","","2040","","","","",""
"","","","A","","2041","","","","",""
"Y","","","","","2042","","","","",""
"K","","","A","","2043","","","","",""
"","","","A","","2045","","","","",""
"Q","","","R","","2046","","","","",""
"","A","","R","","2047","","","","",""
"KQ","","","A","","2048","","","","",""
"","B","","","","2049","","","","",""
"","U","","A","","2050","","","T","",""
"","EI","","C","","2052","","","P","",""
"","I","","A","","2053","","","T","",""
"","","","","","2054","","","S","",""
"","","","R","","2055","","","","",""
"","V","","","","2056","","","","",""
"","","","WU","","2058","","","","",""
"R","","","","","2059","","","","",""
"R","","","","","2060","","","","",""
"","","","S","","2062","","","","",""
"","A","","E","","2063","","","S","S",""
"","","","A","","2064","","","A","",""
"","A","","","","2065","","","S","",""
"C","","","","","2066","","","","",""
"","B","","","","2067","","","","",""
"L","I","","","","2068","","","","",""
"C","","","E","","2069","","","","",""
"","E","","","","2070","","","","D",""
"","A","","","","2071","","","I","N",""
"","","","C","","2074","","","A","",""
"","","","A","","2077","","","A","",""
"","","し","","","2092","ち","","","",""
"フ","ン","","ァ","","2130","","","ト","ム",""
"","","聞聴","","聴言","2200","か","視","","","わ"
"","","ビブ","","","2201","ー","","","",""
"","","ル","","","2202","","","","",""
"","","","","飯","2216","","麦","","","鯉"
"","","","","ゅ","2261","","し","","","う"
"","","","","","2264","ぅ","","","",""
"","","","","ー","2266","","","","",""
"","","き","","ふ","2295","ん","ひ","","","く"
"","","だ","","","2313","","","","",""
"ル","","","ナ","","3020","","","","",""
"","","","","ェ","3066","","フ","","",""
"","","","","","3068","","く","","",""
"","","","","","3073","","","","","が"
"","","生","","","3084","","","","",""
"","","ア","","","3158","","","","",""
"","","","","","3165","","","","","ひ"
"","","か","","","3187","","","","",""
"","","シス","","","3191","オ","","","","デ"
"","","さ","","","3193","ま","","","",""
"ブ","","","","","3195","","","","",""
"","","","","","3222","","","","","ス"
"","","ず","","","3238","","","","",""
"","","帰","","","3271","","","","",""
"","","","","ク","3277","","","","",""
"","","","","","3318","","","","","ア"
"","","し","","","4029","ち","","","",""
"","","","","","4049","X","","","",""
"","","た","","","4052","","","","",""
"","","さ","","","4077","","","","",""
"","","","","","4154","帯","","","",""
"","そ","","","","4157","","","","",""
"","い","","","","4167","","","","",""
"二","","","","","4171","","","","",""
"","","","小","","4194","","","倍","",""
"","","","大","","4195","","","約","",""
"","","","","","4196","","高","","","底"
"半","","","","","4197","","","","",""
"","","く","","","4203","","","","",""
"","","","","","4220","","","","","ウ"
"","","","","ィ","4222","","","","",""
"","","","","","4247","","セ","","",""
"","","","","","5010","","","","","ー"
"","","","","","5011","","","","","ワ"
"","","","","","5030","","","ラモ","テカ",""
"","","","","","5031","","","オモ","レカ",""
"","","","","","5051","","","","","ー"
"","","ら","","お","5066","","","","","か"
"","","","","","5100","","","","","ぶ"
"み","","","つ","","5109","","","じ","つ",""
"カ","ン","","ウ","","5140","","","タ","ー",""
"","","","","","5147","ロ","","","",""
"","","","","","5160","","","","","と"
"卯辰戌","戌卯辰","","戌酉卯","牛","5193","","","戌酉子","卯戌子","虎"
"","","","","","6060","ト","","","",""
"","","","","","6065","","","","","ほ"
"","","ィ","","","6157","","","","",""
"","","","","","6188","","","","ト",""
"","","","","ン","6203","","イ","","","ド"
"","","ジ","","","6216","ラ","","","","ク"
"チ","ウ","","ョ","","6227","","","","",""
