ccffab0c87689e821d46597e17b20bd444c8affdf4e585817392b9cadcd76295,ebf7238feac348a821471a6c23d1ef0b2a9874e1e8c56f5b5647b0d83db08da8,a12df8fd0719a6461aa01229c1c971907906faf22bf0391cb93368601fd5b025,226001bc462dbc8b126235c56c6af25a59de2c4502743f8278ef4399eb0e3a0a,1f0da9ead4845c4dce5376630e0933c0ab3397a0d929a4f110e2f99e2f7978a0
"2","1","3","10201","1"
"2","2","3","10202","2"
"2","3","3","10203","3"
"2","4","10","10301","4"
"2","5","10","10302","5"
"2","6","10","10303","6"
"2","7","10","10304","7"
"2","8","20","10401","8"
"2","9","20","10402","9"
"2","10","20","10403","10"
"2","11","20","10404","11"
"2","12","20","10405","12"
"2","13","20","10406","13"
"2","14","20","10407","14"
"2","15","20","10408","15"
"2","16","20","10409","16"
"1","17","3","10701","1"
"1","18","3","10601","2"
"1","19","3","10602","3"
"1","20","3","10603","4"
"1","21","3","10604","5"
"1","22","10","11301","6"
"1","23","10","11302","7"
"1","24","10","11303","8"
"1","25","20","11401","9"
"1","26","20","11402","10"
"1","27","20","11403","11"
"1","28","20","11601","12"
"1","29","20","11602","13"
"1","30","20","11603","14"
"1","31","20","11604","15"
"1","32","20","11605","16"
"1","33","20","11606","17"
"1","34","20","11101","18"
"1","35","20","11102","19"
"1","36","20","11103","20"
"1","37","20","11701","21"
"1","38","20","11702","22"
"1","39","20","11703","23"
"3","40","3","10501","1"
"3","41","3","10502","2"
"3","42","3","10503","3"
"3","43","10","11201","4"
"3","44","10","10801","5"
"3","45","10","10802","6"
"3","46","10","10803","7"
"3","47","10","10804","8"
"3","48","20","10901","9"
"3","49","20","10902","10"
"3","50","20","10903","11"
"3","51","20","10904","12"
"3","52","20","11001","13"
"3","53","20","11002","14"
"3","54","20","11003","15"
"3","55","20","11501","16"
"3","56","20","11502","17"
"3","57","20","11503","18"
"3","58","20","11504","19"
"3","59","20","11505","20"
"3","60","20","11506","21"
