2a78fdf758c0fbd5c1d263479673b2f79d3f1005ef9c877db155c2066d30c8b4,2df6c5c1acfc50680e4186917324f6c55f88268677393c7574b4f8c64b969ecf,cc69a097c43cc905917b327504f53a6aeedf1c64dcbdfae4c70dd8fb9c765af1,1eef551da97c1b3f7241ca756b779ddfcdc5cb07971512e374c34f72464d101c,3dfa1cb95a8632b52651db77878f3934ef939be0b57afd04d9bb38f06981f683,ed5a3b1381b0614957dff7e7490d0463a2f781cf69c9ffba915f259c9c6dc4df
"10010","610010501","0","1","0","100"
"10010","610010502","0","1","0","250"
"10010","610010503","0","1","0","450"
"10010","610010601","6","2","4","440"
"10010","610010602","3","2","3","300"
"10010","610010603","1","2","2","140"
"10010","610010605","1","2","1","20"
"10012","610012501","0","1","0","80"
"10012","610012502","0","1","0","180"
"10012","610012503","0","1","0","280"
"10012","610012504","0","1","0","380"
"10013","610013501","0","1","0","-500"
"10013","610013502","0","1","0","-400"
"10013","610013503","0","1","0","-300"
"10015","610015501","0","1","0","0"
"10015","610015502","0","1","0","10"
"10015","610015503","0","1","0","20"
"10017","610017501","0","1","0","-180"
"10017","610017502","0","1","0","-80"
"10021","610021501","1","2","1","20"
"10021","610021502","1","2","2","140"
"10021","610021503","1","2","3","300"
"10025","610025501","0","1","0","-120"
"10025","610025502","0","1","0","-10"
"10025","610025503","0","1","0","30"
"10027","610027502","0","1","0","-220"
"10027","610027503","0","1","0","10"
"10027","610027504","0","1","0","800"
"10027","610027505","0","1","0","100"
"10029","610029501","0","1","0","-120"
"10029","610029502","0","1","0","-10"
"10029","610029503","0","1","0","30"
"10031","610031501","0","1","0","-120"
"10031","610031502","0","1","0","-40"
"10031","610031503","0","1","0","10"
"10031","610031504","0","1","0","50"
"10033","610033501","0","1","0","-120"
"10033","610033502","0","1","0","-10"
"10033","610033503","0","1","0","30"
"10033","610033504","0","1","0","-80"
"10035","610035501","0","1","0","10"
"10035","610035502","0","1","0","-120"
"10035","610035503","0","1","0","90"
"10035","610035601","0","1","0","-220"
"10035","610035602","0","1","0","10"
"10035","610035603","0","1","0","100"
"10035","610035604","0","1","0","800"
"10037","610037501","0","1","0","80"
"10037","610037502","0","1","0","180"
"10037","610037503","0","1","0","280"
"10037","610037504","0","1","0","380"
"10038","610038501","0","1","0","-120"
"10038","610038502","0","1","0","-40"
"10038","610038503","0","1","0","10"
"10038","610038504","0","1","0","50"
"10039","610039501","0","1","0","-500"
"10039","610039502","0","1","0","-400"
"10039","610039503","0","1","0","-300"
"10040","610040501","0","1","0","-205"
"10040","610040502","0","1","0","122"
"10040","610040503","0","1","0","25"
"10040","610040504","0","1","0","295"
"10041","610041501","0","1","0","0"
"10041","610041502","0","1","0","10"
"10041","610041503","0","1","0","20"
"10042","610042501","0","2","0","-120"
"10042","610042502","0","2","0","-40"
"10042","610042503","0","2","0","10"
"10045","610045501","1","2","1","20"
"10045","610045502","1","2","2","140"
"10045","610045503","1","2","3","300"
"10046","610046404","0","1","0","-275"
"10046","610046405","0","1","0","-45"
"10046","610046406","0","1","0","115"
"10046","610046407","0","1","0","175"
"10048","610048601","0","2","0","-150"
"10048","610048602","0","2","0","-145"
"10049","610049501","0","1","0","-120"
"10049","610049502","0","1","0","-10"
"10049","610049503","0","1","0","30"
"10050","610050404","1","1","1","20"
"10050","610050405","1","1","2","140"
"10050","610050406","1","1","3","300"
"10051","610051502","0","1","0","-220"
"10051","610051503","0","1","0","10"
"10051","610051505","0","1","0","100"
"10052","610052401","0","1","1","20"
"10052","610052402","0","1","2","140"
"10052","610052403","0","1","3","300"
"10053","610053501","0","1","0","-180"
"10053","610053502","0","1","0","-80"
"10054","610054501","0","2","0","-180"
"10054","610054502","0","2","0","20"
"10054","610054503","0","2","0","150"
"10055","610055501","0","1","0","-120"
"10055","610055502","0","1","0","-10"
"10055","610055503","0","1","0","30"
"10057","610057501","0","1","0","-120"
"10057","610057502","0","1","0","-40"
"10057","610057503","0","1","0","10"
"10057","610057504","0","1","0","50"
"10058","610058501","1","1","1","20"
"10058","610058502","1","1","2","140"
"10058","610058503","1","1","3","300"
"10058","610058601","0","1","0","200"
"10058","610058602","0","1","0","-200"
"10059","610059501","0","2","0","40"
"10059","610059502","0","2","0","-15"
"10059","610059503","0","2","0","-90"
"10059","610059504","0","2","0","200"
"10060","610060501","0","1","0","-120"
"10060","610060502","0","1","0","-10"
"10060","610060503","0","1","0","30"
"10060","610060504","0","1","0","-80"
"10061","610061501","0","1","0","-200"
"10061","610061502","0","1","0","-80"
"10061","610061503","0","1","0","100"
"10174","610062501","0","1","0","10"
"10174","610062502","0","1","0","-120"
"10174","610062503","0","1","0","90"
"10174","610062601","0","1","0","-220"
"10174","610062603","0","1","0","100"
"10174","610062604","0","1","0","150"
"10065","610065501","0","1","0","-120"
"10065","610065502","0","1","0","-40"
"10065","610065503","0","1","0","10"
"10065","610065504","0","1","0","50"
"10066","610066501","0","2","0","-220"
"10066","610066502","0","2","0","60"
"10066","610066503","0","2","0","89"
"10067","610067501","0","1","0","-205"
"10067","610067502","0","1","0","122"
"10067","610067503","0","1","0","25"
"10067","610067504","0","1","0","295"
"10068","610068501","0","2","0","-180"
"10068","610068502","0","2","0","20"
"10068","610068503","0","2","0","150"
"10069","610069501","0","2","0","-170"
"10069","610069502","0","2","0","-80"
"10069","610069503","0","2","0","120"
"10070","610070506","0","2","0","350"
"10070","610070507","0","2","0","250"
"10070","610070640","0","1","0","250"
"10070","610070641","0","1","0","350"
"10070","610070642","0","1","0","700"
"10070","610070643","0","1","0","800"
"10072","610072501","1","1","1","20"
"10072","610072502","1","1","2","140"
"10072","610072503","1","1","3","300"
"10072","610072601","0","2","0","-180"
"10072","610072602","0","2","0","-145"
"10072","610072603","0","2","0","80"
"10073","610073404","0","1","0","-275"
"10073","610073405","0","1","0","-45"
"10073","610073406","0","1","0","115"
