97a2b65d8373793b3ee2f7795a13199dcddf4f5067ce9178f10e1fd314e83ca9,0fc926f8a01f64afbc8030b099d9fdf1d88d9a3db78f36f9d1c9b7a26f17c817
"ＨＰ強化","1"
"物理攻撃力強化","2"
"物理防御力強化","3"
"魔法攻撃力強化","4"
"魔法防御力強化","5"
"物理クリティカル強化","6"
"魔法クリティカル強化","7"
"回避強化","8"
"ＨＰ吸収強化","9"
"ＨＰ自動回復強化","10"
"ＴＰ自動回復強化","11"
"物理貫通ダメージ強化","12"
"魔法貫通ダメージ強化","13"
"ＴＰ上昇強化","14"
"回復量上昇強化","15"
"ＴＰ消費軽減強化","16"
"命中強化","17"
"物理・魔法攻撃力強化","50"
"物理・魔法防御力強化","51"
"物理・魔法クリティカル強化","52"
"物理クリティカルダメージ強化","100"
"魔法クリティカルダメージ強化","101"
"物理与ダメージ強化","102"
"魔法与ダメージ強化","103"
"属性ボーナス強化","104"
