f64be8c8a8e1a7bad3f7421d0b0ad7f22610869226809ceaa5c1523af3b5e155,f4eff5b95a4f8604ffad4ed4a638b03ab17a9219e534b652e2ab52d2b57144e8,bda8d1b0e3f8ce5a3bdd949e8bc8b0c8d9a65e1ebc066702bffbc2216b4ce74b,1f7e3782824388f7b6c7f33c7d7a58c87fe5ad56882f118d197edf2ad7da5360,8b1fd87ef55c2dbfee1dcc2816af36b5c49253d64830775a95df185f317669cb
"135","1","300","1","1"
"425","1","-100","1","2"
"-100","1","125","2","3"
"375","1","-415","2","4"
"25","1","-50","3","5"
"-25","1","-300","3","6"
"-195","1","-335","4","7"
"105","1","-415","4","8"
"135","1","-160","5","9"
"345","1","-40","6","10"
"-230","1","90","7","11"
"230","1","-420","8","12"
"30","1","250","9","13"
"280","1","-245","10","14"
"-150","1","-110","11","15"
