3056c49038631b1f136782aaedcaf8dbabf677a96f42ca703baa4273d2233021,267a90533f4e34019ddd68ed8e4cd6e993f1ff0957126b9f81cd7d5168944b84,96fa937c6d585384cd3fd99a165711f142547a2fc6f002f9311e55eb04885ad6,50da88c971ebbbb35bc1c7a26a1eded06041e12165736f1300def957cc4638cc,681dc12bd08e03e096576ed111b10dace36ff32fa80e277916e6b45afa5b03a4,18ae30ba6e1ac5ecdef15fb9e04256a7f1d141672196d62df26187933162ba67,6a6db5dc06aa6a69197cc1c7fe246e702955be22a9a4b697431f8eaafd71e31b,6c96d9f1f3182c2639f59a56af6340c7053c3bca1ce06d1e4500da2109076fcf,f99bbfdf04211931fda30ddc3a706459daf558b254fbcf7021e5aeb2e6c99eec,24e9b4d929a82e1d10df3a8ba9e87ae25438412c91bdf68793b1303b3c93452a,2fcd80d2aca9b51bb3c97dff2a0d0f9d6c7e1ee646379e46dfa45839531dd08e
"2","二人だけの時間","0","0","10157107","25","8","5128071","91002","10128","0"
"2","新居の必須条件","0","5128071","0","25","8","5128072","91002","10128","0"
"2","本当は誰よりも","0","5128072","0","25","8","5128073","91002","10128","0"
"2","家族で大切に\nしたいこと","0","5128073","0","25","8","5128074","91002","10128","0"
"2","誓いの言葉","0","5128074","0","50","8","5128075","91002","10128","0"
"3","血の婚約報告","0","0","10157107","25","8","5128081","91002","10128","0"
"3","風来人の家探し","0","5128081","0","25","8","5128082","91002","10128","0"
"3","愛おしい時間","0","5128082","0","25","8","5128083","91002","10128","0"
"3","トーゴクの\n家族文化","0","5128083","0","25","8","5128084","91002","10128","0"
"3","飾らない愛を","0","5128084","0","50","8","5128085","91002","10128","0"
"4","口約束は災いのもと","5128085","5128075","0","0","0","5128091","0","10128","0"
"4","譲れない家庭の味","0","5128091","0","0","0","5128092","0","10128","11001271"
"1","夢の語り部に誘われて","0","0","10157107","0","0","5128161","0","10128","0"
