e55241c5221588b22b5f1d79448fe6c0a432dfc0f5c78a47139003c8475274d8,164fd21f5677b5ffca94d99d914c6cb08348054b1cf1a778887dbfa8c21f4556,20aee27b4972afea9e578dd723169b5ea2d96d5f65b7c7e59f8322baf4a10f37,985110d37c5c6470eef74c96fed16eb6fb48c12e099dd61ae364a05547d98f28,6f2755235fd831e8c89a8b4b647b698199158a5d7def377f7e69e3e34a9b55f9
"41","1","1","1","26"
"41","2","2","1","101"
"61","3","3","1","61"
"50","4","4","1","82"
"41","5","5","1","21"
"41","6","6","1","108"
"55","7","7","1","79"
"68","8","8","1","57"
"44","9","9","1","28"
"44","10","10","1","97"
"55","11","11","1","47"
"67","12","12","1","68"
"38","13","13","1","10"
"38","14","14","1","119"
"52","15","15","1","90"
"65","16","16","1","28"
"40","17","17","1","25"
"40","18","18","1","101"
"58","19","19","1","65"
"64","20","20","1","36"
"41","21","21","1","25"
"41","22","22","1","86"
"60","23","23","1","40"
"40","24","24","1","16"
"40","25","25","1","115"
"63","26","26","1","28"
"41","27","27","1","28"
"41","28","28","1","96"
"55","29","29","1","70"
"41","30","30","1","33"
"41","31","31","1","83"
"68","32","32","1","57"
"37","33","33","1","36"
"37","34","34","1","82"
"58","35","35","1","82"
"38","36","36","1","27"
"38","37","37","1","102"
"52","38","38","1","39"
"65","39","39","1","62"
"38","40","40","1","28"
"38","41","41","1","93"
"56","42","42","1","54"
"63","43","43","1","28"
"40","44","44","1","39"
"40","45","45","1","115"
"55","46","46","1","21"
"66","47","47","1","60"
"38","48","48","1","15"
"38","49","49","1","76"
"53","50","50","1","58"
"61","51","51","1","36"
"38","52","52","1","28"
"38","53","53","1","89"
"56","54","54","1","23"
"66","55","55","1","67"
"40","56","56","2","31"
"40","57","57","2","89"
"67","58","58","2","42"
"55","59","59","2","61"
"40","60","60","2","21"
"40","61","61","2","93"
"57","62","62","2","61"
"68","63","63","2","44"
"43","64","64","2","21"
"43","65","65","2","101"
"57","66","66","2","56"
"75","67","67","2","108"
"37","68","68","2","30"
"37","69","69","2","83"
"53","70","70","2","39"
"67","71","71","2","24"
"38","72","72","2","25"
"38","73","73","2","91"
"65","74","74","2","83"
"55","75","75","2","65"
"39","76","76","2","21"
"39","77","77","2","93"
"62","78","78","2","26"
"72","79","79","2","107"
"38","80","80","2","36"
"38","81","81","2","86"
"55","82","82","2","50"
"62","83","83","2","25"
"40","84","84","2","24"
"40","85","85","2","86"
"65","86","86","2","46"
"58","87","87","2","69"
"43","88","88","2","24"
"43","89","89","2","99"
"62","90","90","2","24"
"72","91","91","2","107"
"43","92","92","2","21"
"43","93","93","2","104"
"67","94","94","2","46"
"55","95","95","2","69"
"40","96","96","2","28"
"40","97","97","2","86"
"65","98","98","2","43"
"44","99","99","2","21"
"44","100","100","2","98"
"65","101","101","2","54"
"38","102","102","2","36"
"38","103","103","2","83"
"58","104","104","2","93"
"43","105","105","2","17"
"43","106","106","2","98"
"61","107","107","2","28"
"37","108","108","2","36"
"37","109","109","2","86"
"65","110","110","2","72"
"44","111","111","3","26"
"44","112","112","3","102"
