15ee2aec71ff5a3c451c76031d0e3c556476ad7a2e77d39d4ee5690bf063f8e4,c1c199595d8df7d5c397c7ea82462d7e74828d90828d5b4d619c1027e8fca6bd,acaa19eeb2fc732df14ad8b28a9a87babc56408d32aea9a3979b015a31c04ff5,8756e8060480c4194af8728d758567b6f967136ec2cdd2510f7de82e39c1c1d9,cb6a4747496efbcecde9bdaf3aa6fe76035665930dd7510f93885af1b0dac3bd,3235cbc23ebeeb2afd5e47a147336fe320508b9b1531f85b90e5215fe3a4f7cd,a5119fa96485aa8d608164e19713ad056f8f7ff8057f306d567211d6fbf0ffac,8bd4592f74ca719f4dfa3c3b0231ae3fa1b055fe8844d30488c5aae176a361d4,2366503241edd60dca4e9c4f0b802c6f52a012dde1972304b581e38740e838ca,be2bbb736fa0fc100f80abe96804451695e9c289b22c3f7da5f05c5d1cf802a7,3ade420c2bfb4b29b5a7caddaa690cd17abdba2ff7df552017aaada85739a5bd
"112511","-190","0","1","-140","1","1","1500","1.8","omp_talk_worry","1010001"
"112411","-190","1","1","140","1","1","1500","1.8","omp_idle_normal","1010002"
"1","1","","1","0","1","31","0","1","","1010003"
"","","","1","","1","93","","","","1010004"
"vo_omp_7001_000","","","1","0","vo_omp_7001","21","0","","","1010005"
"ウヅキ、大丈夫？\n夜営続きで疲れてない？","1","","1","1","112511","11","10","","","1010006"
"","","","1","","0","91","","","","1010007"
"omp_idle_worry","","","1","","112511","3","1","0","","1010008"
"omp_talk_joy1","","","1","","112411","3","1","0","","1010009"
"vo_omp_7001_001","","","1","0","vo_omp_7001","21","0","","","1010010"
"はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","1","","1","1","112411","11","10","","","1010011"
"","","","1","","0","91","","","","1010012"
"omp_psn_20","","","1","","112411","3","1","0","","1010013"
"omp_talk_normal","","","1","","112511","3","1","0","","1010014"
"vo_omp_7001_002","","","1","0","vo_omp_7001","21","0","","","1010015"
"そっか\nウヅキはどんなときも楽しそうだよね","1","","1","1","112511","11","10","","","1010016"
"","","","1","","0","91","","","","1010017"
"omp_idle_normal","","","1","","112511","3","1","0","","1010018"
"omp_talk_sad","","","1","","112411","3","1","0","","1010019"
"vo_omp_7001_003","","","1","0","vo_omp_7001","21","0","","","1010020"
"もしかして…\nリンちゃんは楽しくないですか？","1","","1","1","112411","11","10","","","1010021"
