845f98efefa5cd84157a3f9b40640155f2f098e03e6881dca343247d84c58448,154fb8774ffa3655b5dfbea5c7e5c9de65029ed7ccef941de91820e458025750,45086136d431f3cdc4c8e27d3d04fecf33208c212f71f4c8b3163e7d894e336d,9175fb6bcda9caaf9bc0bced100ac764e0b513607bade55e6810cd3ed3d3d219,eb0799e63b4b47cad340b54b65609ba8b592414da3b54a4629190697d18e2a75,d2c19d8807e3137f25755583fafa8dc2737d8de2264218a1f5f3a9825ae991ec,a37ee32037900065a0b68d49463318b18f0218056cef274b68da95004e9a968a,3358cdb11acab2b4be8cbf9f5c5c81fd25371c7cfab7b88876cfee145498a726,0238856a1b5aff52ab237271c5cba2a43a3e2b8df87fa62f8825a95b745555ce,17c74449429e5cd6c6cd6dd644c8d519a7d807c50a49ef0f48d0633c69c16fd6
"懐かしき過去の結晶","0","0","10110","0","5110601","オープニング","20059104","0","0"
"リーダーはどっちだ！","8","91002","10110","1","5110602","オクトーの追想　その1","20059104","30","0"
"勝ちたい理由","8","91002","10110","1","5110603","オクトーの追想　その2","20059105","30","0"
"聞き上手な誓約女君","8","91002","10110","1","5110604","クリスティーナの追想　その1","20059108","30","0"
"秘めたる本当の実力……？","8","91002","10110","1","5110605","ダイゴの追想　その1","20059109","30","0"
"友と書いてライバルと読む","8","91002","10110","1","5110606","ラビリスタの追想　その1","20059110","30","0"
"悪と正義の高笑い","8","91002","10110","1","5110607","マサキの追想","20059112","30","0"
"プリンセスナイトとは","8","91002","10110","1","5110608","ラジラジの追想　その1","20059113","30","0"
"まだ見ぬ日々に想い馳せて","8","91002","10110","1","5110609","オクトーの追想　その3","20059114","30","0"
"跳躍王のお仕置き","8","91002","10111","1","5111602","ラジラジの追想　その2","20060103","30","0"
"二人なら絶対だって","8","91002","10111","1","5111603","クリスティーナの追想　その2","20060105","30","0"
"虎の尾を踏む","8","91002","10111","1","5111604","ダイゴの追想　その2","20060108","30","0"
"一番怪しい七冠は誰だ","8","91002","10111","1","5111605","ラビリスタの追想　その2","20060109","30","0"
"簡単すぎる問題","8","91002","10111","1","5111606","ネネカの追想","20060110","30","0"
"魔物使いは語る","8","91002","10111","1","5111607","オクトーの追想　その4","20060113","30","0"
"悪党たちの目指す未来","8","91002","10111","1","5111608","オクトーの追想　その5","20060113","30","0"
"過去を超える思い出を","16","9000222","10111","0","5111609","エンディング","0","1","1"
