9609dff771b2b585e9738723d153b81d2ec56fde87e44d091255a4389ba14168,71685b31c2f23f1d370f7fcb121ee011c47bc4c68a345cba5075e829f5af92cd,278190cb3d46e2fb7ebc35313bc42e7a5f024868edc97ad4251348eece581431,6504c9397612f328326c9c3f4db8c8840cc12a3b36e11e02851dc6297365b890,693d71c32a80c87679249ad585668d51f5797de4b1960038968eb4b2ddabcff1
"26","1","1","1","41"
"101","2","1","2","41"
"61","3","1","3","61"
"82","4","1","4","50"
"21","5","1","5","41"
"108","6","1","6","41"
"79","7","1","7","55"
"57","8","1","8","68"
"28","9","1","9","44"
"97","10","1","10","44"
"47","11","1","11","55"
"68","12","1","12","67"
"10","13","1","13","38"
"119","14","1","14","38"
"90","15","1","15","52"
"28","16","1","16","65"
"25","17","1","17","40"
"101","18","1","18","40"
"65","19","1","19","58"
"36","20","1","20","64"
"25","21","1","21","41"
"86","22","1","22","41"
"40","23","1","23","60"
"16","24","1","24","40"
"115","25","1","25","40"
"28","26","1","26","63"
"28","27","1","27","41"
"96","28","1","28","41"
"70","29","1","29","55"
"33","30","1","30","41"
"83","31","1","31","41"
"57","32","1","32","68"
"36","33","1","33","37"
"82","34","1","34","37"
"82","35","1","35","58"
"27","36","1","36","38"
"102","37","1","37","38"
"39","38","1","38","52"
"62","39","1","39","65"
"28","40","1","40","38"
"93","41","1","41","38"
"54","42","1","42","56"
"28","43","1","43","63"
"39","44","1","44","40"
"115","45","1","45","40"
"21","46","1","46","55"
"60","47","1","47","66"
"15","48","1","48","38"
"76","49","1","49","38"
"58","50","1","50","53"
"36","51","1","51","61"
"28","52","1","52","38"
"89","53","1","53","38"
"23","54","1","54","56"
"67","55","1","55","66"
"31","56","2","56","40"
"89","57","2","57","40"
"42","58","2","58","67"
"61","59","2","59","55"
"21","60","2","60","40"
"93","61","2","61","40"
"61","62","2","62","57"
"44","63","2","63","68"
"21","64","2","64","43"
"101","65","2","65","43"
"56","66","2","66","57"
"108","67","2","67","75"
"30","68","2","68","37"
"83","69","2","69","37"
"39","70","2","70","53"
"24","71","2","71","67"
"25","72","2","72","38"
"91","73","2","73","38"
"83","74","2","74","65"
"65","75","2","75","55"
"21","76","2","76","39"
"93","77","2","77","39"
"26","78","2","78","62"
"107","79","2","79","72"
"36","80","2","80","38"
"86","81","2","81","38"
"50","82","2","82","55"
"25","83","2","83","62"
"24","84","2","84","40"
"86","85","2","85","40"
"46","86","2","86","65"
"69","87","2","87","58"
"24","88","2","88","43"
"99","89","2","89","43"
"24","90","2","90","62"
"107","91","2","91","72"
"21","92","2","92","43"
"104","93","2","93","43"
"46","94","2","94","67"
"69","95","2","95","55"
"28","96","2","96","40"
"86","97","2","97","40"
"43","98","2","98","65"
"21","99","2","99","44"
"98","100","2","100","44"
"54","101","2","101","65"
"36","102","2","102","38"
"83","103","2","103","38"
"93","104","2","104","58"
"17","105","2","105","43"
"98","106","2","106","43"
"28","107","2","107","61"
"36","108","2","108","37"
"86","109","2","109","37"
"72","110","2","110","65"
"26","111","3","111","44"
"102","112","3","112","44"
"50","113","3","113","91"
"88","114","3","114","78"
"43","115","3","115","35"
"86","116","3","116","35"
"43","117","3","117","85"
"53","118","3","118","66"
"28","119","3","119","47"
"101","120","3","120","47"
"46","121","3","121","66"
"79","122","3","122","85"
"39","123","3","123","37"
"91","124","3","124","37"
"57","125","3","125","78"
"71","126","3","126","60"
"36","127","3","127","37"
"93","128","3","128","37"
"39","129","3","129","62"
"50","130","3","130","88"
"65","131","3","131","106"
"39","132","3","132","35"
"91","133","3","133","35"
"65","134","3","134","86"
"41","135","3","135","57"
"93","136","3","136","70"
"65","137","3","137","106"
"30","138","3","138","41"
"99","139","3","139","41"
"78","140","3","140","91"
"57","141","3","141","60"
"37","142","3","142","72"
"65","143","3","143","106"
"36","144","3","144","41"
"93","145","3","145","41"
"57","146","3","146","57"
"39","147","3","147","75"
"86","148","3","148","85"
"65","149","3","149","106"
"39","150","3","150","38"
"91","151","3","151","38"
"48","152","3","152","88"
"67","153","3","153","63"
"83","154","3","154","81"
"65","155","3","155","106"
"39","156","3","156","35"
"91","157","3","157","35"
"92","158","3","158","72"
"43","159","3","159","57"
"46","160","3","160","88"
"39","161","3","161","35"
"90","162","3","162","35"
"46","163","3","163","60"
"79","164","3","164","91"
"41","165","3","165","33"
"88","166","3","166","33"
"43","167","3","167","85"
"83","168","3","168","60"
"36","169","3","169","36"
"93","170","3","170","36"
"83","171","3","171","86"
"50","172","3","172","60"
