c1cc3769fecc1b4bde751dff90b002ef1706e79aca2692d3e3705d7a13de279a,6bc4d4e98054bfe8f96d3bfea184befaf11b108a4e3fc39febe48c437f593a06,5d62153caf52a032046d663b2cd9139d0d4889f57821f290f481b355c6d530fd,6979c0eb6f43354997448a6fbf478004cc3937b5fcbecb880e0c41da7e73868d,2643f8856a7df473e0faa0002f4b6526cc06eee23eb7f66d1fa39a679f6aeb47,c8f7f87917f6141d3e5f805c5e3e65d627841c4c6ae165a079624d70e97ebf7b,a538b05715ed013e9fd7edb8534c64fe2c4a3b715514b08c507ec6180c28c96d,c205fd60502822218908e8db182ee0165d509c029244fb2631c66393840b06a9,a64e083e9eb1188508c5f60e711d3b25538f0ab1809b93dcc7d374f5b7569a28,985005b6ffd7d1dde540fd9bb21dbc30a30d7a648771b301186f87276605b514,dc2c4ad31f212e0cbc9b31d6f65e37f5752f829b8582f1ce09d7e133f2f7d885
"31","25021","91002","1","8","2","8","25013","10","283001001","2"
"31","25021","91002","2","8","2","8","25013","10","283001002","2"
"32","25021","91002","3","8","2","8","25013","10","283001003","2"
"32","25021","91002","4","8","2","8","25013","10","283001004","2"
"33","25021","91002","5","8","2","8","25013","10","283001005","2"
"33","25021","91002","6","9","2","8","25013","10","283001006","2"
"34","25021","91002","7","9","2","8","25013","10","283001007","2"
"35","25021","91002","8","9","2","8","25013","10","283001008","2"
"35","25021","91002","9","9","2","8","25013","10","283001009","2"
"37","25021","91002","10","10","2","8","25013","30","283001010","2"
"41","25021","91002","11","10","2","8","25013","10","283001011","2"
"43","25021","91002","12","11","2","8","25013","10","283001012","2"
"46","25021","91002","13","11","2","8","25013","10","283001013","2"
"48","25021","91002","14","12","2","8","25013","10","283001014","2"
"50","25021","91002","15","12","2","8","25013","10","283001015","2"
"53","25021","91002","16","13","2","8","25013","10","283001016","2"
"55","25021","91002","17","14","2","8","25013","10","283001017","2"
"58","25021","91002","18","14","2","8","25013","10","283001018","2"
"60","25021","91002","19","15","2","8","25013","10","283001019","2"
"62","25021","91002","20","15","2","8","25013","30","283001020","2"
"68","25021","91002","21","16","2","8","25013","10","283001021","2"
"70","25021","91002","22","16","2","8","25013","10","283001022","2"
"72","25021","91002","23","16","2","8","25013","10","283001023","2"
"75","25021","91002","24","17","2","8","25013","10","283001024","2"
"77","25021","91002","25","18","2","8","25013","10","283001025","2"
"79","25021","91002","26","18","2","8","25013","10","283001026","2"
"82","25021","91002","27","19","2","8","25013","10","283001027","2"
"84","25021","91002","28","19","2","8","25013","10","283001028","2"
"86","25021","91002","29","19","2","8","25013","10","283001029","2"
"89","25021","91002","30","20","2","8","25013","30","283001030","2"
"94","25021","91002","31","20","2","8","25013","10","283001031","2"
"96","25021","91002","32","21","2","8","25013","10","283001032","2"
"99","25021","91002","33","21","2","8","25013","10","283001033","2"
"101","25021","91002","34","22","2","8","25013","10","283001034","2"
"103","25021","91002","35","22","2","8","25013","10","283001035","2"
"106","25021","91002","36","23","2","8","25013","10","283001036","2"
"108","25021","91002","37","23","2","8","25013","10","283001037","2"
"111","25021","91002","38","24","2","8","25013","10","283001038","2"
"113","25021","91002","39","25","2","8","25013","10","283001039","2"
"115","25021","91002","40","25","2","8","25013","30","283001040","2"
"121","25021","91002","41","26","2","8","25013","10","283001041","2"
"123","25021","91002","42","27","2","8","25013","10","283001042","2"
"125","25021","91002","43","28","2","8","25013","10","283001043","2"
"128","25021","91002","44","28","2","8","25013","10","283001044","2"
"130","25021","91002","45","29","2","8","25013","10","283001045","2"
"132","25021","91002","46","30","2","8","25013","10","283001046","2"
"135","25021","91002","47","30","2","8","25013","10","283001047","2"
"137","25021","91002","48","31","2","8","25013","10","283001048","2"
"139","25021","91002","49","31","2","8","25013","10","283001049","2"
"142","25021","91002","50","31","2","8","25013","30","283001050","2"
"144","25021","91002","51","32","2","8","25013","10","283001051","2"
"146","25021","91002","52","32","2","8","25013","10","283001052","2"
"149","25021","91002","53","32","2","8","25013","10","283001053","2"
"152","25021","91002","54","33","2","8","25013","10","283001054","2"
"155","25021","91002","55","33","2","8","25013","10","283001055","2"
"157","25021","91002","56","33","2","8","25013","10","283001056","2"
"160","25021","91002","57","34","2","8","25013","10","283001057","2"
"163","25021","91002","58","34","2","8","25013","10","283001058","2"
"166","25021","91002","59","34","2","8","25013","10","283001059","2"
"169","25021","91002","60","35","2","8","25013","30","283001060","2"
"171","25021","91002","61","35","2","8","25013","10","283001061","2"
"174","25021","91002","62","35","2","8","25013","10","283001062","2"
"177","25021","91002","63","36","2","8","25013","10","283001063","2"
"180","25021","91002","64","36","2","8","25013","10","283001064","2"
"182","25021","91002","65","36","2","8","25013","10","283001065","2"
"185","25021","91002","66","37","2","8","25013","10","283001066","2"
"187","25021","91002","67","37","2","8","25013","10","283001067","2"
"190","25021","91002","68","37","2","8","25013","10","283001068","2"
"193","25021","91002","69","38","2","8","25013","10","283001069","2"
"196","25021","91002","70","38","2","8","25013","30","283001070","2"
"200","25021","91002","71","39","2","8","25013","10","283001071","2"
"204","25021","91002","72","39","2","8","25013","10","283001072","2"
"208","25021","91002","73","40","2","8","25013","10","283001073","2"
"212","25021","91002","74","40","2","8","25013","10","283001074","2"
"216","25021","91002","75","41","2","8","25013","10","283001075","2"
"220","25021","91002","76","41","2","8","25013","10","283001076","2"
"224","25021","91002","77","42","2","8","25013","10","283001077","2"
"228","25021","91002","78","42","2","8","25013","10","283001078","2"
"232","25021","91002","79","43","2","8","25013","10","283001079","2"
"236","25021","91002","80","43","2","8","25013","30","283001080","2"
"240","25021","91002","81","44","2","8","25013","10","283001081","2"
"244","25021","91002","82","44","2","8","25013","10","283001082","2"
"248","25021","91002","83","45","2","8","25013","10","283001083","2"
"252","25021","91002","84","45","2","8","25013","10","283001084","2"
"256","25021","91002","85","46","2","8","25013","10","283001085","2"
"260","25021","91002","86","46","2","8","25013","10","283001086","2"
"264","25021","91002","87","47","2","8","25013","10","283001087","2"
"268","25021","91002","88","47","2","8","25013","10","283001088","2"
"272","25021","91002","89","48","2","8","25013","10","283001089","2"
"276","25021","91002","90","48","2","8","25013","30","283001090","2"
