b2898be7d9e3c47bd8b8d6683756b02054fbdb5c0b35aa2b52f1f4f2de49093e,5cb40334186e56f7ff5fc106c96fe3f5451b96432cf3ff2400469ca38381b64d,4ba5e2dc814cc56e632c8e84220af2511485d3aa8d8b17bc407307a3b8589caf,9af4b61af3627a21e62076553067bbe17ef69fbb0f831bf34323c4750ef8b423,e126a9d643646b878e668f8747b1c312171324b6b1247404240e586dda6b25df,9bb832ca03063eb26270b5d69a04514fee86508e0806b76a62fbf7874fb17b40,b1a70fb00a0158402fbf19b596a0adef2a31ec75256168e8c3f5f057d053862d,5d673434faa77ccb8e42ef8955b8c85dbb0c281afdfdf1009e24937d1169347b,ea1dbf2d5105dc111e352a8b415471db0cb319683d389f9918f060dac4e33f6f,568c171e67e08fa78dd59304b9824bbb35cdcefa910fd341cea15d735fef4c42,654cac8b7bee418630a539545128c662f9a5d42c6e63db6519675bc03993a7b8
"1001","bgm_M199_juke","お兄ちゃん争奪！\nどっちのチョコがおいしいでSHOW","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","愛情たっぷりのチョコレートケー\nキを完成させよう！\n超キュートなタップゲーム！","","bgm_M199","2020-02-15 15:00:00","1002"
"1002","bgm_M227_juke","クウカ大回転\n飛行道中エクスタシー","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","大回転！クウカ！\n最高のエクスタシーここにあり！\n引っ張って飛ばす、空の旅！","","bgm_M227","2020-02-15 15:00:00","1003"
"1003","bgm_M249_juke","カオリのマブイ式空手道場","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","これぞ琉球魂！\n押し寄せるマジムンをなぎ倒す\n爽快アクションゲーム！","","bgm_M249","2020-02-15 15:00:00","1004"
"1004","bgm_M277_juke","大激戦！しりとりドラゴンズ","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","白熱バトル！\nドラゴンズネスト流\nタイマン式頭脳しりとり！","","bgm_M277","2020-02-15 15:00:00","1005"
"1005","bgm_M355_Lofi_juke","チュウチュウパニック！\nチーズお守り大作戦！","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","キミはチーズを守り抜けるか！？\n瞬発力が試される\n反射神経系カジュアルゲーム！","","bgm_M355_Lofi","2020-05-31 12:00:00","1006"
"1006","bgm_M399","猛訓打撃道！\nミサトのホームランドリル","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","目指せホームランバッター！\nミートタイミングがカギを握る\nスポーツアクションゲーム！","","bgm_M399","2020-08-15 15:00:00","1007"
"1007","bgm_M500","カルミナサマーライブ\nライブ会場 グッズエリア","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","カルミナファン大興奮！\nライブ応援グッズを手に入れて\n目指せ「カルミナ神推し」！","","bgm_M500","2021-08-31 12:00:00","1008"
"1008","bgm_M540","ミヤコ's キッチン　究極への道","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","レッツ・クッキング！\nミヤコとプリンを作って食べて\nプリンの道を極めよう！","","bgm_M540","2021-12-18 15:00:00","1009"
"1009","bgm_M569","Happy Anniv.スペシャル　\nランドソルクイズコネクト！","0","2022/02/28 11:59:59","2022/02/15 15:00:00","５人チームで力を合わせて多種多\n様なジャンルのクイズに挑戦！\n目指せ、クイズプリンセス！","ランドソルクイズコネクト！","bgm_M569","2022-02-15 15:00:00","1010"
"1010","bgm_M605","駆けろ常夏！\nアルティメットビーチフラッグス","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","砂浜駆けるプリンセス！\nハチャメチャなコースに挑む、\n南の島のビーチフラッグス！","","bgm_M605","2022-07-18 15:00:00","1011"
"1012","bgm_MC068","キャルとスズナの\n放課後クイズエデュケーション","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","めざせ全問正解！\nキャルとスズナと放課後の教室で\n二人きりのクイズ勉強会！","放課後クイズエデュケーション　{0}","bgm_MC068","2023-09-18 15:00:00","1012"
"1013","bgm_MC141","エリコとマコトの\n行軍（マーチ）A-Go-Go！","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","魔物はびこる街道を突き進め！\n【王宮騎士団(NIGHTMARE)】\nの兵たちを率い、訓練に挑戦だ！","行軍（マーチ）A-Go-Go！","bgm_MC141","2024-04-18 15:00:00","1013"
"1014","bgm_MC199_Battle","激突！破壊！\nイリーガルタンクウォー","10000","2030/12/31 15:00:00","2030/12/31 15:00:00","戦車バトル大会開幕！\n組み上げたオリジナルマシンで\n頂点を目指せ！","激突！破壊！\nイリーガルタンクウォー","bgm_MC199","2024-11-18 15:00:00","1014"
