052d51ae47eb8fa3645b4700d373caf358a35690c0a9c6f7e0c5173999b37016,5441a48b63d69e2fa1e93ab9d18e05eb10d3026c02efb200f3f3e2b8e58d3599,636da296c1fb87b18e40587417daa081559def53d2e04d2043710a386d9dc9b4,64a322c69fc48a00857081d5baf30b0f18ecca561be34346111af0b5b2cf78f7,771380c4e9bcb6f5151ab28af6ac50202fb3ace2a27df79738893326e4bdbd52,7eb9d66b6e666c55a37db25043eab943fc893f73588c0255987190fdd014b973,35ad921772b3e109f65724ac0161a2ee1d77d5e0df2ec8cb53e17a0c3cdd5ff9
"12","50000","累計スコアを2500pt 獲得しよう","2500","1","94002","5126700"
"12","50000","累計スコアを5000pt 獲得しよう","5000","1","94002","0"
"12","50000","累計スコアを7500pt 獲得しよう","7500","1","94002","0"
"7","1","累計スコアを10000pt 獲得しよう","10000","1","2839","5126701"
"12","80000","累計スコアを12500pt 獲得しよう","12500","1","94002","0"
"12","80000","累計スコアを15000pt 獲得しよう","15000","1","94002","0"
"12","80000","累計スコアを17500pt 獲得しよう","17500","1","94002","0"
"8","25","累計スコアを20000pt 獲得しよう","20000","1","91002","5126702"
"12","100000","累計スコアを22500pt 獲得しよう","22500","1","94002","0"
"12","100000","累計スコアを25000pt 獲得しよう","25000","1","94002","0"
"8","100","累計スコアを27500pt 獲得しよう","27500","1","91002","0"
"15","1","累計スコアを30000pt 獲得しよう","30000","1","11001262","5126703"
"12","50000","累計スコアを2500pt 獲得しよう","2500","2","94002","5126710"
"12","50000","累計スコアを5000pt 獲得しよう","5000","2","94002","0"
"12","50000","累計スコアを7500pt 獲得しよう","7500","2","94002","0"
"7","1","累計スコアを10000pt 獲得しよう","10000","2","2840","5126711"
"12","80000","累計スコアを12500pt 獲得しよう","12500","2","94002","0"
"12","80000","累計スコアを15000pt 獲得しよう","15000","2","94002","0"
"12","80000","累計スコアを17500pt 獲得しよう","17500","2","94002","0"
"8","25","累計スコアを20000pt 獲得しよう","20000","2","91002","5126712"
"12","100000","累計スコアを22500pt 獲得しよう","22500","2","94002","0"
"12","100000","累計スコアを25000pt 獲得しよう","25000","2","94002","0"
"8","100","累計スコアを27500pt 獲得しよう","27500","2","91002","0"
"15","1","累計スコアを30000pt 獲得しよう","30000","2","11001263","5126713"
