61e1e840a68c21f2a5f740f1900b2434963a27c47a9337094ab439ed61c5bc9e,9c3779504614153c20ec0c162a5781d7ab32105df199f750b60ce5cf23f06a70,5b9b78255043aca920cf88f06aab3a6f9f84c4ecf15daa9f28bc784e9fd5335e,ebdbbd879efe10adb727bb5464903a0e67f79a9693421b41b3bd249b94ba7218,01416bb2d8b8afc4beda1f0fe8b52e35591f3ec6be7d48f8438d9fddadc75bac,8224c164d20e9cc73af331a8e00c9c42054c60e6f6c4b1a23efad487736afd09,dec5b1ccf4e2ab3ea658a310597819c5e6987e7307c83d3524dcf9c6ae3fe511,08033f012858aa2896dff9f396c79e2603791a289209cd826fdfb32dea5bb8b2,bd1468dbd33a2500054fd558152b55746b5d7574fb8d02e643edf2a61efbc9ca,b262907e689cd9d088fe70e2796654c6b1b73a1dd946d55ebf91fb47b50e135f
"1000","vo_minigame_1013_icon_1_002_001","2","1","vo_minigame_1013_icon_2_002_001","訓練はまだ\nここからですわ","2","3000","調子が上がって\nきたなっ","2"
"5000","vo_minigame_1013_icon_1_003_001","2","2","vo_minigame_1013_icon_2_003_001","クスクス、悪くない\n流れですわね","2","3000","ほらほら、\nまだいけるだろ？","2"
"10000","vo_minigame_1013_icon_1_004_001","2","3","vo_minigame_1013_icon_2_004_001","すばらしい\n記録ですわ","3","3000","へへっ、おまえら\nやるじゃねえか！","2"
"10000","vo_minigame_1013_icon_1_005_001","2","4","vo_minigame_1013_icon_2_005_001","乗りに乗って\nいますわね","3","3000","あたしたちはまだ\n止まらねえぜ！","3"
"10000","vo_minigame_1013_icon_1_005_002","2","5","vo_minigame_1013_icon_2_005_002","まだまだ行きます\nついてきなさい","3","3000","見てろよ！\nマコト班の快進撃だ！","3"
"10000","vo_minigame_1013_icon_1_005_003","2","6","vo_minigame_1013_icon_2_005_003","エリコ班の\n本領発揮ですわ！","3","3000","うおぉぉっ！\n絶好調だぜ！","3"
"0","vo_minigame_1013_icon_1_006_001","2","7","vo_minigame_1013_icon_2_006_001","ここからは\n前人未到の領域です！","3","3000","どこまで行けるか\n楽しみだなっ！","4"
"1","vo_minigame_1013_icon_1_007_001","3","8","vo_minigame_1013_icon_2_007_001","厄介でしたわ…","4","1000","まだ諦めんなよっ","5"
"1","vo_minigame_1013_icon_1_007_002","3","9","vo_minigame_1013_icon_2_007_002","油断大敵です","4","1000","冷やっとしたぜ…！","5"
"1","vo_minigame_1013_icon_1_007_003","3","10","vo_minigame_1013_icon_2_007_003","忌々しいっ…","4","1000","弱音を吐くなっ","5"
"99","vo_minigame_1013_icon_1_008_001","4","11","vo_minigame_1013_icon_2_008_001","大所帯ですわね","3","1500","マコト班集合！","6"
"99","vo_minigame_1013_icon_1_008_002","4","12","vo_minigame_1013_icon_2_008_002","エリコ班へようこそ","3","1500","連携してくぞ！","6"
"0","vo_minigame_1013_icon_1_020_001","1","13","vo_minigame_1013_icon_2_020_001","ナナカちゃんに\nお任せあれ","6","3000","みんなに力を！","8"
"0","vo_minigame_1013_icon_1_022_001","1","14","vo_minigame_1013_icon_2_022_001","はっはっは！\n任せろ！","7","3000","任せてくれたまえ","9"
"0","vo_minigame_1013_icon_1_023_001","1","15","vo_minigame_1013_icon_2_023_001","どんどんいくわよ","8","3000","ほな、いきまひょか","10"
