23fb19e240c841967f76a9d98cab3052bfc9136eb4ee7830c1e5e8acd00a8f01,9732ac565c0534f6a413f9cd9d494fa28ede464768c6f240c216cc659cb0bbd9,95abb492cf93f9dc7cd18ac86620eae252656ad81ecafbcff19edadd037fdde9,64ce67020eef33f05c6230f8278fbf13d61837e4389e016febc02eea8885d7f5,c1917aad784a585621ad424f4186ee4f53004bb2fa80486530e4c015695c4974
"エルピス討魔戦線","25201","2520101","-1","137"
"ストーリーイベント","25201","2520102","1","6111"
"復刻ストーリーイベント","25201","2520104","3","7001"
"クランバトル","25201","2520105","4","107"
"深淵討伐戦","25201","2520106","5","132"
"黎明界ラビリンス","25201","2520107","6","136"
"マスターショップ","25201","2520108","7","210"
"エルピス討魔戦線","25202","2520201","-1","137"
"ストーリーイベント","25202","2520202","1","6111"
"復刻ストーリーイベント","25202","2520204","3","7001"
"クランバトル","25202","2520205","4","107"
"深淵討伐戦","25202","2520206","5","132"
"黎明界ラビリンス","25202","2520207","6","136"
"マスターショップ","25202","2520208","7","210"
"エルピス討魔戦線","25203","2520301","-1","137"
"ストーリーイベント","25203","2520302","1","6111"
"復刻ストーリーイベント","25203","2520304","3","7001"
"クランバトル","25203","2520305","4","107"
"深淵討伐戦","25203","2520306","5","132"
"黎明界ラビリンス","25203","2520307","6","136"
"マスターショップ","25203","2520308","7","210"
"エルピス討魔戦線","25204","2520401","-1","137"
"ストーリーイベント","25204","2520402","1","6111"
"復刻ストーリーイベント","25204","2520404","3","7001"
"クランバトル","25204","2520405","4","107"
"深淵討伐戦","25204","2520406","5","132"
"黎明界ラビリンス","25204","2520407","6","136"
"マスターショップ","25204","2520408","7","210"
"エルピス討魔戦線","25205","2520501","-1","137"
"ストーリーイベント","25205","2520502","1","6111"
"復刻ストーリーイベント","25205","2520504","3","7001"
"クランバトル","25205","2520505","4","107"
"深淵討伐戦","25205","2520506","5","132"
"黎明界ラビリンス","25205","2520507","6","136"
"マスターショップ","25205","2520508","7","210"
"エルピス討魔戦線","25206","2520601","-1","137"
"ストーリーイベント","25206","2520602","1","6111"
"復刻ストーリーイベント","25206","2520604","3","7001"
"クランバトル","25206","2520605","4","107"
"深淵討伐戦","25206","2520606","5","132"
"黎明界ラビリンス","25206","2520607","6","136"
"マスターショップ","25206","2520608","7","210"
"マスターショップ","140001","14000101","1","210"
"コネクトショップ","140001","14000102","2","216"
"マスターショップ","150001","15000101","1","210"
"コネクトショップ","150001","15000102","2","216"
"マスターショップ","150002","15000201","1","210"
"コネクトショップ","150002","15000202","2","216"
"マスターショップ","150003","15000301","1","210"
"コネクトショップ","150003","15000302","2","216"
"マスターショップ","150004","15000401","1","210"
"コネクトショップ","150004","15000402","2","216"
"マスターショップ","150005","15000501","1","210"
"コネクトショップ","150005","15000502","2","216"
"マスターショップ","150006","15000601","1","210"
"コネクトショップ","150006","15000602","2","216"
"マスターショップ","150007","15000701","1","210"
"コネクトショップ","150007","15000702","2","216"
"マスターショップ","150008","15000801","1","210"
"コネクトショップ","150008","15000802","2","216"
"マスターショップ","150009","15000901","1","210"
"コネクトショップ","150009","15000902","2","216"
"マスターショップ","150010","15001001","1","210"
"コネクトショップ","150010","15001002","2","216"
