6d48d4f0958626ce569acbba6146d3ac30de8ba1cd06d594bc56c6db32cec256,22e8e68f3ca84c0956f4f710f61cc45768d4185c35a635278fce5331b6897ba7,19b1753e4f541a1918719adf8a1a7ce57ea84af42672afb92e8a2df190ae9ce1,64ce78c9cb7aee72720bc098388fb8e43df9a69959730106ac1b136901fc4192,bab3322566d603728b2e3e91edb33ebf01dfb1bdef221de568eb34af84e79d05,5b293b4b3948ed8827f82f30a82c4995cccc21c8772e6195828d39dd00429a70,3e5cb6dfcfea0105f6b5fff7858965b8d5660e382b903ae9c60980ce668bcce7,83e9f941438cf738a5b984a9d6ab4041eb650d36da6375bb16bd24dff5a06a02,87480c1e344ba56a92b2ccd46215d8268b50b6d88c01fef607264c9427b84917,cf2c151f0a4a803149f7af1960a7af7fdf9527d7eb57a8028a21e7c308fdd3d9,2c9507bb83bbe7eaf58bc959caa8ba62b4e5d7e9d04296db2b049223707f738e
"1010010001","","","se_travel_finish_assemble","23","1001","se_travel","","0","",""
"1010010002","-160","0","1000001","1","1001","1","travel_exdrama_r_100_run","1","-275","1.46"
"1010010003","-200","0","1000002","1","1001","1","travel_exdrama_r_100_run","2","-575","1.46"
"1010010004","-250","0","1000003","1","1001","1","travel_exdrama_r_100_run","3","-750","1.46"
"1010010005","-175","1","1000004","1","1001","1","travel_exdrama_r_100_run","4","575","1.46"
"1010010006","-250","1","1000005","1","1001","1","travel_exdrama_r_100_run","5","750","1.46"
"1010010007","0","","-100","2","1001","1000001","","-160","1",""
"1010010008","0","","-275","2","1001","1000002","","-200","1",""
"1010010009","0","","-450","2","1001","1000003","","-250","1",""
"1010010010","0","","275","2","1001","1000004","","-175","1",""
"1010010011","0","","450","2","1001","1000005","","-250","1",""
"1010010012","0","","0","93","1001","1","","0","0",""
"1010010013","0","0","travel_exdrama_r_100_raiseup","3","1001","1000001","","0","","0.2"
"1010010014","0","0","travel_exdrama_r_100_idle","3","1001","1000002","","1","","0"
"1010010015","0","0","travel_exdrama_r_100_idle","3","1001","1000003","","1","","0"
"1010010016","0","0","travel_exdrama_r_100_idle","3","1001","1000004","","1","","0"
"1010010017","0","0","travel_exdrama_r_100_idle","3","1001","1000005","","1","","0"
"1010010018","-160","0","1","5","1001","1","travel_exdrama_r_100_raiseup","11","-100","1.46"
"1010010019","","","0","93","1001","1","","","",""
"1010010020","0","","","6","1001","1000001","","","","0.12"
"1010010021","0","","","6","1001","1000002","","","","0.12"
"1010010022","0","","","6","1001","1000003","","","","0.12"
"1010010023","0","","","6","1001","1000004","","","","0.12"
"1010010024","0","","","6","1001","1000005","","","","0.12"
"1010010025","0","","","6","1001","1","","","","0.12"
"1010010026","","","0","93","1001","0.12","","","",""
"1010010027","","","","91","1001","0","","","",""
"1010020001","","","se_travel_finish_assemble","23","1002","se_travel","","0","",""
"1010020002","-160","0","1000001","1","1002","1","travel_exdrama_r_100_run","1","-275","1.46"
"1010020003","-200","0","1000002","1","1002","1","travel_exdrama_r_100_run","2","-575","1.46"
"1010020004","-250","0","1000003","1","1002","1","travel_exdrama_r_100_run","3","-750","1.46"
"1010020005","-175","1","1000004","1","1002","1","travel_exdrama_r_100_run","4","575","1.46"
"1010020006","-250","1","1000005","1","1002","1","travel_exdrama_r_100_run","5","750","1.46"
"1010020007","1","","10000","31","1002","10000","","-40","20","0"
"1010020008","0","","-100","2","1002","1000001","","-160","1",""
"1010020009","0","","-275","2","1002","1000002","","-200","1",""
"1010020010","0","","-450","2","1002","1000003","","-250","1",""
"1010020011","0","","275","2","1002","1000004","","-175","1",""
"1010020012","0","","450","2","1002","1000005","","-250","1",""
"1010020013","0","","0","93","1002","1","","0","0",""
"1010020014","0","0","travel_exdrama_r_100_raiseup","3","1002","1000001","","0","","0.2"
"1010020015","0","0","travel_exdrama_r_100_idle","3","1002","1000002","","1","","0"
"1010020016","0","0","travel_exdrama_r_100_idle","3","1002","1000003","","1","","0"
"1010020017","0","0","travel_exdrama_r_100_idle","3","1002","1000004","","1","","0"
"1010020018","0","0","travel_exdrama_r_100_idle","3","1002","1000005","","1","","0"
