88045f53fe84908a616950355a0edade98c8f725819891f93cc52461440a7b2e,cc062fa79b519e61da789223f9c9caca252dc9d403464c340197d7771c495451,82cb165f7ab552a03275e8c8d75edb465c7454f87ebaee7802025ebe40d2539e,235c280cbdce64629c7029dc9a6c71216c74d7cd717aa62f840c9fde766e40d5,630a8187ec2a397e885c3958acb1042698441ce5676a1814c5b0b2730360ed0c,ab47d6e5a962ffe8370529622347fb0a6a2cd94c03afef3fa9f3aa2918149246,6eebab596afb4d6345410c3538951410a80ba34161ae1cb20ccffb87a9a00b36,ee05b3b79279e419c124ab759000359255699a0dc7f3854bc4c2a22305d05d7b,ca0164767276731ea727f8010a82648db7c2542b10dcdf7246a268a6eca250db,ffb37de677958a4b6474ab1332dd13b2dc7b1d673f459e7e0a3369b3c2b98ab8,5f3743b65adde7defbe1f7f7e6dfb39b471533cff29d936a9b79eb337a41dc58
"","","se_travel_start_1pt","0","","111","101110001","","","23","se_travel"
"0","1","10010","0","1","111","101110002","","","31","10010"
"0","1","10011","0","1","111","101110003","","","31","10011"
"0","0","10020","0","1","111","101110004","","","31","10020"
"-150","0.68","1001001","62","-150","111","101110005","<weapon>_idle","0","1","2"
"-250","0.68","1001002","61","-75","111","101110006","<weapon>_idle","0","1","2"
"-350","0.68","1001003","63","-180","111","101110007","<weapon>_idle","0","1","2"
"-450","0.68","1001004","61","-75","111","101110008","<weapon>_idle","0","1","2"
"-550","0.68","1001005","62","-150","111","101110009","<weapon>_idle","0","1","2"
"-150","1","1001001","-150","0.68","111","101110010","","0","31","10012"
"-75","1","1001002","-250","0.68","111","101110011","","0","31","10012"
"-180","1","1001003","-350","0.68","111","101110012","","0","31","10012"
"-75","1","1001004","-450","0.68","111","101110013","","0","31","10012"
"-150","1","1001005","-550","0.68","111","101110014","","0","31","10012"
"0","0","10030","0","1","111","101110015","","","31","10030"
"0","0","10031","0","1","111","101110016","","","31","10031"
"","","0","","","111","101110017","","","91",""
"","","1","","","111","101110018","","","32","10030"
"","","0","","","111","101110019","","","91","0"
"","0","<weapon>_run","1","0","111","101110020","","","3","1001001"
"","0","<weapon>_run","1","0","111","101110021","","","3","1001002"
"","0","<weapon>_run","1","0","111","101110022","","","3","1001003"
"","0","<weapon>_run","1","0","111","101110023","","","3","1001004"
"","0","<weapon>_run","1","0","111","101110024","","","3","1001005"
"3","","800","-150","0","111","101110025","","","2","1001001"
"3","","700","-75","0","111","101110026","","","2","1001002"
"3","","600","-180","0","111","101110027","","","2","1001003"
"3","","500","-75","0","111","101110028","","","2","1001004"
"3","","400","-150","0","111","101110029","","","2","1001005"
"3","","800","-150","0","111","101110030","","","33","1001001"
"3","","700","-75","0","111","101110031","","","33","1001002"
"3","","600","-180","0","111","101110032","","","33","1001003"
"3","","500","-75","0","111","101110033","","","33","1001004"
"3","","400","-150","0","111","101110034","","","33","1001005"
"","","1","","","111","101110035","","","32","10020"
"","","0","","","111","101110036","","","93","2.5"
"","","1","","","111","101110037","","","32","10031"
"","","0","","","111","101110038","","","93","0.4"
"","","0","","","111","101110039","","","91","0"
"","","se_travel_start_2pt","0","","211","102110001","","","23","se_travel"
"0","1","10010","0","1","211","102110002","","","31","10010"
"0","1","10011","0","1","211","102110003","","","31","10011"
"0","0","10020","0","1","211","102110004","","","31","10020"
"-100","0.68","1001001","62","-90","211","102110005","<weapon>_idle","0","1","2"
"-170","0.68","1001002","61","-15","211","102110006","<weapon>_idle","0","1","2"
"-240","0.68","1001003","63","-105","211","102110007","<weapon>_idle","0","1","2"
"-310","0.68","1001004","61","-15","211","102110008","<weapon>_idle","0","1","2"
"-380","0.68","1001005","62","-90","211","102110009","<weapon>_idle","0","1","2"
"-90","1","1001001","-100","0.68","211","102110010","","0","31","10012"
"-15","1","1001002","-170","0.68","211","102110011","","0","31","10012"
"-105","1","1001003","-240","0.68","211","102110012","","0","31","10012"
"-15","1","1001004","-310","0.68","211","102110013","","0","31","10012"
"-90","1","1001005","-380","0.68","211","102110014","","0","31","10012"
"-500","0.68","1002001","52","-240","211","102110015","<weapon>_idle","0","1","2"
"-570","0.68","1002002","51","-165","211","102110016","<weapon>_idle","0","1","2"
"-640","0.68","1002003","53","-255","211","102110017","<weapon>_idle","0","1","2"
"-710","0.68","1002004","51","-165","211","102110018","<weapon>_idle","0","1","2"
"-780","0.68","1002005","52","-240","211","102110019","<weapon>_idle","0","1","2"
"-240","1","1002001","-500","0.68","211","102110020","","0","31","10012"
"-165","1","1002002","-570","0.68","211","102110021","","0","31","10012"
"-255","1","1002003","-640","0.68","211","102110022","","0","31","10012"
"-165","1","1002004","-710","0.68","211","102110023","","0","31","10012"
"-240","1","1002005","-780","0.68","211","102110024","","0","31","10012"
"0","0","10030","0","1","211","102110025","","","31","10030"
"0","0","10031","0","1","211","102110026","","","31","10031"
"","","0","","","211","102110027","","","91",""
"","","1","","","211","102110028","","","32","10030"
"","","0","","","211","102110029","","","91","0"
"","0","<weapon>_run","1","0","211","102110030","","","3","1001001"
"","0","<weapon>_run","1","0","211","102110031","","","3","1001002"
"","0","<weapon>_run","1","0","211","102110032","","","3","1001003"
"","0","<weapon>_run","1","0","211","102110033","","","3","1001004"
"","0","<weapon>_run","1","0","211","102110034","","","3","1001005"
"3","","850","-90","0","211","102110035","","","2","1001001"
"3","","780","-15","0","211","102110036","","","2","1001002"
"3","","710","-105","0","211","102110037","","","2","1001003"
"3","","640","-15","0","211","102110038","","","2","1001004"
"3","","570","-90","0","211","102110039","","","2","1001005"
"3","","850","-90","0","211","102110040","","","33","1001001"
"3","","780","-15","0","211","102110041","","","33","1001002"
"3","","710","-105","0","211","102110042","","","33","1001003"
"3","","640","-15","0","211","102110043","","","33","1001004"
"3","","570","-90","0","211","102110044","","","33","1001005"
"","0","<weapon>_run","1","0","211","102110045","","","3","1002001"
"","0","<weapon>_run","1","0","211","102110046","","","3","1002002"
"","0","<weapon>_run","1","0","211","102110047","","","3","1002003"
"","0","<weapon>_run","1","0","211","102110048","","","3","1002004"
"","0","<weapon>_run","1","0","211","102110049","","","3","1002005"
"3","","450","-240","0","211","102110050","","","2","1002001"
"3","","380","-165","0","211","102110051","","","2","1002002"
"3","","310","-255","0","211","102110052","","","2","1002003"
"3","","240","-165","0","211","102110053","","","2","1002004"
"3","","170","-240","0","211","102110054","","","2","1002005"
"3","","450","-240","0","211","102110055","","","33","1002001"
"3","","380","-165","0","211","102110056","","","33","1002002"
"3","","310","-255","0","211","102110057","","","33","1002003"
"3","","240","-165","0","211","102110058","","","33","1002004"
"3","","170","-240","0","211","102110059","","","33","1002005"
"","","1","","","211","102110060","","","32","10020"
"","","0","","","211","102110061","","","93","2.5"
