339438a5f85460668789ea0fd2b704db1590ea61c99c8576e39a62cb10e1215f,4b3ea10ffd4fcbab691b2f0dbcd44a7ac5c792b5dfcae18aa2c3cdc380f8cd3d,9f9e2347f5983da850efcce49b004067a7b6888e3e9deb8a8c238e4536036989
"1","物理","icon_unit_sort_physics"
"2","魔法","icon_unit_sort_magic"
"100","アタッカー","icon_unit_role_001"
"101","ブレイカー","icon_unit_role_002"
"102","バッファー","icon_unit_role_003"
"103","デバッファー","icon_unit_role_004"
"104","ブースター","icon_unit_role_005"
"105","ヒーラー","icon_unit_role_006"
"106","タンク","icon_unit_role_007"
"107","ジャマー","icon_unit_role_008"
"200","単体","icon_unit_sort_single_attack"
"201","範囲","icon_unit_sort_range_attack"
"203","継続ダメージ","icon_unit_sort_slip_attack"
"301","物攻ダウン","icon_status_13"
"302","魔攻ダウン","icon_status_15"
"311","物防ダウン","icon_status_14"
"312","魔防ダウン","icon_status_16"
"321","速度ダウン","icon_status_22"
"331","ＴＰ上昇ダウン","icon_status_19"
"332","ＴＰダウン","icon_status_19"
"401","物理無効","icon_status_24"
"402","魔法無効","icon_status_25"
"403","物理吸収","icon_status_26"
"404","魔法吸収","icon_status_27"
"405","物理魔法無効","icon_status_28"
"406","物理魔法吸収","icon_status_29"
"501","物攻アップ","icon_status_01"
"502","魔攻アップ","icon_status_03"
"511","物防アップ","icon_status_02"
"512","魔防アップ","icon_status_04"
"521","速度アップ","icon_status_09"
"522","加算速度アップ","icon_status_152"
"531","物クリアップ","icon_status_06"
"532","魔クリアップ","icon_status_06"
"533","物クリダメアップ","icon_status_67"
"534","魔クリダメアップ","icon_status_69"
"541","ＴＰ上昇アップ","icon_status_07"
"700","前衛","common_unit_icon_front"
"701","中衛","common_unit_icon_middle"
"702","後衛","common_unit_icon_back"
"800","ＨＰ回復","icon_status_08"
"801","ＴＰ回復","icon_status_07"
"802","継続ＨＰ回復","icon_status_08"
"803","継続ＴＰ回復","icon_status_07"
"901","行動不能","icon_status_43"
"902","魅了・混乱","icon_status_36"
"903","挑発","icon_status_37"
"904","飛行","icon_status_132"
"905","調和","icon_status_203"
"906","ダメージカット","icon_status_75"
"907","行動不能無効","icon_status_129"
"10001","タンク",""
"10002","前衛",""
"10003","中衛",""
"10004","後衛",""
"10005","物理攻撃",""
"10006","魔法攻撃",""
"10007","範囲攻撃",""
"10008","継続ダメージ",""
"10009","物防ダウン",""
"10010","魔防ダウン",""
"10011","物攻ダウン",""
"10012","魔攻ダウン",""
"10013","物防アップ",""
"10014","魔防アップ",""
"10015","TPダウン",""
"10016","回復",""
"10017","バリア",""
"10018","挑発",""
"10019","行動不能",""
