d8f92e0919f47f3cf990649eb0491873662dd0bea0c15c15eb7d2059eb9e6641,befa9fcd843416e5d2fc9c048610d38bf76bf14e2455f28fbeca97afdf0fb1be,588e88a763abc404e08d5c37dfc047e50dca678e1af44d4bd4707e81c7b94bae,973066e07089532fda5f661bf6e66b69cd4c97d91697802a4f8d071e7d511637,8c33f1b9f204ea8b45e8b7ebdb6ed4b79326350547df2ad8e9111bd6e246a0ba,2d297b6804fb8d1766d27d4677ba264b0a06eb6c1b7c53dee5eddc359ea332a5,bf061e2c02ba74a52019208a11cf226e8fd905c7f275c8c149be09551a3de176,fe82dce5bf557167da7d22dbf324fb444f56eeee2e658d919ab8b077bf756c8d,172e1102527aefcd82f5778fbd2df5c66c3d2c13778ff5fbb2a0eb8d3d518489
"0","320010106","1","43.5","1","1","0.7","502001102","11"
"0","320010106","2","13","2","3","0.65","502001103","67"
"0","320010106","3","-74","3","2","0.65","0","49"
"0","320010107","1","-49","4","1","0.7","502001108","13"
"0","320010107","2","-4","5","3","0.85","502001109","62"
"0","320010107","3","59","6","2","0.65","0","50"
"0","320010108","1","0","7","1","1.05","0","-10"
"0","320010109","1","-15","8","1","1.05","0","-10"
"0","320010110","1","-85","9","1","0.43","0","-45"
"0","320010110","2","85","10","2","0.43","0","-45"
"0","320010206","1","43.5","11","1","0.7","502001202","11"
"0","320010206","2","13","12","3","0.65","502001203","67"
"0","320010206","3","-74","13","2","0.65","0","49"
"0","320010207","1","-49","14","1","0.7","502001208","13"
"0","320010207","2","-4","15","3","0.85","502001209","62"
"0","320010207","3","59","16","2","0.65","0","50"
"0","320010208","1","0","17","1","1.05","0","-10"
"0","320010209","1","-15","18","1","1.05","0","-10"
"0","320010210","1","-85","19","1","0.43","0","-45"
"0","320010210","2","85","20","2","0.43","0","-45"
"0","320010306","1","43.5","21","1","0.7","502001302","11"
"0","320010306","2","13","22","3","0.65","502001303","67"
"0","320010306","3","-74","23","2","0.65","0","49"
"0","320010307","1","-49","24","1","0.7","502001308","13"
"0","320010307","2","-4","25","3","0.85","502001309","62"
"0","320010307","3","59","26","2","0.65","0","50"
"0","320010308","1","0","27","1","1.05","0","-10"
"0","320010309","1","-15","28","1","1.05","0","-10"
"0","320010310","1","-85","29","1","0.43","0","-45"
"0","320010310","2","85","30","2","0.43","0","-45"
"0","320010406","1","43.5","31","1","0.7","502001402","11"
"0","320010406","2","13","32","3","0.65","502001403","67"
"0","320010406","3","-74","33","2","0.65","0","49"
"0","320010407","1","-49","34","1","0.7","502001408","13"
"0","320010407","2","-4","35","3","0.85","502001409","62"
"0","320010407","3","59","36","2","0.65","0","50"
"0","320010408","1","0","37","1","1.05","0","-10"
"0","320010409","1","-15","38","1","1.05","0","-10"
"0","320010410","1","-85","39","1","0.43","0","-45"
"0","320010410","2","85","40","2","0.43","0","-45"
"0","320010506","1","43.5","41","1","0.7","502001502","11"
"0","320010506","2","13","42","3","0.65","502001503","67"
"0","320010506","3","-74","43","2","0.65","0","49"
"0","320010507","1","-49","44","1","0.7","502001508","13"
"0","320010507","2","-4","45","3","0.85","502001509","62"
"0","320010507","3","59","46","2","0.65","0","50"
"0","320010508","1","0","47","1","1.05","0","-10"
"0","320010509","1","-15","48","1","1.05","0","-10"
"0","320010510","1","-85","49","1","0.43","0","-45"
"0","320010510","2","85","50","2","0.43","0","-45"
"0","320020106","1","43.5","51","1","0.7","502002102","11"
"0","320020106","2","13","52","3","0.65","502002103","67"
"0","320020106","3","-74","53","2","0.65","0","49"
"0","320020107","1","-49","54","1","0.7","502002108","13"
"0","320020107","2","-4","55","3","0.85","502002109","62"
"0","320020107","3","59","56","2","0.65","0","50"
"0","320020108","1","0","57","1","1.05","0","-10"
"0","320020109","1","-15","58","1","1.05","0","-10"
"0","320020110","1","-85","59","1","0.43","0","-45"
"0","320020110","2","85","60","2","0.43","0","-45"
"0","320020206","1","43.5","61","1","0.7","502002202","11"
"0","320020206","2","13","62","3","0.65","502002203","67"
"0","320020206","3","-74","63","2","0.65","0","49"
"0","320020207","1","-49","64","1","0.7","502002208","13"
"0","320020207","2","-4","65","3","0.85","502002209","62"
"0","320020207","3","59","66","2","0.65","0","50"
"0","320020208","1","0","67","1","1.05","0","-10"
"0","320020209","1","-15","68","1","1.05","0","-10"
"0","320020210","1","-85","69","1","0.43","0","-45"
"0","320020210","2","85","70","2","0.43","0","-45"
"0","320020306","1","43.5","71","1","0.7","502002302","11"
"0","320020306","2","13","72","3","0.65","502002303","67"
"0","320020306","3","-74","73","2","0.65","0","49"
"0","320020307","1","-49","74","1","0.7","502002308","13"
"0","320020307","2","-4","75","3","0.85","502002309","62"
"0","320020307","3","59","76","2","0.65","0","50"
