1b66bf17a99ab41242dd766c5567c51d6250159aef74ab290e71de2087768d42,bf0867dcf8b455e579d8d19b7c678c6ad7675b838c81bf7740f54aecab60b086,6524713883f44bc03ed1092dfd4d5ec15acae4a306edd3505d3db2a0cd64325d,64ca6950cddfc372ceb0a8af28ff2708e8e59cb57604f523abdb78ba424a0502,e60baca14629de92d5239b581fe397d323b628b812afc102111494278a163ad0
"1","1025","1048","1037","1045"
"2","1003","1004","1062","1006"
"3","1003","1007","1029","1006"
"4","1047","1045","1025","1062"
"5","1043","1013","1003","1022"
"6","1006","1004","1048","1019"
"7","1062","1033","1037","1003"
"8","1056","1053","1050","1059"
"9","1001","1011","1030","1034"
"10","1063","1023","1046","1026"
"11","1020","1038","1014","1044"
"12","1017","1049","1008","1040"
"13","1023","1044","1017","1020"
"14","1017","1038","1001","1020"
"15","1030","1048","1036","1008"
"16","1044","1038","1004","1011"
"17","1043","1011","1005","1022"
"18","1046","1016","1042","1047"
"19","1014","1028","1041","1063"
"20","1052","1055","1061","1058"
"21","1025","1001","1031","1024"
"22","1024","1063","1064","1005"
"23","1040","1000","1066","1044"
"24","1000","1038","1076","1010"
"25","1003","1019","1077","1043"
"26","1070","1069","1071","1068"
"27","1092","1091","1089","1090"
"28","1098","1100","1097","1099"
"29","1102","1104","1101","1103"
"30","1106","1108","1105","1107"
"31","1012","1006","1083","1021"
"32","1087","1085","1086","1084"
"33","1094","1095","1093","1096"
