863ea5b836414c9aa7549aa4cbec8897fd18a5b8aa54361a55ce58ac346c8133,72218073089c4fe88e0880cb925507d25225760bc85b618573e3d841d4935f80,4555b9785ef492999688d848dd26b045fb341fb8c2280498929e180384a0e67c,42e4ab4369fcf3172eef7416b1bddfb1c05d81eebd65e00e7fe6fcf99dbc5786,fe1702cf947caba63afdc7ed47fda009412293a933de22cdf15b8102bc7044ea
"26","1","41","1","1"
"101","1","41","2","2"
"61","1","61","3","3"
"82","1","50","4","4"
"21","1","41","5","5"
"108","1","41","6","6"
"79","1","55","7","7"
"57","1","68","8","8"
"28","1","44","9","9"
"97","1","44","10","10"
"47","1","55","11","11"
"68","1","67","12","12"
"10","1","38","13","13"
"119","1","38","14","14"
"90","1","52","15","15"
"28","1","65","16","16"
"25","1","40","17","17"
"101","1","40","18","18"
"65","1","58","19","19"
"36","1","64","20","20"
"25","1","41","21","21"
"86","1","41","22","22"
"40","1","60","23","23"
"16","1","40","24","24"
"115","1","40","25","25"
"28","1","63","26","26"
"28","1","41","27","27"
"96","1","41","28","28"
"70","1","55","29","29"
"33","1","41","30","30"
"83","1","41","31","31"
"57","1","68","32","32"
"36","1","37","33","33"
"82","1","37","34","34"
"82","1","58","35","35"
"27","1","38","36","36"
"102","1","38","37","37"
"39","1","52","38","38"
"62","1","65","39","39"
"28","1","38","40","40"
"93","1","38","41","41"
"54","1","56","42","42"
"28","1","63","43","43"
"39","1","40","44","44"
"115","1","40","45","45"
"21","1","55","46","46"
"60","1","66","47","47"
"15","1","38","48","48"
"76","1","38","49","49"
"58","1","53","50","50"
"36","1","61","51","51"
"28","1","38","52","52"
"89","1","38","53","53"
"23","1","56","54","54"
"67","1","66","55","55"
"31","2","40","56","56"
"89","2","40","57","57"
"42","2","67","58","58"
"61","2","55","59","59"
"21","2","40","60","60"
"93","2","40","61","61"
"61","2","57","62","62"
"44","2","68","63","63"
"21","2","43","64","64"
"101","2","43","65","65"
"56","2","57","66","66"
"108","2","75","67","67"
"30","2","37","68","68"
"83","2","37","69","69"
"39","2","53","70","70"
"24","2","67","71","71"
"25","2","38","72","72"
"91","2","38","73","73"
"83","2","65","74","74"
"65","2","55","75","75"
"21","2","39","76","76"
"93","2","39","77","77"
"26","2","62","78","78"
"107","2","72","79","79"
"36","2","38","80","80"
"86","2","38","81","81"
"50","2","55","82","82"
"25","2","62","83","83"
"24","2","40","84","84"
"86","2","40","85","85"
"46","2","65","86","86"
"69","2","58","87","87"
"24","2","43","88","88"
"99","2","43","89","89"
"24","2","62","90","90"
"107","2","72","91","91"
"21","2","43","92","92"
"104","2","43","93","93"
"46","2","67","94","94"
"69","2","55","95","95"
"28","2","40","96","96"
"86","2","40","97","97"
"43","2","65","98","98"
"21","2","44","99","99"
"98","2","44","100","100"
"54","2","65","101","101"
"36","2","38","102","102"
"83","2","38","103","103"
"93","2","58","104","104"
"17","2","43","105","105"
"98","2","43","106","106"
"28","2","61","107","107"
"36","2","37","108","108"
"86","2","37","109","109"
"72","2","65","110","110"
"26","3","44","111","111"
"102","3","44","112","112"
"50","3","91","113","113"
"88","3","78","114","114"
"43","3","35","115","115"
"86","3","35","116","116"
"43","3","85","117","117"
"53","3","66","118","118"
"28","3","47","119","119"
"101","3","47","120","120"
"46","3","66","121","121"
"79","3","85","122","122"
"39","3","37","123","123"
"91","3","37","124","124"
"57","3","78","125","125"
"71","3","60","126","126"
"36","3","37","127","127"
"93","3","37","128","128"
"39","3","62","129","129"
"50","3","88","130","130"
"65","3","106","131","131"
"39","3","35","132","132"
"91","3","35","133","133"
"65","3","86","134","134"
"41","3","57","135","135"
"93","3","70","136","136"
"65","3","106","137","137"
"30","3","41","138","138"
"99","3","41","139","139"
"78","3","91","140","140"
"57","3","60","141","141"
"37","3","72","142","142"
"65","3","106","143","143"
"36","3","41","144","144"
"93","3","41","145","145"
"57","3","57","146","146"
"39","3","75","147","147"
"86","3","85","148","148"
"65","3","106","149","149"
"39","3","38","150","150"
"91","3","38","151","151"
"48","3","88","152","152"
"67","3","63","153","153"
"83","3","81","154","154"
"65","3","106","155","155"
"39","3","35","156","156"
"91","3","35","157","157"
"92","3","72","158","158"
"43","3","57","159","159"
"46","3","88","160","160"
"39","3","35","161","161"
"90","3","35","162","162"
"46","3","60","163","163"
"79","3","91","164","164"
"41","3","33","165","165"
"88","3","33","166","166"
"43","3","85","167","167"
"83","3","60","168","168"
"36","3","36","169","169"
"93","3","36","170","170"
"83","3","86","171","171"
"50","3","60","172","172"
"28","3","42","173","173"
"101","3","42","174","174"
"50","3","88","175","175"
"75","3","66","176","176"
"32","3","38","177","177"
"97","3","38","178","178"
"93","3","63","179","179"
"43","3","86","180","180"
"24","4","40","181","181"
"107","4","40","182","182"
"87","4","61","183","183"
"54","4","86","184","184"
"35","4","40","185","185"
"94","4","40","186","186"
"42","4","65","187","187"
"71","4","86","188","188"
"28","4","41","189","189"
"101","4","41","190","190"
"55","4","65","191","191"
"61","4","86","192","192"
"26","4","43","193","193"
"107","4","43","194","194"
"61","4","86","195","195"
"71","4","68","196","196"
"35","4","46","197","197"
"94","4","46","198","198"
"82","4","71","199","199"
"59","4","91","200","200"
"58","4","102","201","201"
"26","4","41","202","202"
"104","4","41","203","203"
"48","4","60","204","204"
"71","4","80","205","205"
"58","4","102","206","206"
"35","4","40","207","207"
"94","4","40","208","208"
"78","4","80","209","209"
"45","4","65","210","210"
"58","4","102","211","211"
"29","4","46","212","212"
"100","4","46","213","213"
"80","4","65","214","214"
"45","4","75","215","215"
"58","4","102","216","216"
"29","4","41","217","217"
"105","4","41","218","218"
"57","4","83","219","219"
"45","4","65","220","220"
"58","4","102","221","221"
"32","4","46","222","222"
"97","4","46","223","223"
"68","4","62","224","224"
"74","4","86","225","225"
"32","4","41","226","226"
"104","4","41","227","227"
"42","4","65","228","228"
"57","4","86","229","229"
"78","4","73","230","230"
"24","4","40","231","231"
"110","4","40","232","232"
"44","4","58","233","233"
"81","4","71","234","234"
"57","4","93","235","235"
"42","4","40","236","236"
"97","4","40","237","237"
"65","4","61","238","238"
"75","4","83","239","239"
"46","4","77","240","240"
"41","4","41","241","241"
"105","4","41","242","242"
"48","4","71","243","243"
"58","4","91","244","244"
"88","4","61","245","245"
"31","4","41","246","246"
"97","4","41","247","247"
"45","4","74","248","248"
"81","4","65","249","249"
"72","4","86","250","250"
"47","5","30","251","251"
"88","5","30","252","252"
"85","5","52","253","253"
"79","5","70","254","254"
"39","5","32","255","255"
"99","5","32","256","256"
"50","5","90","257","257"
"85","5","60","258","258"
"38","5","35","259","259"
"100","5","35","260","260"
"52","5","64","261","261"
"81","5","52","262","262"
"44","5","31","263","263"
"91","5","31","264","264"
"58","5","50","265","265"
"79","5","62","266","266"
"47","5","30","267","267"
"88","5","30","268","268"
"50","5","71","269","269"
"82","5","54","270","270"
"38","5","35","271","271"
"97","5","35","272","272"
"50","5","70","273","273"
"70","5","55","274","274"
"50","5","95","275","275"
"46","5","30","276","276"
"89","5","30","277","277"
"49","5","50","278","278"
"66","5","70","279","279"
"86","5","60","280","280"
"44","5","31","281","281"
"91","5","31","282","282"
"73","5","75","283","283"
"85","5","65","284","284"
"50","5","48","285","285"
"41","5","31","286","286"
"94","5","31","287","287"
"50","5","90","288","288"
"86","5","65","289","289"
"68","5","50","290","290"
"46","5","31","291","291"
"89","5","31","292","292"
"59","5","60","293","293"
"70","5","47","294","294"
"69","5","75","295","295"
"44","5","32","296","296"
"88","5","32","297","297"
"52","5","90","298","298"
"58","5","52","299","299"
"83","5","72","300","300"
"41","5","33","301","301"
"96","5","33","302","302"
"50","5","65","303","303"
"63","5","80","304","304"
"81","5","52","305","305"
"44","5","30","306","306"
"91","5","30","307","307"
"54","5","45","308","308"
"62","5","67","309","309"
"83","5","55","310","310"
"50","5","30","311","311"
"85","5","30","312","312"
"50","5","56","313","313"
"63","5","90","314","314"
"82","5","67","315","315"
"46","5","30","316","316"
"91","5","30","317","317"
"68","5","60","318","318"
"82","5","48","319","319"
"83","5","75","320","320"
"98","2","59","321","321"
"26","2","58","322","322"
"107","2","72","323","323"
"83","2","61","324","324"
"65","2","63","325","325"
"33","2","58","326","326"
"57","2","57","327","327"
"107","2","72","328","328"
"39","2","57","329","329"
"92","2","55","330","330"
