9b0c267a674bd545c6e2a02db3b104d5549d59c7b00650890c6f403f5c3f67dd,6459d65327bdf2fb65bb0886e43700cd23788b5300daf7ba94bc90b7d3445733,7da83b2447dfda06b5d0c17f03cf89a87d510912b7110999c9719a8d3d5fdde2,b1399eaec74e03d9502d38364b895c1340d374f0764e8e649cf0d3158b294d06,f7cdb6e594e0e0fb6857a713ddda137384e3e57f49c3b80a9f817de73c73bd80,526d70e525e024ae0e36baabc5b28209ded5b41acbe8d13d34e8f0ca17e24a14,12200476912b90dd3ad634dda046bc2aa506e9585d543707318a493d363d823d,4ab28fa5a5e8e5e8d2139931e66525d43ce003d834b47bb7bb06924da4d6398e,777a18b069c94e985aeef343e0015455c8928eccac0ba7cb0a08fd1fface2b28,458fe328b09c660abe89b62ebe258ca7355057ddacaca9f2859d49d55722d7e4,3aca8c8049cebc971208a04d16f290429d4d070264f79e0439a8e16082a17184,20f4618d96088f9878046dd0a4802dae385aa6e80757b7e46aa516765c2facd1,76ca69c66f7e65964d6578293979115a1b004fe52956c80d9364dd655e98e92c,cbb40e4fe527de40d726a0028d4f79422a8076bc0f2643c968c27cb3173f9e65,8d2d8f1dbe8b8e26dcc6f0efd3b7210c09306025e039cc1d584779167c0ab12f
"11","0","100","2022/02/15 5:00:00","113","2816","540","111","1","0","0","0","0","112","1"
"21","0","100","2022/02/16 5:00:00","213","2816","493","211","1","0","0","0","0","212","2"
"31","0","100","2022/02/17 5:00:00","313","2816","458","311","1","0","0","0","0","312","3"
"41","0","100","2022/02/18 5:00:00","413","2816","420","411","1","0","0","0","0","412","4"
"51","0","100","2022/02/19 5:00:00","513","2816","380","511","1","0","0","0","0","512","5"
"61","0","100","2022/02/20 5:00:00","613","2816","340","611","1","0","0","0","0","612","6"
"71","0","100","2022/02/21 5:00:00","713","2816","430","711","1","0","0","0","1","712","7"
"81","0","100","2022/02/22 5:00:00","813","2816","402","811","1","0","0","0","1","812","8"
"91","0","100","2022/02/23 5:00:00","913","2816","302","911","1","0","0","0","1","912","9"
"101","0","100","2022/02/24 5:00:00","1013","2816","264","1011","1","0","0","0","1","1012","10"
"111","0","100","2022/02/25 5:00:00","1113","2816","225","1111","1","0","0","0","1","1112","11"
"121","0","100","2022/02/26 5:00:00","1213","2816","328","1211","1","0","0","0","1","1212","12"
"131","0","100","2022/02/27 5:00:00","1313","2816","280","1311","1","0","0","0","1","1312","13"
"141","0","100","2022/02/28 5:00:00","1413","2816","269","1411","1","0","0","0","1","1412","14"
"151","0","100","2022/03/01 5:00:00","1513","2816","180","1511","1","0","0","0","1","1512","15"
"161","0","100","2022/03/02 5:00:00","1613","2816","138","1611","1","0","0","0","1","1612","16"
"171","0","100","2022/03/03 5:00:00","1713","2816","97","1711","1","0","0","0","1","1712","17"
"181","0","100","2022/03/04 5:00:00","1813","2816","56","1811","1","0","0","0","1","1812","18"
"191","0","100","2022/03/05 5:00:00","1913","2816","150","1911","1","0","0","0","1","1912","19"
"201","0","100","2022/03/06 5:00:00","2013","2816","100","2011","1","0","0","0","1","2012","20"
"211","0","100","2022/03/07 5:00:00","2113","2816","15","2111","1","0","0","0","1","2112","21"
"221","0","100","2022/03/08 5:00:00","2213","2816","-25","2211","1","0","0","0","1","2212","22"
"231","0","100","2022/03/09 5:00:00","2313","2816","-66","2311","1","0","0","0","1","2312","23"
"241","0","100","2022/03/10 5:00:00","2413","2816","-107","2411","1","0","0","0","1","2412","24"
"251","0","100","2022/03/11 5:00:00","2513","2816","-149","2511","1","0","0","0","1","2512","25"
"261","0","100","2022/03/12 5:00:00","2613","2816","-188","2611","1","0","0","0","1","2612","26"
"271","0","100","2022/03/13 5:00:00","2713","2816","-96","2711","1","0","0","0","1","2712","27"
"281","0","100","2022/03/14 5:00:00","2813","2816","-133","2811","1","0","0","0","1","2812","28"
"291","0","100","2022/03/15 5:00:00","2913","2816","-174","2911","1","0","0","0","1","2912","29"
"301","0","100","2022/03/16 5:00:00","3013","2816","-230","3011","1","0","0","0","1","3012","30"
"311","0","100","2022/03/17 5:00:00","3113","2816","-272","3111","1","0","0","0","1","3112","31"
"321","0","100","2022/03/18 5:00:00","3213","2816","-313","3211","1","0","0","0","1","3212","32"
"331","0","100","2022/03/19 5:00:00","3313","2816","-240","3311","1","0","0","0","1","3312","33"
"341","0","100","2022/03/20 5:00:00","3413","2816","-260","3411","1","0","0","0","1","3412","34"
"351","0","100","2022/03/21 5:00:00","3513","2816","-280","3511","1","0","0","0","1","3512","35"
"361","0","100","2022/03/22 5:00:00","3613","2816","-354","3611","1","0","0","0","1","3612","36"
"371","0","100","2022/03/23 5:00:00","3713","2816","-395","3711","1","0","0","0","1","3712","37"
"381","0","100","2022/03/24 5:00:00","3813","2816","-436","3811","1","0","0","0","1","3812","38"
"391","0","100","2022/03/25 5:00:00","3913","2816","-477","3911","1","0","0","0","1","3912","39"
"401","0","100","2022/03/26 5:00:00","4013","2816","-400","4011","1","0","0","0","1","4012","40"
"411","0","100","2022/03/27 5:00:00","4113","2816","-438","4111","1","0","0","0","1","4112","41"
"421","0","100","2022/03/28 5:00:00","4213","2816","0","4211","1","0","0","0","1","4212","42"
"431","0","200","2022/03/29 5:00:00","4313","2816","371","4311","2","0","0","0","2","4312","43"
"441","0","200","2022/03/30 5:00:00","4413","2816","343","4411","2","0","0","0","2","4412","44"
"451","105801","200","2022/03/31 5:00:00","4513","2816","260","4511","2","0","0","9105803","2","4512","45"
