b069d4d44b40ea6f1fa6405f6838100290a0c758521e21313c1f586a36f6628d,cc2c43918fcf2bb6ddb1efec7d4280f572787c1117822ff4cf368e4c805cf5ed,8e233686e68fc8d6938e0d2e131872c3179f0f202727c099c4b13055c1ee0c3d,abc1926fa61cc1273d271a931be37941cfc969f0bf5bd0b9a13464d74b6e686d,575e14624efcb86bfd6bb88067ea21d1eb2ab903ddcd751253fa125f90ac7d4d,30a34ad61fa339b96953ec41042da957ae72bd968519c5ddd6bfae8e34d34925,11c536e4dfa50ae855674994295363277a9401803085d04dfe5ca24093c6536f
"1","1","1","1","1","0","0"
"2","4","2","1","1","0","0"
"3","5","1","1","1","0","12"
"4","2","2","1","1","0","0"
"5","8","1","2","1","0","0"
"1","1","1","1","2","0","0"
"2","1","2","1","2","0","0"
"3","6","1","1","2","0","0"
"4","1","2","1","2","0","0"
"5","1","3","1","2","0","0"
"6","3","1","3","2","0","11"
"7","1","2","1","2","0","0"
"8","3","1","1","2","0","0"
"9","1","1","2","2","0","0"
"1","1","1","1","3","0","0"
"2","10","2","1","3","0","0"
"3","11","1","1","3","0","0"
"4","5","2","1","3","0","0"
"5","6","3","1","3","0","0"
"6","3","3","1","3","0","0"
"7","3","4","2","3","0","9"
"8","7","4","1","3","0","0"
"9","1","4","1","3","0","0"
"10","9","1","3","3","0","8"
"11","4","2","1","3","0","0"
"12","1","1","1","3","0","0"
"13","3","4","1","3","0","0"
"14","3","3","2","3","0","11"
"1","4","1","1","4","0","10"
"2","12","1","1","4","0","12"
"3","1","2","1","4","0","10"
"4","11","1","1","4","0","4"
"5","1","2","1","4","0","0"
"6","4","1","1","4","0","13"
"7","2","2","1","4","0","6"
"8","8","1","1","4","0","0"
"9","8","2","1","4","0","10"
"1","1","1","1","5","0","10"
"2","11","2","1","5","0","5"
"3","1","1","1","5","0","7"
"4","5","2","1","5","0","12"
"5","1","1","1","5","0","11"
"6","3","2","1","5","0","4"
"7","5","2","1","5","0","12"
"8","2","1","1","5","0","6"
"9","11","2","1","5","0","4"
"10","8","1","1","5","0","8"
"11","4","1","1","5","0","10"
"12","5","2","1","5","0","10"
"1","8","1","1","6","0","7"
"2","4","2","1","6","0","10"
"3","1","1","1","6","0","11"
"4","8","2","1","6","0","8"
"5","11","1","1","6","0","6"
"6","2","1","2","6","0","7"
"7","5","1","1","6","0","4"
"8","4","2","1","6","0","10"
"9","10","1","2","6","0","13"
"1","8","1","1","7","0","7"
"2","12","2","1","7","0","10"
"3","4","2","1","7","0","12"
"4","11","1","1","7","0","7"
"5","1","1","1","7","0","10"
"6","5","2","1","7","0","12"
"7","5","2","1","7","0","11"
"8","8","2","1","7","0","10"
"9","2","1","1","7","0","8"
"10","8","1","1","7","0","7"
"11","4","2","1","7","0","9"
"1","1","1","2","8","0","10"
"2","12","2","1","8","0","10"
"3","12","1","1","8","0","5"
"4","5","1","1","8","0","12"
"5","1","2","1","8","0","10"
"6","5","1","1","8","0","12"
"7","5","1","1","8","0","12"
"8","1","2","1","8","0","10"
"9","8","2","1","8","0","9"
"10","4","1","2","8","0","9"
"1","4","1","1","9","0","8"
"2","5","1","1","9","0","10"
"3","4","2","1","9","0","7"
"4","6","2","1","9","0","8"
"5","1","1","1","9","0","10"
"6","11","1","1","9","0","11"
"7","1","1","1","9","0","6"
"8","5","2","1","9","0","8"
"9","8","2","1","9","0","7"
"10","4","1","1","9","0","6"
"1","11","2","1","10","0","10"
"2","1","1","1","10","0","7"
"3","8","1","2","10","0","8"
"4","5","2","1","10","0","9"
"5","10","1","1","10","0","8"
"6","1","1","2","10","0","7"
"7","2","1","2","10","0","6"
"8","11","1","1","10","0","10"
"9","8","2","1","10","0","10"
"1","9","1","1","11","0","8"
"2","5","2","1","11","0","0"
"3","6","2","1","11","0","12"
"4","1","1","1","11","0","5"
"5","5","2","1","11","0","10"
"6","6","2","1","11","0","12"
"7","1","1","1","11","0","4"
"8","11","1","1","11","0","0"
"9","6","1","1","11","0","0"
"10","1","2","1","11","0","10"
"11","6","1","1","11","0","11"
"12","1","2","1","11","0","12"
"13","5","2","1","11","0","6"
"14","10","1","1","11","0","7"
"15","4","2","1","11","0","7"
"1","11","2","1","12","0","4"
"2","1","1","1","12","0","5"
"3","6","2","1","12","0","10"
"4","5","2","1","12","0","10"
"5","11","1","1","12","0","0"
"6","6","2","1","12","0","0"
"7","12","2","1","12","0","17"
"8","5","1","1","12","0","1"
"9","1","1","1","12","0","2"
"10","6","2","1","12","0","10"
"11","4","2","1","12","0","10"
"12","1","1","1","12","0","0"
"13","5","1","1","12","0","13"
"14","11","2","1","12","0","8"
"15","8","1","1","12","0","10"
"1","11","1","1","13","0","10"
"2","11","3","1","13","0","8"
"3","6","2","1","13","0","0"
"4","11","1","1","13","0","10"
"5","11","2","1","13","0","7"
"6","2","3","1","13","0","6"
"7","1","3","1","13","1500","0"
"8","11","1","3","13","0","5"
"9","5","3","1","13","0","10"
"10","1","2","1","13","0","4"
"11","1","1","1","13","0","4"
"12","6","3","1","13","0","6"
"13","4","1","1","13","0","6"
"14","9","1","3","13","0","10"
"15","8","3","1","13","0","10"
"16","4","1","1","13","0","6"
"17","1","3","1","13","0","0"
"18","8","2","1","13","0","8"
"1","11","1","1","14","0","0"
"2","2","1","2","14","0","13"
"3","11","3","1","14","0","10"
"4","1","1","1","14","0","10"
"5","4","1","2","14","0","10"
"6","11","2","1","14","0","0"
"7","1","2","1","14","0","0"
"8","1","1","1","14","0","10"
"9","12","3","1","14","0","12"
"10","12","3","1","14","0","12"
"11","5","3","1","14","0","0"
"12","5","1","1","14","0","12"
"13","10","1","2","14","0","6"
"14","11","1","1","14","0","10"
"15","10","1","3","14","0","6"
"16","11","1","1","14","0","10"
"17","2","1","3","14","0","6"
"18","10","1","2","14","0","6"
"19","11","1","1","14","0","4"
"20","8","2","1","14","0","10"
"21","8","1","3","14","0","4"
"1","12","2","1","15","0","10"
"2","12","1","1","15","0","12"
"3","11","3","1","15","0","12"
"4","11","1","1","15","0","6"
"5","12","2","1","15","0","12"
"6","5","2","1","15","0","0"
"7","11","1","1","15","0","12"
"8","1","1","1","15","0","0"
"9","5","1","1","15","0","0"
"10","12","1","2","15","0","12"
"11","11","3","1","15","0","0"
"12","12","3","1","15","0","11"
"13","1","2","1","15","0","9"
"14","1","1","1","15","0","12"
"15","12","1","1","15","0","0"
"16","12","1","1","15","0","9"
"17","11","2","1","15","0","4"
"18","11","1","3","15","0","4"
"19","5","2","1","15","0","12"
"20","12","2","1","15","0","0"
"21","12","2","1","15","0","7"
"22","12","1","3","15","0","12"
"23","1","1","3","15","0","7"
"24","4","3","1","15","0","0"
"25","4","1","3","15","0","10"
"26","8","2","1","15","0","0"
"27","11","1","1","15","0","0"
"28","11","2","1","15","0","0"
"1","6","1","1","16","0","0"
"2","11","2","1","16","0","10"
"3","12","3","1","16","0","0"
"4","4","2","1","16","0","0"
"5","6","1","1","16","0","12"
"6","6","1","1","16","0","0"
"7","4","2","1","16","0","4"
"8","5","3","1","16","0","4"
"9","1","3","1","16","0","0"
"10","12","1","1","16","0","17"
"11","11","2","1","16","0","0"
"12","1","3","1","16","0","10"
"13","11","2","1","16","0","11"
"14","11","3","1","16","0","0"
"15","12","1","1","16","0","12"
"16","11","1","1","16","0","10"
"17","11","1","1","16","0","10"
"18","6","1","1","16","0","6"
"19","11","2","1","16","0","6"
"20","1","3","1","16","0","8"
"21","5","3","1","16","0","8"
"22","4","1","1","16","0","9"
"23","11","1","1","16","0","10"
"1","11","1","1","17","0","4"
"2","4","1","3","17","0","10"
"3","11","1","1","17","0","4"
"4","1","1","1","17","0","0"
"5","1","1","2","17","0","10"
"6","11","2","1","17","0","4"
"7","1","1","2","17","0","10"
"8","11","2","1","17","0","4"
"9","1","3","1","17","0","0"
"10","8","1","2","17","0","10"
"11","12","1","1","17","0","12"
"12","11","3","1","17","0","4"
"13","1","1","3","17","0","4"
"14","11","1","1","17","0","10"
"15","1","1","2","17","0","0"
"16","11","1","2","17","0","4"
"17","8","1","2","17","0","7"
"18","11","1","1","17","0","0"
"19","2","1","3","17","0","6"
"20","10","1","1","17","0","10"
"21","11","2","1","17","0","10"
"22","8","3","1","17","0","7"
"1","11","1","1","18","0","4"
"2","5","1","2","18","0","13"
"3","4","1","1","18","0","10"
"4","4","2","1","18","0","10"
"5","11","3","1","18","0","10"
"6","5","1","3","18","0","7"
"7","11","1","1","18","0","10"
"8","4","3","1","18","0","10"
"9","11","2","1","18","0","10"
"10","5","1","3","18","0","6"
"11","11","1","1","18","0","10"
"12","11","2","1","18","0","10"
"13","4","3","1","18","0","10"
"14","5","1","2","18","0","8"
"15","6","1","2","18","0","6"
"16","10","3","1","18","0","0"
"17","10","2","1","18","0","0"
"18","10","1","1","18","0","0"
"19","10","1","2","18","0","7"
"20","8","1","1","18","0","10"
"21","11","1","1","18","0","10"
"22","2","1","2","18","0","9"
"1","13","1","2","19","0","0"
"2","4","1","2","19","0","8"
"3","8","1","2","19","0","0"
"1","14","1","2","20","0","10"
"2","8","1","2","20","0","0"
"1","15","1","2","21","0","13"
"1","15","1","2","22","0","0"
"2","13","1","2","22","0","0"
"1","42","1","2","23","0","0"
"2","72","1","2","23","0","0"
"1","43","1","2","24","0","0"
"1","44","1","2","25","0","0"
"1","45","1","2","26","0","0"
"1","46","1","2","27","0","0"
"1","47","1","2","28","0","0"
"1","14","1","2","29","0","0"
"1","15","1","1","30","0","0"
"2","8","2","1","30","0","0"
"3","10","1","1","30","0","13"
"4","10","2","1","30","0","13"
"5","12","2","1","30","0","9"
"6","72","1","1","30","0","6"
"7","2","1","2","30","0","8"
"8","13","1","2","30","0","0"
"1","4","1","1","31","0","8"
"2","1","2","1","31","0","0"
"3","10","1","1","31","0","6"
"4","4","2","1","31","0","0"
"5","9","1","1","31","0","7"
"6","1","2","1","31","0","0"
"1","10","1","1","32","0","6"
"2","10","2","1","32","0","13"
"3","1","3","1","32","0","0"
"4","2","2","1","32","0","11"
"5","2","1","1","32","0","8"
"6","1","3","1","32","0","0"
"7","72","3","1","32","0","7"
"1","6","3","1","33","0","0"
"2","10","1","3","33","0","13"
"3","3","3","1","33","0","3"
"4","72","1","3","33","0","0"
"5","12","3","1","33","0","2"
"1","4","1","2","34","0","6"
"2","5","1","1","34","0","7"
"3","1","2","1","34","0","0"
"4","12","2","1","34","0","8"
"5","1","1","1","34","0","0"
"6","15","1","2","34","0","0"
"1","8","1","2","35","0","0"
"2","72","1","2","35","0","10"
"3","13","1","2","35","0","0"
"1","4","1","2","36","0","0"
"2","6","1","1","36","0","6"
"3","1","1","1","36","0","0"
"4","72","2","1","36","0","10"
"5","9","2","1","36","0","0"
"6","2","2","2","36","0","7"
"1","8","1","2","37","0","7"
"2","4","1","1","37","0","0"
"3","5","2","1","37","0","0"
"4","13","1","2","37","0","6"
"1","13","1","2","38","0","10"
"2","5","1","1","38","0","8"
"3","6","2","1","38","0","7"
"4","1","1","1","38","0","0"
"5","9","2","1","38","0","7"
"6","15","2","1","38","0","13"
"7","8","1","2","38","0","0"
"1","4","1","2","39","0","6"
"2","6","1","1","39","0","13"
"3","72","2","1","39","0","10"
"4","13","1","2","39","0","6"
