62caf576fc655fefee84b0a1908fe61ad155895f2d4ab97f74305aacdc0b7577,3575a7f4ac61e41eb4d0cfb7c1303a0469bac8048404d0b5c5912f275ef4f286,76ec04095b79beeb81480458e3c7aee400d4ab8d8336ca014dc38326f7a5fe92,92675b6cc9ebc07d6fd170ddf42f514722b33ef9f480433e8de22edf77242cb1,57d19cbc0069d6dcdf33535d8754f6ce6a3c6c3d70bf57a569aeeb55ffd8108f,196630b128a141ec775d871fb8a26899b0d526a995a722210e4e1bcb709650d5
"1","803100263","3001","212","211","2146041"
"1","803100263","3002","212","211","2146042"
"1","803100263","3003","212","211","2146043"
"1","803100263","3004","212","211","2146044"
"1","803100272","3006","212","213","2147041"
"1","803100272","3007","212","213","2147042"
"1","803100253","30011","313","202","2145039"
"0","803100253","30012","302","105","2145040"
"1","803100256","30021","311","204","2145069"
"1","803100256","30022","312","205","2145070"
"1","803100259","30031","310","212","2145099"
"0","803100259","30032","301","107","2145100"
"0","803100262","30041","307","110","2146039"
"0","803100262","30042","302","105","2146040"
"1","803100267","30051","314","203","2146081"
"1","803100269","30061","312","205","2147019"
"0","803100269","30062","303","106","2147020"
"1","803100271","30071","313","202","2147039"
"1","803100271","30072","310","212","2147040"
"0","803100251","300101","100","104","2145011"
"0","803100251","300102","100","104","2145012"
"0","803100251","300103","102","105","2145013"
"0","803100251","300104","100","104","2145014"
"0","803100251","300105","102","105","2145015"
"0","803100251","300106","103","106","2145016"
"0","803100251","300107","102","105","2145017"
"0","803100251","300108","103","106","2145018"
"1","803100251","300109","111","204","2145019"
"0","803100251","300110","100","104","2145020"
"0","803100252","300111","100","104","2145021"
"0","803100252","300112","102","105","2145022"
"0","803100252","300113","100","104","2145023"
"0","803100252","300114","102","105","2145024"
"0","803100252","300115","103","106","2145025"
"0","803100252","300116","102","105","2145026"
"0","803100252","300117","103","106","2145027"
"1","803100252","300118","111","204","2145028"
"0","803100252","300119","100","104","2145029"
"0","803100252","300120","100","104","2145030"
"0","803100253","300121","102","105","2145031"
"0","803100253","300122","100","104","2145032"
"0","803100253","300123","102","105","2145033"
"1","803100253","300124","112","208","2145034"
"1","803100253","300125","110","212","2145035"
"0","803100253","300126","100","104","2145036"
"0","803100253","300127","102","105","2145037"
"0","803100253","300128","103","106","2145038"
"0","803100254","300201","101","107","2145041"
"0","803100254","300202","101","107","2145042"
"0","803100254","300203","102","105","2145043"
"0","803100254","300204","103","106","2145044"
"1","803100254","300205","113","202","2145045"
"1","803100254","300206","114","203","2145046"
"0","803100254","300207","101","107","2145047"
"1","803100254","300208","113","202","2145048"
"1","803100254","300209","114","203","2145049"
"0","803100254","300210","101","107","2145050"
"0","803100255","300211","101","107","2145051"
"0","803100255","300212","102","105","2145052"
"0","803100255","300213","103","106","2145053"
"1","803100255","300214","113","202","2145054"
"1","803100255","300215","114","203","2145055"
"0","803100255","300216","101","107","2145056"
"1","803100255","300217","113","202","2145057"
"1","803100255","300218","114","203","2145058"
"0","803100255","300219","101","107","2145059"
"0","803100255","300220","101","107","2145060"
"0","803100256","300221","102","105","2145061"
"0","803100256","300222","103","106","2145062"
"0","803100256","300223","101","107","2145063"
"1","803100256","300224","112","208","2145064"
"1","803100256","300225","110","212","2145065"
"0","803100256","300226","102","105","2145066"
"0","803100256","300227","103","106","2145067"
"0","803100256","300228","101","107","2145068"
"0","803100257","300301","100","104","2145071"
"0","803100257","300302","101","107","2145072"
"0","803100257","300303","101","107","2145073"
"1","803100257","300304","113","202","2145074"
"1","803100257","300305","114","203","2145075"
"0","803100257","300306","100","104","2145076"
"0","803100257","300307","101","107","2145077"
"1","803100257","300308","111","204","2145078"
"1","803100257","300309","112","205","2145079"
"0","803100257","300310","100","104","2145080"
