0727e6f417ae0cbcbd49b43fb7048560a8f335970206239c15015531a954cdc3,f48733948c9d1ac5d07b60c367ac6e23db5670fc92edb9ced93cd568227b5ed5,f5cde257562b2fecdb6c6471e5b80f22554c4cc4649d536c866ac89b2ee01255,b14869bbc45a5a855173db19872602a68e9e37971e31f48d620e7379107ff735,8c0405e802b262701d05385a57727162bf9e793effc058632b37233905734001,5324bc9de61a0703c1d58cf29a3555204aaa7f540509bddb9a03c1ea2066bd18,c6949c025513b1b8e3278e94aa1f6cf1249da5e519fa2996d2e1e44248dfb83e
"1","2018/12/24 5:00:00","0","0","400","2018/12/25 4:59:59","70000"
"2","2018/12/25 5:00:00","0","0","401","2018/12/26 4:59:59","70000"
"3","0","0","1","410","0","70001"
"4","0","0","2","411","0","70001"
"5","0","0","3","412","0","70001"
"6","2019/12/24 5:00:00","0","0","400","2019/12/25 4:59:59","70002"
"7","2019/12/25 5:00:00","0","0","401","2019/12/26 4:59:59","70002"
"8","0","0","1","413","0","70003"
"9","0","0","2","414","0","70003"
"10","0","0","3","415","0","70003"
"21","2020/12/24 5:00:00","0","0","400","2020/12/25 4:59:59","70004"
"22","2020/12/25 5:00:00","0","0","401","2020/12/26 4:59:59","70004"
"23","0","0","1","416","0","70005"
"24","0","0","2","417","0","70005"
"25","0","0","3","418","0","70005"
"26","2021/01/30 5:00:00","0","3","9002001","2021/01/31 4:59:59","80004"
"27","2021/01/31 5:00:00","0","3","9002002","2021/02/01 4:59:59","80004"
"28","2021/02/01 5:00:00","0","3","9002003","2021/02/02 4:59:59","80004"
"29","2021/02/02 5:00:00","0","3","9002004","2021/02/03 4:59:59","80004"
"30","2021/02/03 5:00:00","0","3","9002005","2021/02/04 4:59:59","80004"
"31","2021/02/04 5:00:00","0","3","9002006","2021/02/05 4:59:59","80004"
"32","2021/02/05 5:00:00","0","3","9002007","2021/02/06 4:59:59","80004"
"33","2021/02/06 5:00:00","0","3","9002008","2021/02/07 4:59:59","80004"
"34","2021/02/07 5:00:00","0","3","9002009","2021/02/08 4:59:59","80004"
"35","2021/02/08 5:00:00","0","3","9002010","2021/02/09 4:59:59","80004"
"36","2021/02/09 5:00:00","0","3","9002011","2021/02/10 4:59:59","80004"
"37","2021/02/10 5:00:00","0","3","9002012","2021/02/11 4:59:59","80004"
"38","2021/02/11 5:00:00","0","3","9002013","2021/02/12 4:59:59","80004"
"39","2021/02/12 5:00:00","0","3","9002014","2021/02/13 4:59:59","80004"
"40","2021/02/13 5:00:00","0","3","9002015","2021/02/14 4:59:59","80004"
"41","2021/02/14 5:00:00","0","3","9002016","2021/02/15 4:59:59","80004"
"42","2021/02/15 5:00:00","1","3","9002017","2021/02/16 4:59:59","80004"
"43","2021/12/24 5:00:00","0","0","400","2021/12/25 4:59:59","70006"
"44","2021/12/25 5:00:00","0","0","401","2021/12/26 4:59:59","70006"
"45","2022/01/30 5:00:00","0","3","9004001","2022/01/31 4:59:59","80006"
"46","2022/01/31 5:00:00","0","3","9004002","2022/02/01 4:59:59","80006"
"47","2022/02/01 5:00:00","0","3","9004003","2022/02/02 4:59:59","80006"
"48","2022/02/02 5:00:00","0","3","9004004","2022/02/03 4:59:59","80006"
"49","2022/02/03 5:00:00","0","3","9004005","2022/02/04 4:59:59","80006"
"50","2022/02/04 5:00:00","0","3","9004006","2022/02/05 4:59:59","80006"
"51","2022/02/05 5:00:00","0","3","9004007","2022/02/06 4:59:59","80006"
"52","2022/02/06 5:00:00","0","3","9004008","2022/02/07 4:59:59","80006"
"53","2022/02/07 5:00:00","0","3","9004009","2022/02/08 4:59:59","80006"
"54","2022/02/08 5:00:00","0","3","9004010","2022/02/09 4:59:59","80006"
"55","2022/02/09 5:00:00","0","3","9004011","2022/02/10 4:59:59","80006"
"56","2022/02/10 5:00:00","0","3","9004012","2022/02/11 4:59:59","80006"
"57","2022/02/11 5:00:00","0","3","9004013","2022/02/12 4:59:59","80006"
"58","2022/02/12 5:00:00","0","3","9004014","2022/02/13 4:59:59","80006"
"59","2022/02/13 5:00:00","0","3","9004015","2022/02/14 4:59:59","80006"
"60","2022/02/14 5:00:00","0","3","9004016","2022/02/15 4:59:59","80006"
"61","2022/02/15 5:00:00","1","3","9004017","2022/02/16 4:59:59","80006"
"62","0","0","1","436","0","70007"
"63","0","0","2","437","0","70007"
"64","0","0","3","438","0","70007"
"65","2022/08/01 5:00:00","0","3","9005001","2022/08/02 4:59:59","80007"
"66","2022/08/02 5:00:00","0","3","9005002","2022/08/03 4:59:59","80007"
"67","2022/08/03 5:00:00","0","3","9005003","2022/08/04 4:59:59","80007"
"68","2022/08/04 5:00:00","0","3","9005004","2022/08/05 4:59:59","80007"
"69","2022/08/05 5:00:00","0","3","9005005","2022/08/06 4:59:59","80007"
"70","2022/08/06 5:00:00","0","3","9005006","2022/08/07 4:59:59","80007"
"71","2022/08/07 5:00:00","0","3","9005007","2022/08/08 4:59:59","80007"
"72","2022/08/08 5:00:00","0","3","9005008","2022/08/09 4:59:59","80007"
"73","2022/08/09 5:00:00","0","3","9005009","2022/08/10 4:59:59","80007"
"74","2022/08/10 5:00:00","0","3","9005010","2022/08/11 4:59:59","80007"
"75","2022/08/11 5:00:00","0","3","9005011","2022/08/12 4:59:59","80007"
"76","2022/08/12 5:00:00","0","3","9005012","2022/08/13 4:59:59","80007"
"77","2022/08/13 5:00:00","0","3","9005013","2022/08/14 4:59:59","80007"
"78","2022/08/14 5:00:00","0","3","9005014","2022/08/15 4:59:59","80007"
"79","2022/08/15 5:00:00","1","3","9005015","2022/08/16 4:59:59","80007"
"80","2022/12/24 5:00:00","0","0","400","2022/12/25 4:59:59","70008"
"81","2022/12/25 5:00:00","0","0","401","2022/12/26 4:59:59","70008"
"82","0","0","1","439","0","70009"
"83","2023/01/31 5:00:00","0","3","9006001","2023/02/01 4:59:59","80008"
"84","2023/02/01 5:00:00","0","3","9006002","2023/02/02 4:59:59","80008"
"85","2023/02/02 5:00:00","0","3","9006003","2023/02/03 4:59:59","80008"
"86","2023/02/03 5:00:00","0","3","9006004","2023/02/04 4:59:59","80008"
"87","2023/02/04 5:00:00","0","3","9006005","2023/02/05 4:59:59","80008"
"88","2023/02/05 5:00:00","0","3","9006006","2023/02/06 4:59:59","80008"
"89","2023/02/06 5:00:00","0","3","9006007","2023/02/07 4:59:59","80008"
"90","2023/02/07 5:00:00","0","3","9006008","2023/02/08 4:59:59","80008"
"91","2023/02/08 5:00:00","0","3","9006009","2023/02/09 4:59:59","80008"
"92","2023/02/09 5:00:00","0","3","9006010","2023/02/10 4:59:59","80008"
"93","2023/02/10 5:00:00","0","3","9006011","2023/02/11 4:59:59","80008"
"94","2023/02/11 5:00:00","0","3","9006012","2023/02/12 4:59:59","80008"
"95","2023/02/12 5:00:00","0","3","9006013","2023/02/13 4:59:59","80008"
"96","2023/02/13 5:00:00","0","3","9006014","2023/02/14 4:59:59","80008"
"97","2023/02/14 5:00:00","0","3","9006015","2023/02/15 4:59:59","80008"
"98","2023/02/15 5:00:00","1","3","9006016","2023/02/16 4:59:59","80008"
"99","2023/08/01 5:00:00","0","3","9007001","2023/08/02 4:59:59","80009"
"100","2023/08/02 5:00:00","0","3","9007002","2023/08/03 4:59:59","80009"
"101","2023/08/03 5:00:00","0","3","9007003","2023/08/04 4:59:59","80009"
"102","2023/08/04 5:00:00","0","3","9007004","2023/08/05 4:59:59","80009"
"103","2023/08/05 5:00:00","0","3","9007005","2023/08/06 4:59:59","80009"
"104","2023/08/06 5:00:00","0","3","9007006","2023/08/07 4:59:59","80009"
"105","2023/08/07 5:00:00","0","3","9007007","2023/08/08 4:59:59","80009"
"106","2023/08/08 5:00:00","0","3","9007008","2023/08/09 4:59:59","80009"
"107","2023/08/09 5:00:00","0","3","9007009","2023/08/10 4:59:59","80009"
"108","2023/08/10 5:00:00","0","3","9007010","2023/08/11 4:59:59","80009"
"109","2023/08/11 5:00:00","0","3","9007011","2023/08/12 4:59:59","80009"
"110","2023/08/12 5:00:00","0","3","9007012","2023/08/13 4:59:59","80009"
"111","2023/08/13 5:00:00","0","3","9007013","2023/08/14 4:59:59","80009"
"112","2023/08/14 5:00:00","0","3","9007014","2023/08/15 4:59:59","80009"
"113","2023/08/15 5:00:00","1","3","9007015","2023/08/16 4:59:59","80009"
"114","2023/12/24 5:00:00","0","0","400","2023/12/25 4:59:59","70010"
"115","2023/12/25 5:00:00","0","0","401","2023/12/26 4:59:59","70012"
"116","0","0","1","440","0","70011"
"117","2024/01/31 5:00:00","0","3","9008001","2024/02/01 4:59:59","80010"
"118","2024/02/01 5:00:00","0","3","9008002","2024/02/02 4:59:59","80010"
"119","2024/02/02 5:00:00","0","3","9008003","2024/02/03 4:59:59","80010"
"120","2024/02/03 5:00:00","0","3","9008004","2024/02/04 4:59:59","80010"
"121","2024/02/04 5:00:00","0","3","9008005","2024/02/05 4:59:59","80010"
"122","2024/02/05 5:00:00","0","3","9008006","2024/02/06 4:59:59","80010"
"123","2024/02/06 5:00:00","0","3","9008007","2024/02/07 4:59:59","80010"
"124","2024/02/07 5:00:00","0","3","9008008","2024/02/08 4:59:59","80010"
"125","2024/02/08 5:00:00","0","3","9008009","2024/02/09 4:59:59","80010"
"126","2024/02/09 5:00:00","0","3","9008010","2024/02/10 4:59:59","80010"
"127","2024/02/10 5:00:00","0","3","9008011","2024/02/11 4:59:59","80010"
"128","2024/02/11 5:00:00","1","3","9008012","2024/02/12 4:59:59","80010"
"129","2024/02/12 5:00:00","1","3","9008013","2024/02/13 4:59:59","80010"
"130","2024/02/13 5:00:00","1","3","9008014","2024/02/14 4:59:59","80010"
"131","2024/02/14 5:00:00","1","3","9008015","2024/02/15 4:59:59","80010"
"132","2024/02/15 5:00:00","1","3","9008016","2024/02/16 4:59:59","80010"
"133","2024/08/01 5:00:00","0","3","9009001","2024/08/02 4:59:59","80011"
"134","2024/08/02 5:00:00","0","3","9009002","2024/08/03 4:59:59","80011"
"135","2024/08/03 5:00:00","0","3","9009003","2024/08/04 4:59:59","80011"
"136","2024/08/04 5:00:00","0","3","9009004","2024/08/05 4:59:59","80011"
