656304147c53a30c73011d61b9adb9640e375eee5979014e0ad48d53908bc320,6498b909c5e6006e08487490beaeb737eb7fdc967f3a0c10e4c968c515415f7e,c5a3b2ee440d68661b9adcb359905b2ba32ddabed9414ddc2258a1db5073c6a1,042f000e201db88b3f42b88b6a65ccdf9e401af13e7a14e3040a89f3cbcda2c7
"938","1.6","100101","-354"
"952","1.6","100201","-499"
"1014","1.6","100301","-523"
"894","1.6","100401","-488"
"980","1.6","100601","-628"
"983","1.6","100701","-573"
"1019","1.6","100801","-544"
"985","1.6","100901","-510"
"1115","1.6","101001","-660"
"1128","1.6","101101","-415"
"1042","1.6","101201","-589"
"1050","1.6","101601","-501"
"1038","1.6","101701","-598"
"985","1.6","101801","-356"
"1114","1.6","102001","-494"
"1003","1.6","102101","-392"
"1057","1.6","102201","-407"
"997","1.6","102501","-388"
"1090","1.6","102701","-490"
"987","1.6","102801","-554"
"976","1.6","102901","-526"
"994","1.6","103001","-879"
"1056","1.6","103101","-560"
"1018","1.6","103301","-453"
"1017","1.6","103401","-345"
"961","1.6","103801","-674"
"1095","1.6","104001","-499"
"955","1.6","104201","-521"
"1079","1.6","104301","-581"
"980","1.6","104501","-538"
"954","1.6","104601","-364"
"1107","1.6","104801","-777"
"973","1.6","104901","-795"
"1122","1.6","105001","-492"
"1035","1.6","105201","-607"
"885","1.6","105301","-490"
