eb9d774d1ca2af46a918eb31c801e7b7d667a488ed5447ab609ca9ca7ce83ffb,9031853d8fb5d6364557c4b70fb8b9f6bb8beaa996d6654dd31fab55289cf7d5,d41ca41e443ce2a5233c79cdfa68ac15883f495bef62cc4becf6a4ab578b26c9,deaef81910b5a6ff4f8ef11cab667e66e6cfb89370cb73e0bbd73effc8b7015d,9bb739c5ead26f3f4da483731a17bcbde7045c5a576137599e1f0110bb927944,32bb2d91e859696f8ad61138c0cc2f7cd2b475c339f1e8e6ae24b295970bab35,1ad3d05eaaf106abe63ed9b154d3a84d48aa308a573e88de8c00952e20e992aa,c13fcdf8d877a72e469a000fab9a8759a386ff36da30fb1cd83cb3fe224907cb,1317e6e7057b314d5fbd1d5052001c17b568653c2134f0ba39277e818f508264,783d649f0705948b31c3619a94faa1a33bfa2240ddb9d70ebd4bd43d1a45e071,284be6b7151bfb5785d4f2b995ade1e4f5c505ad12f840e6a20317d2acc3eb06,102d390cf87187816d217a10b564ffbd4cac63edfc8a1258200143f5974c38fc,7a36bfd064ebdd8a3b9a52d6c0e2133f9e903ee09cf0d8a484a26e96beedf5d9,f7e77e32289263d844820186b7e4889bf228e4e1b9f67cde86822121974c3929,8709daede02a593ff19227358cf972b62139b445397fb4550d12bb279c23c8b1,bd3b755f9fcd2ecdd77917b64a64f135d8c9012d26f7027b90d6a0399820e02f,3fc4476671ef4faee6e5a80f82c19151c8348041097fbf2c7bf32f615814d354,64b8660dd54e11e0ecde792c7e33013f1dc8eb06dfbd433e1c477e3b2510e772,2b22bca2c9f938043b821a894ad9e0eb1e287d4c7b6f6069fc77e69801b7a056,0a55d81ee46d9ab8cccbd0476c06e13710fac31b953b8c1c95e275e26f205891,b1e53a596f8719695fed3d98067485a4917952f98b6d4bc780f175dca9daa6eb,2d9345639739e611eb1064a8106051e8f7746c53981ed78bbe9861c60eced027
"10010101","0","210","250","-480","0.6","1","-30","1","0","101001","1","101001","10","1","-30","1","1001","0.8","bgm_M64","-120","0.7"
"10010102","0","200","0","-260","0.75","1","0","1","0","101001","2","101001","10","2","-30","1","1001","1.2","bgm_M64","-120","1"
"10010103","0","200","100","-40","0.75","1","-10","1","-50","101001","3","101001","0","3","-30","1","1001","1.1","bgm_M64","0","1"
"10010104","0","200","0","240","0.7","1","0","1","0","101001","4","101001","0","4","-30","1","1001","1","bgm_M64","-50","1"
"10010105","0","250","200","480","1.2","1","0","1","0","101011","5","101011","0","5","-30","1","1001","1.3","bgm_M55","-40","1"
"10020101","0","210","250","-480","0.6","1","-30","1","0","101021","1","101001","10","1","-30","1","1002","0.8","bgm_M64","-155","0.7"
"10020102","0","200","250","-265","0.75","1","0","1","0","101021","2","101001","10","2","-30","1","1002","1.2","bgm_M64","-120","1"
"10020103","-15","200","100","-30","0.9","1","-10","1","-30","101021","3","101001","0","3","-30","1","1002","1.4","bgm_M64","30","1"
"10020104","0","200","100","220","1","1","0","1","-30","101021","4","101001","0","4","-30","1","1002","1.5","bgm_M64","-90","1.25"
"10020105","0","250","200","440","1.4","1","0","1","0","101031","5","101011","0","5","-30","1","1002","1.8","bgm_M55","0","1.6"
"10030101","0","210","250","-470","0.6","1","-30","1","0","101041","1","101041","10","1","-30","1","1003","0.8","bgm_M64","-155","0.7"
"10030102","0","200","250","-210","0.75","1","0","1","0","101041","2","101041","10","2","-30","1","1003","1.2","bgm_M64","-95","1"
"10030103","0","200","100","50","0.75","1","-10","1","-50","101041","3","101041","0","3","-30","1","1003","1.1","bgm_M64","-120","1"
"10030104","0","200","100","195","0.8","1","0","1","-30","101041","4","101041","0","4","-30","1","1003","1.5","bgm_M64","35","1.2"
