3b034adde0cfd36b4a877ca0e45b034eb4ba5082bb41e61d38da63989ef6d3fa,882762b57942594a56294e040903f98b8ba98871a9773a5cccb0785b8f7c8740,2d937eafa063f614d790fc71b4fe52d87d5f02ab3c2a8dafc21008caeece8e56,3310bae0cd206f2b601f21fff39345b983e0e99f899742002b7636677b6f024c,ed66f6856e606ab83def026315b614f91fd7851a6801a1bc5839418ff9b58ee3,2a821435128fa5b5b017fe60d954a6e69a2f9db8c80fcfb34a5d6cfa4a4a343f,8a302a41c6399c5eb617b76ab8d427affff9cb78ac7b3eb49f7b60036f3c80ca,7201efaa19a57679850df368ffc124a08e1c331aea4cf7c5292c8436c2adfb8f,2a2d1e4083a6235fb26b891c3bb1f3131e6490d8a3f2a026fcad556209f5a441,81c9ebf905f5bd56a4bc2641d6dadfb2b3def0906ac12e48a88f0cf4df83b280,0ff4268197b56a89c2a19ee5c24159a8c22922bd3d79e49574beaad676ef2ff7,1270b89ab6863d5f0774d9e567346bf6d9bae5fef3b49858313a5cef803634b1,02301f80bc248c21385a72cde29b8fdc263f80bf3d1cbd1807c46aa1d74f4144,82ee5b3423cf7f99be0f8ceb4e114b9834a0ad0a6e7253ecdc053b8eef77dd22,06529cce8158fb6b3265bd8be3c99f86415f29f242ccab25da5c32fd9bbb4afb
"春咲 ひより","ねぇねぇ、騎士クン\n手伝ってあげようよ～","1","0","1001","0","0","0","ヒヨリでっす♪\n元気いっぱいがんばるよ♪","お！\nあそこに困ってそうな人発見！","2","0","1.4","1","1"
"草野 優衣","わ、わたし、\nなに言ってるんだろ\nあはは…","1","0","1002","0","0","0","みんなみたいに\nわたしも強くならなきゃ","大切な人を\n守れるようになりたい…って","2","0","1.4","1","1"
"士条 怜","少しは磨かれると思いますよ。","1","0","1003","0","0","0","フェンシングを始めてみては？","キミに必要な集中力と感性が","2","0","1.4","1","1"
"穂高 みそぎ","みそぎはねぇ、\nかくれんぼやりたい！","1","0","1004","0","0","0","ねぇ、にいちゃん！","今日はなにして遊ぶ？","2","0","1.5","1","1"
"風宮 あかり","私といっしょに…\nいかない？","1","0","1006","0","0","0","風宮あかりです","ねぇ…","2","0","1.4","1","1"
"出雲 宮子","食べ物の恨みは怖いのー","1","0","1007","0","0","0","出雲宮子なのー","プリンたべたいのー","2","0","1.5","1","1"
"虹村 雪","いいよ。\n見られることは運命さ…","1","0","1008","0","0","0","ボクは虹村雪。","キミもボクの美貌に\n吸い寄せられたんだね。","2","0","1.4","1","1"
"柊杏奈","人呼んで「疾風の冥姫」!!","1","0","1009","0","0","0","フッ…聞いて後悔するがいい！","我が真名は\nアンネローゼ・フォン・シュテッヒパルム！","2","0","1.4","1","1"
"姫宮 真歩","ほんまおおきにやわ～♪","1","0","1010","0","0","0","マホマホ王国のプリンセス、\nまほ姫どす","うさぎさん、\n運命の王子はんに巡りあわせてくれて","2","0","1.5","1","1"
"衣之咲 璃乃","ここで会ったが\n100年目～！","1","0","1011","0","0","0","衣之咲璃乃です！","生き別れたお兄ちゃんを探して\n三千世界！","2","0","1.4","1","1"
"柏崎 初音","…って、お願い！\n誰にも言わないでおいて～！","1","0","1012","0","0","0","私はハツネ、\n結構強いんだよ。\nきらーん☆","ち、超能力って…\n何のことかな～？","2","0","1.4","1","1"
"美波 鈴奈","ヒデサイまぢ\nGF（グッドフィーリング）～♪","1","0","1016","0","0","0","ちょす！\n美波鈴奈だよ～♪","一応カリスマ読モJKやってまっす！","2","0","1.4","1","1"
"喜屋武 香織","でも、沖縄もとってもいいとこさー","1","0","1017","0","0","0","はいたーい。\n喜屋武香織さー。","東京は遊園地みたいなところさー","2","0","1.4","1","1"
"支倉 伊緒","イオちゃんって呼んでね。","1","0","1018","0","0","0","支倉伊緒です。","先生って呼ばれるのは\nくすぐったいから","2","0","1.4","1","1"
"茜 ミミ","ミミをおいてかないでぇ～","1","0","1020","0","0","0","ふえ…？\nミミ、むずかしいこと\nよくわかんない…","あ！/\お兄ちゃ～ん\nまってよ～","2","0","1.5","1","1"
"栗林 くるみ","ふぇぇぇぇぇん……","1","0","1021","0","0","0","あ…あの…えっと…\n栗…林…くるみ…です……","あの……\nふぇ……","2","0","1.5","1","1"
"風宮 より","なんてありがとうございます！","1","0","1022","0","0","0","風宮よりです。\nあああああ！","こんな私に貴重な時間を\n割いていただき、","2","0","1.4","1","1"
"北条 綾音","私こっち行きたいー\nね、早く早くー","1","0","1023","0","0","0","私、アヤネ！\nぷうきちと一緒についてってあげるね！","おにいちゃんどこいくの？\nえ？","2","0","1.5","1","1"
"天野 すずめ","これて何か違う…\nあああすみません！","1","0","1025","0","0","0","わっ…わっ…私、\n天野すずめといいます！","ふ、不束者ですが\nどうぞ末永く…って、","2","0","1.4","1","1"
"倉石 恵理子","離しませんわ………\n絶対に…!!","1","0","1027","0","0","0","……クスクス…私は\n…倉石恵理子……","あなたは…運命の……\n伴侶……","2","0","1.4","1","1"
"佐々木 咲恋","…そうでしょ？？","1","0","1028","0","0","0","佐々木咲恋よ。\nねえ、世の中に無駄なことが\n多すぎると思わない？","その無駄を省くことができれば、\nもっと余裕のある暮らしができるっ！","2","0","1.4","1","1"
"桜井 望","あはは、\n私もまだまだだなぁ～","1","0","1029","0","0","0","桜井望だよ！\nよろしくねっ","ぇっと…\nキミ、私のこと知らないの?!","2","0","1.4","1","1"
"ニノン・ジュベール","ショーグン、\nワタシと一緒に天下統一デース！","1","0","1030","0","0","0","デケデケデンっ！","初めまして、\n私はニノン・ジュベール申すデス！","2","0","1.4","1","1"
