27405a1e2baeaf0a8a87151f79ba9daa351a8f7705405edaf1206cc19ddacf0f,f8722b44ae5af3a3b0de4ff5da296cff33ac6372c200f28e40247333b35d87ad,455dde3005eeec2f258f57febdf90a550ca8fe519d5ecae89b007c2eddd5383f,c22797d01139224fe5b7d0539260fbea1f86babd3f888a1844321237b29d0ebd,5626fd9d773c451fb9089ffcb718df15f0ddbcd60d7b5416dbf26b61c4b1ba1f,7e296f6d593e66f765def78a2dcf4da4e5d0eef745744fe017ce701adb347837,7a21cd08c562fc8381e912c45ef6c0b3769f3d1e8c1ffb6cac73106b57fc7a21,816b61d909833ab68c9d419bc36dd4ba138bef664d72790cda786cfc086f6069,48c4c57f740709d6fe9afe7ee8e60fc5b95f1f177b4820856d99c9eae7c37422,9f0beb47e5361c0f8fa738452ffbb9b285e03694190229be825d0a7ab70d880e,e9bb1cc02d8fcaddb1cc8ea4afd708fcade5cf6044bf3e32daaf4c6f384fb06d,a91f49a28247c55368c42434f88ccb898ecd00d272c33c58a7c458b96c815293,b27810ed856b9d8e655bea176734e339ea23223a8efe6ec8cd40307bf176e606,ae10f96310fe3439bf902a91af8e2f865acad2a9f1f62b8414cb02b91e6d0dd8
"4","30","1","1","1","1","-1","1","1","30","1","6","7","1001"
"31","60","1","1","1","1","-1","1","1","60","1","6","11","1002"
"61","90","1","1","1","1","-1","1","1","90","1","6","15","1003"
"91","120","1","1","1","1","-1","1","1","120","1","6","19","1004"
"121","150","1","1","1","1","-1","1","1","150","1","6","23","1005"
"151","180","1","1","1","1","-1","1","1","180","1","6","27","1006"
"181","210","1","1","1","1","-1","1","1","210","1","6","29","1007"
"211","240","1","1","1","1","-1","1","1","240","1","6","31","1008"
"241","270","1","1","1","1","-1","1","1","270","1","6","31","1009"
"271","300","1","1","1","1","-1","1","1","300","1","6","31","1010"
"301","-1","1","1","1","1","-1","1","1","310","1","6","31","1011"
"4","30","1","1","1","1","-1","2","1","30","1","5","7","1101"
"31","60","1","1","1","1","-1","2","1","60","1","5","11","1102"
"61","90","1","1","1","1","-1","2","1","90","1","5","15","1103"
"91","120","1","1","1","1","-1","2","1","120","1","5","19","1104"
"121","150","1","1","1","1","-1","2","1","150","1","5","23","1105"
"151","180","1","1","1","1","-1","2","1","180","1","5","27","1106"
"181","210","1","1","1","1","-1","2","1","210","1","5","29","1107"
"211","240","1","1","1","1","-1","2","1","240","1","5","31","1108"
"241","270","1","1","1","1","-1","2","1","270","1","5","31","1109"
"271","300","1","1","1","1","-1","2","1","300","1","5","31","1110"
"301","-1","1","1","1","1","-1","2","1","310","1","5","31","1111"
"4","30","1","1","1","1","-1","3","1","-1","1","5","7","1201"
"31","60","1","1","1","1","-1","3","1","-1","1","5","11","1202"
"61","90","1","1","1","1","-1","3","1","-1","1","5","15","1203"
"91","120","1","1","1","1","-1","3","1","-1","1","5","19","1204"
"121","150","1","1","1","1","-1","3","1","-1","1","5","23","1205"
"151","180","1","1","1","1","-1","3","1","-1","1","5","27","1206"
"181","210","1","1","1","1","-1","3","1","-1","1","5","29","1207"
"211","240","1","1","1","1","-1","3","1","-1","1","5","31","1208"
"241","270","1","1","1","1","-1","3","1","-1","1","5","31","1209"
"271","300","1","1","1","1","-1","3","1","-1","1","5","31","1210"
"301","-1","1","1","1","1","-1","3","1","-1","1","5","31","1211"
"4","30","1","1","1","1","-1","4","1","30","1","5","7","1301"
"31","60","1","1","1","1","-1","4","1","60","1","5","10","1302"
"61","90","1","1","1","1","-1","4","1","90","1","5","13","1303"
"91","120","1","1","1","1","-1","4","1","120","1","5","16","1304"
"121","150","1","1","1","1","-1","4","1","150","1","5","19","1305"
"151","180","1","1","1","1","-1","4","1","180","1","5","22","1306"
"181","210","1","1","1","1","-1","4","1","210","1","5","25","1307"
"211","240","1","1","1","1","-1","4","1","240","1","5","28","1308"
"241","270","1","1","1","1","-1","4","1","270","1","5","28","1309"
"271","300","1","1","1","1","-1","4","1","300","1","5","28","1310"
"301","-1","1","1","1","1","-1","4","1","310","1","5","28","1311"
"4","30","1","1","1","1","-1","5","1","-1","1","5","7","1401"
"31","60","1","1","1","1","-1","5","1","-1","1","5","10","1402"
"61","90","1","1","1","1","-1","5","1","-1","1","5","13","1403"
"91","120","1","1","1","1","-1","5","1","-1","1","5","16","1404"
"121","150","1","1","1","1","-1","5","1","-1","1","5","19","1405"
"151","180","1","1","1","1","-1","5","1","-1","1","5","22","1406"
"181","210","1","1","1","1","-1","5","1","-1","1","5","25","1407"
"211","240","1","1","1","1","-1","5","1","-1","1","5","28","1408"
"241","270","1","1","1","1","-1","5","1","-1","1","5","28","1409"
"271","300","1","1","1","1","-1","5","1","-1","1","5","28","1410"
"301","-1","1","1","1","1","-1","5","1","-1","1","5","28","1411"
"4","30","1","1","1","1","-1","6","1","-1","1","3","7","1501"
"31","60","1","1","1","1","-1","6","1","-1","1","3","10","1502"
"61","90","1","1","1","1","-1","6","1","-1","1","3","13","1503"
"91","120","1","1","1","1","-1","6","1","-1","1","3","16","1504"
"121","150","1","1","1","1","-1","6","1","-1","1","3","19","1505"
"151","180","1","1","1","1","-1","6","1","-1","1","3","22","1506"
"181","210","1","1","1","1","-1","6","1","-1","1","3","22","1507"
"211","240","1","1","1","1","-1","6","1","-1","1","3","22","1508"
"241","270","1","1","1","1","-1","6","1","-1","1","3","22","1509"
"271","-1","1","1","1","1","-1","6","1","-1","1","3","22","1510"
"4","30","1","1","1","1","5","7","1","30","1","6","7","1601"
"31","60","1","1","1","1","5","7","1","60","1","6","11","1602"
"61","90","1","1","1","1","5","7","1","90","1","6","15","1603"
"91","120","1","1","1","1","5","7","1","120","1","6","19","1604"
"121","150","1","1","1","1","5","7","1","150","1","6","23","1605"
"151","180","1","1","1","1","5","7","1","180","1","6","27","1606"
"181","210","1","1","1","1","5","7","1","210","1","6","29","1607"
"211","240","1","1","1","1","5","7","1","240","1","6","31","1608"
"241","270","1","1","1","1","5","7","1","270","1","6","31","1609"
"271","300","1","1","1","1","5","7","1","300","1","6","31","1610"
"301","-1","1","1","1","1","5","7","1","310","1","6","31","1611"
"4","30","1","1","1","1","5","8","1","30","1","5","7","1701"
"31","60","1","1","1","1","5","8","1","60","1","5","11","1702"
"61","90","1","1","1","1","5","8","1","90","1","5","15","1703"
"91","120","1","1","1","1","5","8","1","120","1","5","19","1704"
"121","150","1","1","1","1","5","8","1","150","1","5","23","1705"
"151","180","1","1","1","1","5","8","1","180","1","5","27","1706"
"181","210","1","1","1","1","5","8","1","210","1","5","29","1707"
"211","240","1","1","1","1","5","8","1","240","1","5","31","1708"
"241","270","1","1","1","1","5","8","1","270","1","5","31","1709"
"271","300","1","1","1","1","5","8","1","300","1","5","31","1710"
