3181e540be620273e560659e91a05c5d417d96cbb05299055d35f1dfa676acd8,4d3ab3345d16a103986f8e3ab52ebc97a44405c84ac7b48be3b316d446f219a6,dec0a7f131e6c9c4ff945ad6a635ad8193b153f2a40dd6fce11c5b4005db67ca,52a80bae11dcbc5ded79baaa548501813acfaa3e237b935ace204db30b5b69bc,fe04acf0298b8d8914017326f36d1f8fc38c79b189145bc4b00d34e2f851bd62,f794c3592b78011f3eb373bd396f0b23b4aa0b26604109a703e05c512ab7573e,b1f2fb2cdf08c93b3de759f3c404511661f98dea9c181c7538173166bd35d680,4bb6640967267c2c5c556e8965d87557d67e57ffc658847119f453f1594b5692,753e8cc5984f30c3bc738f013df2e9ecba59a6faf01bf59af244db9a82e11363,0eb0d17cf6f58273186e33e5617c48949a9d64196b89e205f48bd80f497657e0,07fe9ac7b1666281603cdba40c7970cb73e1f1be2d869862f3f6d3300da79705
"100","-157","-496","1","1","1.3","0","105831","01_uek_cmn_idol_def_N","1","1010001"
"110","-178","-355","1","1","1.3","0","105931","01_uek_cmn_idol_def_N","1","1010002"
"100","-124","410","1","1","1.3","1","112631","01_uek_cmn_idol_def_N","1","1010003"
"110","-258","389","1","1","1.3","1","112531","01_uek_cmn_idol_def_N","1","1010004"
"120","-234","-415","1","1","1.3","0","106031","01_uek_cmn_idol_def_N","1","1010005"
"120","-235","262","1","1","1.3","1","112431","01_uek_cmn_idol_def_N","1","1010006"
"0","1","01_uek_cmn_pose03","105831","3","0","0.2","01_uek_01_peko","","1","1010007"
"0","1","01_uek_talk_normal","105931","3","0","0.2","01_uek_01_kokkoro","","1","1010008"
"0","1","01_uek_cmn_pose02","106031","3","0","0.2","01_uek_01_kyaru","","1","1010009"
"0","1","01_uek_cmn_pose03","112631","3","0","0.2","01_uek_01_mio","","1","1010010"
"0","1","01_uek_cmn_pose02","112531","3","0","0.2","01_uek_01_rin","","1","1010011"
"0","1","01_uek_cmn_pose01","112431","3","0","0.2","01_uek_01_uduki","","1","1010012"
"","","","3","93","","","","","1","1010013"
"1","0","","112631","3","0.2","","01_uek_cmn_pose03","","1","1010014"
"1","0","","112431","3","0.2","","01_uek_cmn_pose01","","1","1010015"
"1","0","","105831","3","0.2","","01_uek_cmn_pose03","","1","1010016"
"0","1","01_uek_cmn_idol_def_N","105931","3","0.2","0.1","01_uek_talk_normal","","1","1010017"
"0","1","01_uek_cmn_idol_def_N","106031","3","0.2","0.1","01_uek_cmn_pose02","","1","1010018"
"0","1","01_uek_cmn_idol_def_N","112531","3","0.2","0.1","01_uek_cmn_pose02","","1","1010019"
"10","","","105831","11","","","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","","1","1010020"
"","","","0","91","","","","","1","1010021"
"10","","","105931","11","","","うえきちゃんが\nどこまで続くのか\n分からないほどです","","1","1010022"
"","","","0","91","","","","","1","1010023"
"10","","","112631","11","","","こういうのってさ\n上がどうなってるか\n見てみたいよね！","","1","1010024"
"","","","0","91","","","","","1","1010025"
"10","","","112531","11","","","確かにね…それに\nこうなった理由も\n分かるかも","","1","1010026"
"","","","0","91","","","","","1","1010027"
"10","","","106031","11","","","ま、興味はあるし\n付き合ってあげるわ","","1","1010028"
"","","","0","91","","","","","1","1010029"
"10","","","112431","11","","","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","","1","1010030"
"","","","0","91","","","","","1","1010031"
"100","0","0","1","1","1.3","0","104431","02_uek_cmn_idol_def_N","2","1020001"
"0","0","02_uek_02_ilya_loop","104431","3","","","02_uek_02_ilya","","2","1020002"
"10","","0","104431","11","","","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","","2","1020003"
"","0","","0","91","","","","","2","1020004"
"100","-10","-140","1","1","1.3","0","105831","01_uek_cmn_idol_def_N","3","1030001"
"100","10","120","1","1","1.3","1","105931","01_uek_cmn_idol_def_N","3","1030002"
"100","0","0","1","1","1.3","1","106031","01_uek_cmn_idol_def_N","3","1030003"
"0","0","01_uek_03_peko_loop","105831","3","","","01_uek_03_peko","","3","1030004"
"0","0","01_uek_03_kyaru_loop","106031","3","","","01_uek_03_kyaru","","3","1030005"
"10","","0","105831","11","","","キャルちゃん！\n見てください\nいい景色ですよ☆","","3","1030006"
"","","","0","91","","","","","3","1030007"
"10","","0","106031","11","","","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","","3","1030008"
"","","","0","91","","","","","3","1030009"
"0","1","01_uek_cmn_idol_def_N","105931","3","","","01_uek_03_kokkoro","","3","1030010"
"10","","0","105931","11","","","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","","3","1030011"
"100","-30","-120","1","1","1.3","0","101131","02_uek_cmn_idol_def_N","4","1040001"
"100","-5","20","1","1","1.3","1","104931","02_uek_cmn_idol_def_N","4","1040002"
"1","","","101131","3","","","02_uek_talk_joy2","","4","1040003"
"10","","0","101131","11","","","マスターセンリも\n一発からです！\n頑張りますよ！","","4","1040004"
"","","","0","91","","","","","4","1040005"
"1","","","101131","3","0.2","","02_uek_cmn_idol_def_N","","4","1040006"
"1","","","104931","3","0.2","","02_uek_04_shizuru","","4","1040007"
"10","","0","104931","11","","","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","","4","1040008"
"","","","0","91","","","","","4","1040009"
"1","","","104931","3","0.2","","02_uek_cmn_idol_def_N","","4","1040010"
"100","0","-70","1","1","1.3","0","105031","02_uek_cmn_idol_def_N","5","1050001"
"100","1","70","1","1","1.3","1","101631","02_uek_cmn_idol_def_N","5","1050002"
"0","-15","02_uek_05_misaki_loop","105031","3","","","02_uek_05_misaki","","5","1050003"
"0","0","02_uek_05_suzuna_loop","101631","3","","","02_uek_05_suzuna","","5","1050004"
"10","","0","105031","11","","","大人の階段を\n登るわよー！","","5","1050005"
"","0","","0","91","","","","","5","1050006"
"10","","0","101631","11","","","うちもモデルの\nてっぺん目指すし！","","5","1050007"
"100","25","120","1","1","1.3","1","100531","02_uek_cmn_idol_def_N","6","1060001"
"100","5","-20","1","1","1.3","0","103731","02_uek_cmn_idol_def_N","6","1060002"
"1","","","100531","3","","","02_uek_cmn_pose04","","6","1060003"
"10","","0","100531","11","","","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","","6","1060004"
"","","","0","91","","","","","6","1060005"
"1","","","103731","3","0.2","","02_uek_talk_normal","","6","1060006"
"10","","0","103731","11","","","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","","6","1060007"
"","","","0","91","","","","","6","1060008"
"1","","","103731","3","0.2","","02_uek_cmn_idol_def_N","","6","1060009"
"100","-20","-60","1","1","1.3","0","103831","02_uek_cmn_idol_def_N","7","1070001"
"1","","","103831","3","0.2","","02_uek_07_shiori","","7","1070002"
"10","","","103831","11","","","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","","7","1070003"
"100","40","90","1","1","1.3","0","104531","02_uek_08_kuka_loop","8","1080001"
"90","1","60","2","31","1","","2","","8","1080002"
"10","0","0","104531","11","","","あ、足に絡みつく\nツタの感触が\nたまりません～～！","","8","1080003"
"","","","0","91","","","","","8","1080004"
"100","-35","-195","2","1","0.9","0","105831","05_idle","9","1090001"
"1000","-30","150","2","1","1.2","0","302102","302102_idle","9","1090002"
"150","1","50","102","31","1","","15","","9","1090003"
"150","1","400","103","31","1","","16","","9","1090004"
"100","-25","-160","1","1","1.3","0","112531","01_uek_cmn_idol_def_N","10","1100001"
"100","-5","-40","1","1","1.3","1","112431","01_uek_cmn_idol_def_N","10","1100002"
"100","20","125","1","1","1.3","1","112631","01_uek_cmn_idol_def_N","10","1100003"
"1","0","","112631","3","","","01_uek_talk_surprise2","","10","1100004"
"10","0","0","112631","11","","","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","","10","1100005"
"","","","0","91","","","","","10","1100006"
"1","0","","112631","3","0.2","","01_uek_cmn_idol_def_N","","10","1100007"
"1","","","112431","3","","","01_uek_talk_joy1","","10","1100008"
"10","0","0","112431","11","","","なんだか不思議な\n感触してますね～\nふわふわですよ♪","","10","1100009"
"","","","0","91","","","","","10","1100010"
"1","","","112431","3","0.2","","01_uek_cmn_idol_def_N","","10","1100011"
"1","","","112531","3","","","01_uek_talk_normal","","10","1100012"
"10","0","0","112531","11","","","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","","10","1100013"
"","","","0","91","","","","","10","1100014"
"1","","","112531","3","0.2","","01_uek_cmn_idol_def_N","","10","1100015"
"","","","0","91","","","","","10","1100016"
"100","-20","-135","1","1","1.3","0","104731","03_uek_cmn_idol_def_N","11","1110001"
"100","5","100","1","1","1.3","1","107131","03_uek_cmn_idol_def_N","11","1110002"
"0","1","03_uek_11_jun_loop","104731","3","0","","03_uek_11_jun","","11","1110003"
"0","1","03_uek_cmn_idol_def_N","107131","3","0","0.2","03_uek_11_chris","","11","1110004"
"10","0","","104731","11","","","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","","11","1110005"
"","","","0","91","","","","","11","1110006"
"10","0","0","107131","11","","","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","","11","1110007"
"","","","1.5","93","","","","","11","1110008"
"0","1","1.5","104731","2","","","-135","","11","1110009"
"","","","1110007","91","","","","","11","1110010"
"100","-20","-120","1","1","1.3","0","101031","03_uek_cmn_idol_def_N","12","1120001"
"100","-5","10","1","1","1.3","1","101431","03_uek_cmn_idol_def_N","12","1120002"
"1","0","","101031","3","","","03_uek_talk_joy1","","12","1120003"
"10","0","0","101031","11","","","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","","12","1120004"
"","","","0","91","","","","","12","1120005"
"1","0","","101031","3","0.2","","03_uek_cmn_idol_def_N","","12","1120006"
"1","0","","101431","3","","","03_uek_talk_normal","","12","1120007"
"10","0","0","101431","11","","","いくらなんでも\nそれは難しいんじゃ\nないかな…？","","12","1120008"
"","","","0","91","","","","","12","1120009"
"1","0","","101431","3","0.2","","03_uek_cmn_idol_def_N","","12","1120010"
