38da697d7478f5ddec0bf2e4616e761cb213586d897fcdef91f5bbf30ca7a451,e92bbb1e45ea898574640102698e094c22b4689c2f946ac7fe2be388ea26fc80,f0119d064ef9a1aa85930b4cc3e5eb5f397e1bb273560887d10b58d8c5b8aa91,8901155fea937dd6b8829c210875d7caa2730e268945e857afc100e48d2a83ca,91941ddf4deffd5aae4ee40c2d0a12580e5070b1378a5a53096fe38747a07bda,cf4824fbda831bc6109b9eb3c49f3aab26bc77369f988163b30d0adab4e2cd8e,cefeb052572fbd014ede195ea1d272933b6b754042e5cb94bf20eb7c144a1f81,48f139f24cfc1b726e1592d1e53356856ea029739514f640721bf8edb44da078,2fe9c92cc762e8491e7f588afa8e0fd59e15f9058405a5289b12ac7ce95b493d,1856fa961426a8c23d8cd6f1adaaf8bd1042a2cb89001328c77579afd1a3b324,9c44a02a355628e34b897a0d540de5219d9b451ab406e8f141efb5f583394781,36e45721fed744ff51d25f82f97d5c39766dd3f6477474073773b00e3f634e4d,3318e74be9158d25a3d41d2172b07d1c7a8b76a2e332121551210c54744a75f3,d71fc8c08191b8c68f04da0cd1f29b4ce49b06bf8ffcb5e81a0f11a85c184ba6,24e10a7a0da9d7e0a79af04a5d07e389798225df92ade4b213eab04d5d909c2c
"アクダイカンを1体倒そう（NORMAL限定）","0","1","9001","1004110","99001001","660014101","1","2030/04/01 14:59:59","601","20014","0","2015/04/01 15:00:00","8006","99001001"
"アクダイカンを1体倒そう（HARD限定）","0","1","9001","1004111","99001002","660014201","1","2030/04/01 14:59:59","601","20014","0","2015/04/01 15:00:00","8007","99001002"
"アクダイカンを1体倒そう（VERY HARD限定）","0","1","9001","1004112","99001003","660014301","1","2030/04/01 14:59:59","601","20014","0","2015/04/01 15:00:00","8010","99001003"
"アクダイカンを1体倒そう（SPECIAL限定）","0","1","9001","1004113","99001004","610041401","1","2030/04/01 14:59:59","601","10041","0","2015/04/01 15:00:00","6011","99001004"
"ペテルギウスを1体倒そう（NORMAL限定）","0","1","9001","1005310","99001005","610153101","1","2030/04/01 14:59:59","601","10153","0","2015/04/01 15:00:00","6006","99001005"
"ペテルギウスを1体倒そう（HARD限定）","0","1","9001","1005311","99001006","610153201","1","2030/04/01 14:59:59","601","10153","0","2015/04/01 15:00:00","6007","99001006"
"ペテルギウスを1体倒そう（VERY HARD限定）","0","1","9001","1005312","99001007","610153301","1","2030/04/01 14:59:59","601","10153","0","2015/04/01 15:00:00","6010","99001007"
"ペテルギウスを1体倒そう（SPECIAL限定）","0","1","9001","1005313","99001008","610153401","1","2030/04/01 14:59:59","601","10153","0","2015/04/01 15:00:00","6011","99001008"
"雨神様を1体倒そう（NORMAL限定）","0","1","9001","1004310","99001009","660015101","1","2030/04/01 14:59:59","601","20015","0","2015/04/01 15:00:00","8006","99001009"
"雨神様を1体倒そう（HARD限定）","0","1","9001","1004311","99001010","660015201","1","2030/04/01 14:59:59","601","20015","0","2015/04/01 15:00:00","8007","99001010"
"雨神様を1体倒そう（VERY HARD限定）","0","1","9001","1004312","99001011","660015301","1","2030/04/01 14:59:59","601","20015","0","2015/04/01 15:00:00","8010","99001011"
"雨神様を1体倒そう（SPECIAL限定）","0","1","9001","1004313","99001012","610043401","1","2030/04/01 14:59:59","601","10043","0","2015/04/01 15:00:00","6011","99001012"
"マジムンを1体倒そう（NORMAL限定）","0","1","9001","1004510","99001017","660016101","1","2030/04/01 14:59:59","601","20016","0","2015/04/01 15:00:00","8006","99001017"
"マジムンを1体倒そう（HARD限定）","0","1","9001","1004511","99001018","660016201","1","2030/04/01 14:59:59","601","20016","0","2015/04/01 15:00:00","8007","99001018"
"マジムンを1体倒そう（VERY HARD限定）","0","1","9001","1004512","99001019","660016301","1","2030/04/01 14:59:59","601","20016","0","2015/04/01 15:00:00","8010","99001019"
"マジムンを1体倒そう（SPECIAL限定）","0","1","9001","1004513","99001020","610045401","1","2030/04/01 14:59:59","601","10045","0","2015/04/01 15:00:00","6011","99001020"
"カオリのマブイ式空手道場で累計スコアを300000以上獲得","0","1","0","14","99001021","0","1","2030/04/01 14:59:59","601","10021","0","2029/04/01 15:00:00","6001","99001021"
"カオリのマブイ式空手道場EXTRAで1度にスコアを70000以上獲得","0","1","0","15","99001022","0","1","2030/04/01 14:59:59","601","10021","0","2029/04/01 15:00:00","6001","99001022"
"オオドクマンドラゴラを1体倒そう （NORMAL限定）","0","1","9001","1004710","99001023","660017101","1","2030/04/01 14:59:59","601","20017","0","2015/04/01 15:00:00","6006","99001023"
"オオドクマンドラゴラを1体倒そう （HARD限定）","0","1","9001","1004711","99001024","660017201","1","2030/04/01 14:59:59","601","20017","0","2015/04/01 15:00:00","6007","99001024"
"オオドクマンドラゴラを1体倒そう （VERY HARD限定）","0","1","9001","1004712","99001025","660017301","1","2030/04/01 14:59:59","601","20017","0","2015/04/01 15:00:00","6010","99001025"
"オオドクマンドラゴラを1体倒そう （SPECIAL限定）","0","1","9001","1004713","99001026","610047401","1","2030/04/01 14:59:59","601","10047","0","2015/04/01 15:00:00","6011","99001026"
"ファントムバロンを1体倒そう（NORMAL限定）","0","1","9001","1004910","99001027","660018101","1","2030/04/01 14:59:59","601","20018","0","2015/04/01 15:00:00","6006","99001027"
"ファントムバロンを1体倒そう（HARD限定）","0","1","9001","1004911","99001028","660018201","1","2030/04/01 14:59:59","601","20018","0","2015/04/01 15:00:00","6007","99001028"
"ファントムバロンを1体倒そう（VERY HARD限定）","0","1","9001","1004912","99001029","660018301","1","2030/04/01 14:59:59","601","20018","0","2015/04/01 15:00:00","6010","99001029"
"ファントムバロンを1体倒そう（SPECIAL限定）","0","1","9001","1004913","99001030","610049401","1","2030/04/01 14:59:59","601","10049","0","2015/04/01 15:00:00","6011","99001030"
"ドラゴンもどきを1体倒そう（NORMAL限定）","0","1","9001","1005110","99001031","660019101","1","2030/04/01 14:59:59","601","20019","0","2015/04/01 15:00:00","6006","99001031"
"ドラゴンもどきを1体倒そう（HARD限定）","0","1","9001","1005111","99001032","660019201","1","2030/04/01 14:59:59","601","20019","0","2015/04/01 15:00:00","6007","99001032"
"ドラゴンもどきを1体倒そう（VERY HARD限定）","0","1","9001","1005112","99001033","660019301","1","2030/04/01 14:59:59","601","20019","0","2015/04/01 15:00:00","6010","99001033"
"ドラゴンもどきを1体倒そう（SPECIAL限定）","0","1","9001","1005113","99001034","610051401","1","2030/04/01 14:59:59","601","10051","0","2015/04/01 15:00:00","6011","99001034"
"しりとりドラゴンズで累計スコアを300000以上獲得","0","1","0","14","99001039","0","1","2030/04/01 14:59:59","601","10021","0","2029/04/01 15:00:00","6001","99001039"
"しりとりドラゴンズのワード図鑑で253ワード集める","0","1","0","15","99001040","0","1","2030/04/01 14:59:59","601","10021","0","2029/04/01 15:00:00","6001","99001040"
"しりとりドラゴンズのワード図鑑で505ワード集める","0","1","0","15","99001041","0","1","2030/04/01 14:59:59","601","10021","0","2029/04/01 15:00:00","6001","99001041"
"トナカイ・ヴェンデッタを1体倒そう（NORMAL限定）","0","1","9001","1005510","99001042","660020101","1","2030/04/01 14:59:59","601","20020","0","2015/04/01 15:00:00","6006","99001042"
"トナカイ・ヴェンデッタを1体倒そう（HARD限定）","0","1","9001","1005511","99001043","660020201","1","2030/04/01 14:59:59","601","20020","0","2015/04/01 15:00:00","6007","99001043"
"トナカイ・ヴェンデッタを1体倒そう（VERY HARD限定）","0","1","9001","1005512","99001044","660020301","1","2030/04/01 14:59:59","601","20020","0","2015/04/01 15:00:00","6010","99001044"
"トナカイ・ヴェンデッタを1体倒そう（SPECIAL限定）","0","1","9001","1005513","99001045","610055401","1","2030/04/01 14:59:59","601","10055","0","2015/04/01 15:00:00","6011","99001045"
"山神様を1体倒そう（NORMAL限定）","0","1","9001","1005710","99001046","660021101","1","2030/04/01 14:59:59","601","20021","0","2015/04/01 15:00:00","6006","99001046"
"山神様を1体倒そう（HARD限定）","0","1","9001","1005711","99001047","660021201","1","2030/04/01 14:59:59","601","20021","0","2015/04/01 15:00:00","6007","99001047"
"山神様を1体倒そう（VERY HARD限定）","0","1","9001","1005712","99001048","660021301","1","2030/04/01 14:59:59","601","20021","0","2015/04/01 15:00:00","6010","99001048"
"山神様を1体倒そう（SPECIAL限定）","0","1","9001","1005713","99001049","610057401","1","2030/04/01 14:59:59","601","10057","0","2015/04/01 15:00:00","6011","99001049"
"アンチビーストを1体倒そう（NORMAL限定）","0","1","9001","1006010","99001051","660022101","1","2030/04/01 14:59:59","601","20022","0","2015/04/01 15:00:00","6006","99001051"
