8643209b94ae856064886883545052ed000780630f9b87d371f49e6fad3166f2,bbcc0dd2194b8c82b7db91bcba1f9ccdd0a8a17cdf6dfb67b0a13d0b775a08f7,37a6b3a4a514717e72f248d31c79df65da492b374f7c155845c6a5fd45f0f86f,bfe688008c141f00a86c291335eb5de62fac868e963a3ea28116c42cbe30960d,cbff4b449a35a0cd7ff23497557d11206a26c9414336e0377533ae9cb05407ab,997d7b8d875f5b323047f2496a3cf9f800e1c6479e93930eab0e936efd1fe91d,301b7c0f0df47e1e0da51249f247c505bb0983a0df556b7a2c201309dfcc7b5e,ea8c1bbb77387e0e62d61fe2936f19cc100d8bb28e49c36eb51c058059fa662e,a607b440e7f1fbb3f89c5a50150733e704bb123bd1d98e7fdb04fa61d28e576f,a92e47cdb2e91e22ce9c943dfb5e263f3a0be09b6ae10499033a9a6c92b60b0e,2d9fdc0d002ff8bc42ad294d6b39bf7fec7a56c96073c305138dce2f2a0f8bd6
"100","-216","1","5","idle_normal","1","1","-103","1","1001","1.4"
"-57","-140","13","31","","13","1","1","","1002","0"
"-57","-140","14","31","","14","1","1","","1003","0"
"","","0","91","","0","1","","","1004",""
"0","top_luis_arm_crossed_idle","top_luis_arm_crossed_in","3","","1","1","1","0","1005","0.2"
"","","0","93","","4","1","","","1006",""
"0","top_luis_approach_idle","top_luis_approach_in","3","","1","1","1","0","1007","0.2"
"","","0","93","","3.5","1","","","1008",""
"1","","top_luis_thinking","3","","1","1","","","1009","0.2"
"","","0","93","","3.5","1","","","1010",""
"1","","top_luis_walk_think","3","","1","1","","","1011","0.2"
"-103","2","-495","2","","1","1","0","","1012",""
"","","0","93","","2","1","","","1013",""
"","","0","4","","1","1","","","1014",""
"-103","2","-216","2","","1","1","0","","1015",""
"","","0","93","","2","1","","","1016",""
"1","","top_luis_notice","3","","1","1","","","1017","0"
"","","0","93","","1","1","","","1018",""
"1","","top_luis_walk_jog","3","","1","1","","","1019","0.2"
"-130","0.5","-100","2","","1","1","0","","1020",""
"","","0","93","","0.5","1","","","1021",""
"","","1","4","","1","1","","","1022",""
"0","top_luis_sit_idle","top_luis_sit_in","3","","1","1","1","0","1023","0.2"
"","","0","93","","0.1","1","","","1024",""
"-140","0.4","-57","2","","1","1","0","","1025",""
"","","0","93","","1","1","","","1026",""
"0","","top_luis_experiment_failer_in","3","","1","1","","","1027","0.2"
"","","0","93","","2.3","1","","","1028",""
"0","","top_luis_experiment_failer_mix","3","","1","1","","","1029","0.1"
"","","0","93","","2.7","1","","","1030",""
"","","1","32","","13","1","","","1031",""
"0","","top_luis_experiment_failer_burst","3","","1","1","","","1032","0.1"
"","","0","93","","2.7","1","","","1033",""
"0","","top_luis_experiment_failer_out","3","","1","1","","","1034","0.1"
"","","0","93","","1.1","1","","","1035",""
"0","idle_normal","top_luis_sit_out","3","","1","1","1","0","1036","0.2"
"-130","0.3","-100","2","","1","1","0","","1037",""
"","","0","93","","1","1","","","1038",""
"0","","walk_normal","3","","1","1","","","1039","0.2"
"-103","1","-216","2","","1","1","0","","1040",""
"","","0","93","","1","1","","","1041",""
"0","","idle_normal","3","","1","1","","","1042","0.1"
"","","0","93","","0.8","1","","","1043",""
"","","0","32","","13","1","","","1044",""
"0","top_luis_arm_crossed_idle","top_luis_arm_crossed_in","3","","1","1","1","0","1045","0.2"
"","","0","93","","4","1","","","1046",""
"0","top_luis_approach_idle","top_luis_approach_in","3","","1","1","1","0","1047","0.2"
"","","0","93","","3.5","1","","","1048",""
"1","","top_luis_thinking","3","","1","1","","","1049","0.2"
"","","0","93","","3.5","1","","","1050",""
"1","","top_luis_walk_think","3","","1","1","","","1051","0.2"
"-103","2","-495","2","","1","1","0","","1052",""
"","","0","93","","2","1","","","1053",""
"","","0","4","","1","1","","","1054",""
"-103","2","-216","2","","1","1","0","","1055",""
"","","0","93","","2","1","","","1056",""
"1","","top_luis_notice","3","","1","1","","","1057","0"
"","","0","93","","1","1","","","1058",""
"1","","top_luis_walk_jog","3","","1","1","","","1059","0.2"
"-130","0.5","-100","2","","1","1","0","","1060",""
"","","0","93","","0.5","1","","","1061",""
"","","1","4","","1","1","","","1062",""
"0","top_luis_sit_idle","top_luis_sit_in","3","","1","1","1","0","1063","0.2"
"","","0","93","","0.1","1","","","1064",""
"-140","0.4","-57","2","","1","1","0","","1065",""
"","","0","93","","1","1","","","1066",""
"0","","top_luis_experiment_success_in","3","","1","1","","","1067","0.2"
"","","0","93","","2.3","1","","","1068",""
"0","","top_luis_experiment_success_mix","3","","1","1","","","1069","0.1"
"","","0","93","","2.7","1","","","1070",""
"","","1","32","","14","1","","","1071",""
"0","","top_luis_experiment_success_burst","3","","1","1","","","1072","0.1"
"","","0","93","","2.7","1","","","1073",""
"0","","top_luis_experiment_success_out","3","","1","1","","","1074","0.1"
"","","0","93","","1.1","1","","","1075",""
"0","idle_normal","top_luis_sit_out","3","","1","1","1","0","1076","0.2"
"-130","0.3","-100","2","","1","1","0","","1077",""
"","","0","93","","1","1","","","1078",""
"0","","walk_normal","3","","1","1","","","1079","0.2"
"-103","1","-216","2","","1","1","0","","1080",""
"","","0","93","","1","1","","","1081",""
"0","","idle_normal","3","","1","1","","","1082","0.1"
"","","0","93","","0.8","1","","","1083",""
"","","0","32","","14","1","","","1084",""
"0","0","","101","","1005","1","","","1085",""
"100","400","2","5","top_iroha_read","2","2","-130","1","2001","1.43"
"101","980","11","5","butterfly","11","2","130","1","2002","1.4"
"400","-130","11","31","","11","2","1","","2003","0"
"","","0","91","","0","2","","","2004",""
"1","","top_iroha_read","3","","2","2","","","2005","0.2"
"","","0","93","","9","2","","","2006",""
"","","1","4","","11","2","","","2007",""
"130","7","-980","2","","11","2","0","","2008",""
"","","0","93","","2.5","2","","","2009",""
"0","","top_iroha_read_notice","3","","2","2","","","2010","0.2"
"","","0","93","","0.6","2","","","2011",""
"0","top_iroha_run","top_iroha_notice_to_run","3","","2","2","1","0","2012","0"
"","","0","93","","0.4","2","","","2013",""
"","","1","32","","11","2","","","2014",""
"","","smokeR","37","","11","2","","","2015",""
"-130","4.2","-980","33","","11","2","0","","2016",""
"-130","4.2","-980","2","","2","2","0","","2017",""
"","","0","93","","4.2","2","","","2018",""
"","","0","32","","11","2","","","2019",""
"","","0","93","","1","2","","","2020",""
"","","0","4","","11","2","","","2021",""
"130","7","980","2","","11","2","0","","2022",""
"","","0","93","","1.5","2","","","2023",""
"","","1","32","","11","2","","","2024",""
"","","smokeL","37","","11","2","","","2025",""
"-130","5.964","980","33","","11","2","0","","2026",""
"1","","top_iroha_run_joy","3","","2","2","","","2027","0"
"","","0","4","","2","2","","","2028",""
