d25f78678516db1192258dfa54682aba6ff1ce9b6ec458b79cc55f8eaaf0b1b4,c9db8567b4c42c94ed7c197fbd19ec2625d0bbb980f8d4ac6bb26195800c0e8a,dee4558d75f35a4e08171b809df3e8cba74ad643542e018f3ae59d0dffca79ad,dc96da754c11dc5651d80a38e99dc4d17b094a075ec0462c22061f163b857887,cf58af38b2d9e42889aebcc278cee1dc5bad991e3392538c970d6f24f5a93231,7156cc7257bb6470815d1821b1aceab1e5bb807c52b3bd3df224016fb01c87d1,8f0d2df5b6842cb019d50d54725a0291adc7b0dec7e658710432fa54a325d39c,15386b615e99dbfd01fa85313856bf694f34d25c6c14eb2a195147e87f5d9a4c
"110001","1","111","110001","70000","0","ガーゴイル（EASY）をクリアしよう","90110001"
"110002","1","112","110001","70000","0","ガーゴイル（NORMAL）をクリアしよう","90110002"
"110003","1","113","110001","70000","0","ガーゴイル（HARD）をクリアしよう","90110003"
"110004","1","114","110001","70000","0","ガーゴイル（VERY HARD）をクリアしよう","90110004"
"110005","1","115","110001","70000","0","ガーゴイル（EXTREME）をクリアしよう","90110005"
"120001","1","121","110001","70000","0","マグスガーゴイル（EASY）をクリアしよう","90120001"
"120002","1","122","110001","70000","0","マグスガーゴイル（NORMAL）をクリアしよう","90120002"
"120003","1","123","110001","70000","0","マグスガーゴイル（HARD）をクリアしよう","90120003"
"120004","1","124","110001","70000","0","マグスガーゴイル（VERY HARD）をクリアしよう","90120004"
"120005","1","125","110001","70000","0","マグスガーゴイル（EXTREME）をクリアしよう","90120005"
"130001","1","131","110001","70000","0","ガードガーゴイル（EASY）をクリアしよう","90130001"
"130002","1","132","110001","70000","0","ガードガーゴイル（NORMAL）をクリアしよう","90130002"
"130003","1","133","110001","70000","0","ガードガーゴイル（HARD）をクリアしよう","90130003"
"130004","1","134","110001","70000","0","ガードガーゴイル（VERY HARD）をクリアしよう","90130004"
"130005","1","135","110001","70000","0","ガードガーゴイル（EXTREME）をクリアしよう","90130005"
"140001","1","141","110001","70000","0","ガーゴイル・バースト（EASY）をクリアしよう","90140001"
"140002","1","142","110001","70000","0","ガーゴイル・バースト（NORMAL）をクリアしよう","90140002"
"140003","1","143","110001","70000","0","ガーゴイル・バースト（HARD）をクリアしよう","90140003"
"140004","1","144","110001","70000","0","ガーゴイル・バースト（VERY HARD）をクリアしよう","90140004"
"140005","1","145","110001","70000","0","ガーゴイル・バースト（EXTREME）をクリアしよう","90140005"
"150001","1","151","110001","70000","0","ガーゴイル・マギ（EASY）をクリアしよう","90150001"
"150002","1","152","110001","70000","0","ガーゴイル・マギ（NORMAL）をクリアしよう","90150002"
"150003","1","153","110001","70000","0","ガーゴイル・マギ（HARD）をクリアしよう","90150003"
"150004","1","154","110001","70000","0","ガーゴイル・マギ（VERY HARD）をクリアしよう","90150004"
"150005","1","155","110001","70000","0","ガーゴイル・マギ（EXTREME）をクリアしよう","90150005"
