3ef29d8f9bea76e814ad26b9d42762c72026d0af5917a180432a8519fbfedc6c,e1635fb62300252ec8e1d64e6160c313be3333b52fc3f2d1149b2a8ced46e8f2,7b74bfacbfee6c6ba78d46ca530f3a3bccb2db5c3201cb7f80a6e8cb29cf63a0,e3c1793bcfce81b6f9963e39e8f883a9f2892c076f8a984563a8aed22c48017a,4e2df5ebb1d3449139f0983dd4086573d42e217331f4bfce68f726487e15b992,ca607dc44ee7f9e10197fc71297f14f8ac1543bbce66ca36db2513f2e1321336,67f40423daa261a14b13b404a50b514127999328aecbf093093469d96b8c3a98,466a1f6a15c37d4382b07bcdf34248969351d996e575cbc2c019390d5f5890a2,0eb60a19fb6c22095ee3eccf51b82da647a32460e0177c4eaafff4bf6c286ab4,d91fdb61592426295d9665ead064a71b5d86e09852e759cd028a504332d1d47f,e1da4a14c25ad5f89a8a079b145708bededeec7e1fa18fbf1e800e22f1464bab,d65b6e2faf492a1674053baaa8b36af52767b11b3c29438453e8d4eb5559899b
"全対象のキャラから1人選んで仲間にできる。","0","0","0","1","11000000","99999999","0","全対象のセレクトサイン","0","0","1"
"プリンセスフェスのキャラから1人選んで仲間にできる。","0","999","0","1","11000999","3600","0","プリンセスフェスのセレクトサイン","0","0","1"
"アタッカーロールのキャラから1人選んで仲間にできる。","0","0","0","1","11001000","2800","1","アタッカーロールのセレクトサイン","0","0","1"
"ブレイカーロールのキャラから1人選んで仲間にできる。","0","0","0","1","11002000","2800","2","ブレイカーロールのセレクトサイン","0","0","1"
"バッファーロールのキャラから1人選んで仲間にできる。","0","0","0","1","11003000","2800","3","バッファーロールのセレクトサイン","0","0","1"
"デバッファーロールのキャラから1人選んで仲間にできる。","0","0","0","1","11004000","2800","4","デバッファーロールのセレクトサイン","0","0","1"
"ブースターロールのキャラから1人選んで仲間にできる。","0","0","0","1","11005000","2800","5","ブースターロールのセレクトサイン","0","0","1"
"ヒーラーロールのキャラから1人選んで仲間にできる。","0","0","0","1","11006000","2800","6","ヒーラーロールのセレクトサイン","0","0","1"
"タンクロールのキャラから1人選んで仲間にできる。","0","0","0","1","11007000","2800","7","タンクロールのセレクトサイン","0","0","1"
"ジャマーロールのキャラから1人選んで仲間にできる。","0","0","0","1","11008000","2800","8","ジャマーロールのセレクトサイン","0","0","1"
"【美食殿】のキャラから3人選んで仲間にできる。","1","0","0","1","13000001","99999999","0","【美食殿】のセレクトサイン","0","1","3"
"【トゥインクルウィッシュ】のキャラから3人選んで仲間にできる。","2","0","0","1","13000002","99999999","0","【トゥインクルウィッシュ】のセレクトサイン","0","1","3"
"【ラビリンス】のキャラから3人選んで仲間にできる。","3","0","0","1","13000003","99999999","0","【ラビリンス】のセレクトサイン","0","1","3"
"【カルミナ】のキャラから3人選んで仲間にできる。","4","0","0","1","13000004","99999999","0","【カルミナ】のセレクトサイン","0","1","3"
"【リトルリリカル】のキャラから3人選んで仲間にできる。","5","0","0","1","13000005","99999999","0","【リトルリリカル】のセレクトサイン","0","1","3"
"【フォレスティエ】のキャラから3人選んで仲間にできる。","6","0","0","1","13000006","99999999","0","【フォレスティエ】のセレクトサイン","0","1","3"
"【悪魔偽王国軍（ディアボロス）】のキャラから3人選んで仲間にできる。","7","0","0","1","13000007","99999999","0","【悪魔偽王国軍（ディアボロス）】のセレクトサイン","0","1","3"
"【王宮騎士団（NIGHTMARE）】のキャラから3人選んで仲間にできる。","8","0","0","1","13000008","99999999","0","【王宮騎士団（NIGHTMARE）】のセレクトサイン","0","1","3"
"【サレンディア救護院】のキャラから3人選んで仲間にできる。","9","0","0","1","13000009","99999999","0","【サレンディア救護院】のセレクトサイン","0","1","3"
"【自警団（カォン）】のキャラから3人選んで仲間にできる。","10","0","0","1","13000010","99999999","0","【自警団（カォン）】のセレクトサイン","0","1","3"
"【牧場（エリザベスパーク）】のキャラから3人選んで仲間にできる。","11","0","0","1","13000011","99999999","0","【牧場（エリザベスパーク）】のセレクトサイン","0","1","3"
"【メルクリウス財団】のキャラから3人選んで仲間にできる。","12","0","0","1","13000012","99999999","0","【メルクリウス財団】のセレクトサイン","0","1","3"
"【トワイライトキャラバン】のキャラから3人選んで仲間にできる。","13","0","0","1","13000013","99999999","0","【トワイライトキャラバン】のセレクトサイン","0","1","3"
