3b5dfed2182788ee1aa166cbf443a8491e262bd2d49790b9d9c73833aa223865,fc17e59dbf24f57335929bfa9207b0a02ee324b0368c603914207aa8481684e0,08e74f56935f1c45c35d633f999bc39ca4e87215ebe74258e6380a09ace1a0b2,34db7eeb8a119bd54421b0033e61e461370abc5fc1ef6348e1b64d636000a9bd,ed146bdac34bb3f31fd55fad48218a9afc5a4729fc72103fd045e32b1f0fd188,f1fa20ab485f306f1be36a3f0e34313d4b90311e19664098acf22f674a57d440,ac834f1eea349d14ec7eaf4efde5de15577cee366011f9d228c5c04577083c1e,a23393a614dc3c6b92223c306db60f36821033c15eda31ed0ae4620aa4d7e8b5,f984cf379b1ecfa3a6c5fc8c80cc8194f2cd53963985ac215e521980306abc0d,ac012ffc00f49bd19c6710038082eabd0bb59d67514f3ee4d32d59d84f9fb900,b7d400c537f16c0682529ea69143ac21ce762a8b156a0bff4f6590308514ea6e
"","","","","","","イ","","","1082",""
"","","","","","","オ","","","1107",""
"","","","","ツ","","","","","1176",""
"ホ","","","","","","ー","ル","","1189",""
"","","","","","","ゥー","","","1192",""
"","","","","","","イ","","","1245",""
"","","","","","","","ちそ","","1250","ゃさ"
"イ","トメア","ナイア","イトメ","ナ","ナメア","ト","メ","ナイト","2013","ア"
"ソ","ンドル","ランル","ラドソ","ン","ドソル","ラ","","ランド","2014","ル"
"","るのと","そるう","そのと","る","そのう","と","","そるの","2015","う"
"な","のとう","るなと","なのと","る","るのう","と","う","るなう","2016","の"
"","くうて","ひくて","ひうて","く","ひてい","う","い","ひくう","2017",""
"","","ふゃ","しん","ふ","ふん","ゃ","し","ふゃ","2019","ん"
"わ","ぎしゅ","ぎゅわ","むぎし","ゅ","むゅわ","し","む","むしわ","2020","ぎ"
"","S","E","","","","","","","2031",""
"","","","","","","","","AE","2032",""
"","","A","","","R","","","","2033",""
"","","E","","","I","","","","2034",""
"","","UA","","","R","","","","2036",""
"","","E","E","","L","","","Y","2037",""
"","","E","V","","L","","","I","2038",""
"","","L","","","I","","","","2040",""
"","","","","","A","","","","2041",""
"","Y","","","","","","","","2042",""
"","K","","","","A","","","","2043",""
"","","","","","A","","","","2045",""
"","Q","","","","R","","","","2046",""
"","","A","","","R","","","","2047",""
"","KQ","","","","A","","","","2048",""
"","","B","","","","","","","2049",""
"","","U","","","A","","","T","2050",""
"","","EI","","","C","","","P","2052",""
"","","I","","","A","","","T","2053",""
"","","","","","","","","S","2054",""
"","","","","","R","","","","2055",""
"","","V","","","","","","","2056",""
"","","","","","WU","","","","2058",""
"","R","","","","","","","","2059",""
"","R","","","","","","","","2060",""
"","","","","","S","","","","2062",""
"","","A","S","","E","","","S","2063",""
"","","","","","A","","","A","2064",""
"","","A","","","","","","S","2065",""
"","C","","","","","","","","2066",""
"","","B","","","","","","","2067",""
"","L","I","","","","","","","2068",""
"","C","","","","E","","","","2069",""
"","","E","D","","","","","","2070",""
"","","A","N","","","","","I","2071",""
"","","","","","C","","","A","2074",""
"","","","","","A","","","A","2077",""
"","","","","ち","","","","","2092","し"
"","フ","ン","ム","","ァ","","","ト","2130",""
"視","","","","か","","聴言","わ","","2200","聞聴"
"","","","","ー","","","","","2201","ビブ"
"","","","","","","","","","2202","ル"
"麦","","","","","","飯","鯉","","2216",""
"し","","","","","","ゅ","う","","2261",""
"","","","","ぅ","","","","","2264",""
"","","","","","","ー","","","2266",""
"ひ","","","","ん","","ふ","く","","2295","き"
"","","","","","","","","","2313","だ"
"","ル","","","","ナ","","","","3020",""
"フ","","","","","","ェ","","","3066",""
"く","","","","","","","","","3068",""
"","","","","","","","が","","3073",""
"","","","","","","","","","3084","生"
"","","","","","","","","","3158","ア"
"","","","","","","","ひ","","3165",""
"","","","","","","","","","3187","か"
"","","","","オ","","","デ","","3191","シス"
"","","","","ま","","","","","3193","さ"
"","ブ","","","","","","","","3195",""
"","","","","","","","ス","","3222",""
"","","","","","","","","","3238","ず"
"","","","","","","","","","3271","帰"
"","","","","","","ク","","","3277",""
"","","","","","","","ア","","3318",""
"","","","","ち","","","","","4029","し"
"","","","","X","","","","","4049",""
"","","","","","","","","","4052","た"
"","","","","","","","","","4077","さ"
"","","","","帯","","","","","4154",""
"","","そ","","","","","","","4157",""
"","","い","","","","","","","4167",""
"","二","","","","","","","","4171",""
"","","","","","小","","","倍","4194",""
"","","","","","大","","","約","4195",""
"高","","","","","","","底","","4196",""
"","半","","","","","","","","4197",""
"","","","","","","","","","4203","く"
"","","","","","","","ウ","","4220",""
"","","","","","","ィ","","","4222",""
"セ","","","","","","","","","4247",""
"","","","","","","","ー","","5010",""
"","","","","","","","ワ","","5011",""
"","","","テカ","","","","","ラモ","5030",""
"","","","レカ","","","","","オモ","5031",""
"","","","","","","","ー","","5051",""
"","","","","","","お","か","","5066","ら"
"","","","","","","","ぶ","","5100",""
"","み","","つ","","つ","","","じ","5109",""
"","カ","ン","ー","","ウ","","","タ","5140",""
"","","","","ロ","","","","","5147",""
"","","","","","","","と","","5160",""
"","卯辰戌","戌卯辰","卯戌子","","戌酉卯","牛","虎","戌酉子","5193",""
"","","","","ト","","","","","6060",""
"","","","","","","","ほ","","6065",""
"","","","","","","","","","6157","ィ"
"","","","ト","","","","","","6188",""
"イ","","","","","","ン","ド","","6203",""
"","","","","ラ","","","ク","","6216","ジ"
"","チ","ウ","","","ョ","","","","6227",""
