c247ef13c34c4f3f2a688c7708e206fccc3835caf260cf9e0cc4942c77606a33,9b929db5ad834a82dc87f63c5687e1122dd32867c2fe3ff8ca104db9079abd5b,3c64ff1672e511be8a9dba4c3a35ff33d7e4f9ee58e2385da5a75478a074ce28,e74a759226c0fc6881af9e1e042433ffcd91da6ca5d2990e9b85f599a9fa853e,b78e42e3ac8af785aa215ec809968efdcdcff8b610aa7f928e64e6b79b5cb300,a39337ddc227f0a50ccfb0ccb3d71052590b77387091e1a5e1fa396d32ea188e
"211","3001","1","803100263","212","2146041"
"211","3002","1","803100263","212","2146042"
"211","3003","1","803100263","212","2146043"
"211","3004","1","803100263","212","2146044"
"213","3006","1","803100272","212","2147041"
"213","3007","1","803100272","212","2147042"
"202","30011","1","803100253","313","2145039"
"105","30012","0","803100253","302","2145040"
"204","30021","1","803100256","311","2145069"
"205","30022","1","803100256","312","2145070"
"212","30031","1","803100259","310","2145099"
"107","30032","0","803100259","301","2145100"
"110","30041","0","803100262","307","2146039"
"105","30042","0","803100262","302","2146040"
"203","30051","1","803100267","314","2146081"
"205","30061","1","803100269","312","2147019"
"106","30062","0","803100269","303","2147020"
"202","30071","1","803100271","313","2147039"
"212","30072","1","803100271","310","2147040"
"104","300101","0","803100251","100","2145011"
"104","300102","0","803100251","100","2145012"
"105","300103","0","803100251","102","2145013"
"104","300104","0","803100251","100","2145014"
"105","300105","0","803100251","102","2145015"
"106","300106","0","803100251","103","2145016"
"105","300107","0","803100251","102","2145017"
"106","300108","0","803100251","103","2145018"
"204","300109","1","803100251","111","2145019"
"104","300110","0","803100251","100","2145020"
"104","300111","0","803100252","100","2145021"
"105","300112","0","803100252","102","2145022"
"104","300113","0","803100252","100","2145023"
"105","300114","0","803100252","102","2145024"
"106","300115","0","803100252","103","2145025"
"105","300116","0","803100252","102","2145026"
"106","300117","0","803100252","103","2145027"
"204","300118","1","803100252","111","2145028"
"104","300119","0","803100252","100","2145029"
"104","300120","0","803100252","100","2145030"
"105","300121","0","803100253","102","2145031"
"104","300122","0","803100253","100","2145032"
"105","300123","0","803100253","102","2145033"
"208","300124","1","803100253","112","2145034"
"212","300125","1","803100253","110","2145035"
"104","300126","0","803100253","100","2145036"
"105","300127","0","803100253","102","2145037"
"106","300128","0","803100253","103","2145038"
"107","300201","0","803100254","101","2145041"
"107","300202","0","803100254","101","2145042"
"105","300203","0","803100254","102","2145043"
"106","300204","0","803100254","103","2145044"
"202","300205","1","803100254","113","2145045"
"203","300206","1","803100254","114","2145046"
"107","300207","0","803100254","101","2145047"
"202","300208","1","803100254","113","2145048"
"203","300209","1","803100254","114","2145049"
"107","300210","0","803100254","101","2145050"
"107","300211","0","803100255","101","2145051"
"105","300212","0","803100255","102","2145052"
"106","300213","0","803100255","103","2145053"
"202","300214","1","803100255","113","2145054"
"203","300215","1","803100255","114","2145055"
"107","300216","0","803100255","101","2145056"
"202","300217","1","803100255","113","2145057"
"203","300218","1","803100255","114","2145058"
"107","300219","0","803100255","101","2145059"
"107","300220","0","803100255","101","2145060"
"105","300221","0","803100256","102","2145061"
"106","300222","0","803100256","103","2145062"
"107","300223","0","803100256","101","2145063"
"208","300224","1","803100256","112","2145064"
"212","300225","1","803100256","110","2145065"
"105","300226","0","803100256","102","2145066"
"106","300227","0","803100256","103","2145067"
"107","300228","0","803100256","101","2145068"
"104","300301","0","803100257","100","2145071"
"107","300302","0","803100257","101","2145072"
"107","300303","0","803100257","101","2145073"
"202","300304","1","803100257","113","2145074"
"203","300305","1","803100257","114","2145075"
"104","300306","0","803100257","100","2145076"
"107","300307","0","803100257","101","2145077"
"204","300308","1","803100257","111","2145078"
"205","300309","1","803100257","112","2145079"
"104","300310","0","803100257","100","2145080"
"107","300311","0","803100258","101","2145081"
"107","300312","0","803100258","101","2145082"
"202","300313","1","803100258","113","2145083"
"203","300314","1","803100258","114","2145084"
"104","300315","0","803100258","100","2145085"
"107","300316","0","803100258","101","2145086"
"204","300317","1","803100258","111","2145087"
"205","300318","1","803100258","112","2145088"
"104","300319","0","803100258","100","2145089"
"107","300320","0","803100258","101","2145090"
"104","300321","0","803100259","100","2145091"
"107","300322","0","803100259","101","2145092"
"202","300323","1","803100259","113","2145093"
"208","300324","1","803100259","112","2145094"
"104","300325","0","803100259","100","2145095"
"107","300326","0","803100259","101","2145096"
"204","300327","1","803100259","111","2145097"
"205","300328","1","803100259","112","2145098"
