c289cd4b04db4c41aa6893d6ff339bbdd41b2b2e52c2e525d48ee136f2b60aae,cda26dd6408632df96ee79209e7f7117a3c717a1a331504f596835ef4e0ac596,2ee75edd686f41b21fe8aa86f8d71f6fd72da6dc6b7723d136a67d7c3bd55f9c,7c01eb9bac946fa68ade7fc463c5b62a9bda48e7d1b7684a283a73bb5799f879,38d6d2d6bbc5fd99fdc1b1995d1f0d685b9f7d148e210a507d683dc2104234dc,9d860e2b4ed14e008292587cdca547217f39b46a2d4f80896d3cbf7c83b1b005,4306caccdff5ca5c921f29daa9660b741ac2b1877363278c4a8f9dba03c07971,a44b94d056e5edfe1bd344db9b0a6c16bed589d6e57ceed91b0cce12c43f941c
"21_role_tank","0","11011","0","タンクロールの\nランダムサイン×2\n＋アルファルピ×200","192801","タンクを\n仲間にしたい！","11011"
"22_role_healer","0","11012","0","ヒーラーロールの\nランダムサイン×2\n＋アルファルピ×200","192801","ヒーラーを\n仲間にしたい！","11012"
"23_role_booster","0","11021","0","ブースターロールの\nランダムサイン×2\n＋アルファルピ×200","192801","ブースターを\n仲間にしたい！","11021"
"24_role_buffer","0","11022","0","バッファーロールの\nランダムサイン×2\n＋アルファルピ×200","192801","バッファーを\n仲間にしたい！","11022"
"25_role_debuffer","0","11031","0","デバッファーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","デバッファーを\n仲間にしたい！","11031"
"26_role_jammer","0","11032","0","ジャマーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","ジャマーを\n仲間にしたい！","11032"
"27_role_attacker","0","11041","0","アタッカーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","アタッカーを\n仲間にしたい！","11041"
"28_role_breaker","0","11042","0","ブレイカーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","ブレイカーを\n仲間にしたい！","11042"
"41_matsuri_guts","0","11051","0","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×200","100501","腕試しッス！","11051"
"42_chris_cool","0","11052","0","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×300","107101","強敵との戦いは心躍る！","11052"
