8923c351ade0f91b4c283363b68b1c95e309e9929302324148aefde431da7d26,2b6fd85cf9ec53462040063fa29fbc594e2d136910977c4dcc047416c22feaa9,c083e48cefc72c1ea3d77cfe86f4b048434f04cbafc58fab122219b7fbf97e5e,9defdbee9bb9b4126cba0182d9e8fe19fe890bc0d2369021ffac220e63d83ff8,d0b9c2b136be05bc791232b22639642761331d5eca9d8a1ccab95d89b40425a1,9130bc9353bb25befb2888a43bab05f1b0852d543310fd6d978473dbb7ab45c1,8e5eae5dce12671dab2d4831e823b2a5d23661f091a35ca57f4b80245664b4a5,d934ff4da183520088e23fbdf2a55f055859da02f2b8d5f4abf1521da66df772
"110001","0","111","90110001","70000","1","ガーゴイル（EASY）をクリアしよう","110001"
"110001","0","112","90110002","70000","1","ガーゴイル（NORMAL）をクリアしよう","110002"
"110001","0","113","90110003","70000","1","ガーゴイル（HARD）をクリアしよう","110003"
"110001","0","114","90110004","70000","1","ガーゴイル（VERY HARD）をクリアしよう","110004"
"110001","0","115","90110005","70000","1","ガーゴイル（EXTREME）をクリアしよう","110005"
"110001","0","121","90120001","70000","1","マグスガーゴイル（EASY）をクリアしよう","120001"
"110001","0","122","90120002","70000","1","マグスガーゴイル（NORMAL）をクリアしよう","120002"
"110001","0","123","90120003","70000","1","マグスガーゴイル（HARD）をクリアしよう","120003"
"110001","0","124","90120004","70000","1","マグスガーゴイル（VERY HARD）をクリアしよう","120004"
"110001","0","125","90120005","70000","1","マグスガーゴイル（EXTREME）をクリアしよう","120005"
"110001","0","131","90130001","70000","1","ガードガーゴイル（EASY）をクリアしよう","130001"
"110001","0","132","90130002","70000","1","ガードガーゴイル（NORMAL）をクリアしよう","130002"
"110001","0","133","90130003","70000","1","ガードガーゴイル（HARD）をクリアしよう","130003"
"110001","0","134","90130004","70000","1","ガードガーゴイル（VERY HARD）をクリアしよう","130004"
"110001","0","135","90130005","70000","1","ガードガーゴイル（EXTREME）をクリアしよう","130005"
"110001","0","141","90140001","70000","1","ガーゴイル・バースト（EASY）をクリアしよう","140001"
"110001","0","142","90140002","70000","1","ガーゴイル・バースト（NORMAL）をクリアしよう","140002"
"110001","0","143","90140003","70000","1","ガーゴイル・バースト（HARD）をクリアしよう","140003"
"110001","0","144","90140004","70000","1","ガーゴイル・バースト（VERY HARD）をクリアしよう","140004"
"110001","0","145","90140005","70000","1","ガーゴイル・バースト（EXTREME）をクリアしよう","140005"
"110001","0","151","90150001","70000","1","ガーゴイル・マギ（EASY）をクリアしよう","150001"
"110001","0","152","90150002","70000","1","ガーゴイル・マギ（NORMAL）をクリアしよう","150002"
"110001","0","153","90150003","70000","1","ガーゴイル・マギ（HARD）をクリアしよう","150003"
"110001","0","154","90150004","70000","1","ガーゴイル・マギ（VERY HARD）をクリアしよう","150004"
"110001","0","155","90150005","70000","1","ガーゴイル・マギ（EXTREME）をクリアしよう","150005"
